originalTimestamp,category,messageId,anonymousId,name,userId,userAgent,page.path,page.referrer,page.search,page.title,page.url,path,referrer,search,title,url,category_properties,name_properties,business_id,sponsored_listing,button_name,location,userAgentData.brands,userAgentData.mobile,userAgentData.platform,search_text,traits,email,input_value,input_num,input_name,address,other_category,city,description,display_email,business_name,main_category,parish,phone,sub_category,website,event_type
2025-08-18 00:51:45.240000+00:00,index,ajs-next-1755478305240-91fd14ee-85fb-4130-b34b-52805f26c2e9,fd14ee85-fb71-4073-8b52-805f26c2e9e7,index,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,,,,,,,,,,,,,,,,,,,,page
2025-08-18 00:51:45.543000+00:00,,ajs-next-1755478305543-fb713073-4b52-405f-a6c2-e9e7b22b7c0d,fd14ee85-fb71-4073-8b52-805f26c2e9e7,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,"1753982403438x535213824960417500, 1743549178851x847080663521240200, 1744335958024x226211831616957250, 1743547621069x279645472884266780, 1750436264420x989591292213482400, 1753374338412x209529915103450200",true,,,,,,,,,,,,,,,,,,,,,,,impression
2025-08-18 00:52:09.424000+00:00,,ajs-next-1755478329424-89ae5da3-4fd5-43c7-98c4-847dc43a47d6,fd14ee85-fb71-4073-8b52-805f26c2e9e7,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,"1744335958024x226211831616957250, 1743547621069x279645472884266780, 1750436264420x989591292213482400, 1753374338412x209529915103450200, 1753982403438x535213824960417500, 1743549178851x847080663521240200",true,,,,,,,,,,,,,,,,,,,,,,,impression
2025-08-18 01:00:03.708000+00:00,,ajs-next-1755478803708-ac7b2fc5-e1cd-4cd3-afc6-c212ef1905bd,7df1ac7b-2fc5-41cd-8cd3-efc6c212ef19,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,"1744335958024x226211831616957250, 1743547621069x279645472884266780, 1750436264420x989591292213482400, 1753374338412x209529915103450200, 1753982403438x535213824960417500, 1743549178851x847080663521240200",true,,,,,,,,,,,,,,,,,,,,,,,impression
2025-08-18 00:51:57.467000+00:00,profile,ajs-next-1755478317467-e5554b21-8c6e-4f12-a86b-13c363a5e582,fd14ee85-fb71-4073-8b52-805f26c2e9e7,business_profile,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",/business_profile/talitha-koum-sourdough-1743549178851x847080663521240200,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/talitha-koum-sourdough-1743549178851x847080663521240200,/business_profile/talitha-koum-sourdough-1743549178851x847080663521240200,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/talitha-koum-sourdough-1743549178851x847080663521240200,profile,business_profile,1743549178851x847080663521240200,,,,,,,,,,,,,,,,,,,,,,,,page
2025-08-18 01:00:03.298000+00:00,index,ajs-next-1755478803298-2c7df1ac-7b2f-45e1-8d4c-d3efc6c212ef,7df1ac7b-2fc5-41cd-8cd3-efc6c212ef19,index,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,,,,,,,,,,,,,,,,,,,,page
2025-08-18 00:51:45.290000+00:00,,ajs-next-1755478305290-ee85fb71-3073-4b52-805f-26c2e9e7b22b,fd14ee85-fb71-4073-8b52-805f26c2e9e7,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,"1753982403438x535213824960417500, 1743549178851x847080663521240200, 1744335958024x226211831616957250, 1743547621069x279645472884266780, 1750436264420x989591292213482400, 1753374338412x209529915103450200",true,,,,,,,,,,,,,,,,,,,,,,,impression
2025-08-18 00:52:08.887000+00:00,index,ajs-next-1755478328887-416689ae-5da3-4fd5-b3c7-98c4847dc43a,fd14ee85-fb71-4073-8b52-805f26c2e9e7,index,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,,,,,,,,,,,,,,,,,,,,page
2025-08-18 01:01:19.792000+00:00,about_us,ajs-next-1755478879792-244eab54-61b0-4e9a-8ebc-28444d43fd07,7df1ac7b-2fc5-41cd-8cd3-efc6c212ef19,about_us,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15",/about_us/1755478802206x719069747838377000,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1755478802206x719069747838377000,/about_us/1755478802206x719069747838377000,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1755478802206x719069747838377000,about_us,about_us,,,,,,,,,,,,,,,,,,,,,,,,,page
2025-08-18 01:01:26.793000+00:00,how_it_works,ajs-next-1755478886793-17bfd482-dc4f-41ce-a8fd-101916e5080c,7df1ac7b-2fc5-41cd-8cd3-efc6c212ef19,how_it_works,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Safari/605.1.15",/how_it_works/1755478802206x719069747838377000,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1755478802206x719069747838377000,/how_it_works/1755478802206x719069747838377000,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1755478802206x719069747838377000,how_it_works,how_it_works,,,,,,,,,,,,,,,,,,,,,,,,,page
