category,originalTimestamp,anonymousId,messageId,name,userId,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,category_properties,name_properties,business_id,sponsored_listing,event_type
about_us,2025-08-29 23:19:56.116000+00:00,f566e897-4a79-4aa7-b0b6-89a66cb2e638,ajs-next-1756509596116-45f566e8-974a-493a-a7f0-b689a66cb2e6,about_us,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",/about_us/1746353524118x254126464489865500,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1746353524118x254126464489865500,"[{'brand': 'Chromium', 'version': '131'}, {'brand': 'Not_A Brand', 'version': '24'}]",False,Windows,/about_us/1746353524118x254126464489865500,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1746353524118x254126464489865500,about_us,about_us,,,page
about_us,2025-08-29 23:47:47.914000+00:00,363c0da4-2b5e-467d-a767-5eebb0feee59,ajs-next-1756511267914-22363c0d-a42b-4ec6-bd67-675eebb0feee,about_us,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",/about_us/1746346170814x389451051379087600,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1746346170814x389451051379087600,"[{'brand': 'Chromium', 'version': '131'}, {'brand': 'Not_A Brand', 'version': '24'}]",False,macOS,/about_us/1746346170814x389451051379087600,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1746346170814x389451051379087600,about_us,about_us,,,page
about_us,2025-08-29 23:54:05.985000+00:00,54ca12e9-f310-4f3c-850a-42dbdaf7ca73,ajs-next-1756511645986-2154ca12-e9f3-408f-bc05-0a42dbdaf7ca,about_us,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36",/about_us/1746336294353x347828833583846660,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1746336294353x347828833583846660,"[{'brand': 'Chromium', 'version': '131'}, {'brand': 'Not_A Brand', 'version': '24'}]",False,Linux,/about_us/1746336294353x347828833583846660,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1746336294353x347828833583846660,about_us,about_us,,,page
about_us,2025-08-30 01:24:20.696000+00:00,06045b15-2403-4850-a247-0193bb5c7ad4,ajs-next-1756517060696-3706045b-1524-43c8-9022-470193bb5c7a,about_us,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",/about_us/1746348953226x282026712066885100,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1746348953226x282026712066885100,"[{'brand': 'Chromium', 'version': '131'}, {'brand': 'Not_A Brand', 'version': '24'}]",False,macOS,/about_us/1746348953226x282026712066885100,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1746348953226x282026712066885100,about_us,about_us,,,page
index,2025-08-30 15:29:32.356000+00:00,f85fe46f-ec5c-4d56-873b-558f31ca08b0,ajs-next-1756567772356-2bf85fe4-6fec-4c2d-9607-3b558f31ca08,index,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '131'}, {'brand': 'Not_A Brand', 'version': '24'}]",False,Windows,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,page
,2025-08-30 15:29:32.364000+00:00,f85fe46f-ec5c-4d56-873b-558f31ca08b0,ajs-next-1756567772364-e46fec5c-2d56-473b-958f-31ca08b01964,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '131'}, {'brand': 'Not_A Brand', 'version': '24'}]",False,Windows,,,,,,,,"1753982403438x535213824960417500, 1743549178851x847080663521240200, 1744579851707x640487742075829500, 1744335958024x226211831616957250, 1743547621069x279645472884266780, 1750436264420x989591292213482400, 1753374338412x209529915103450200, 1752717497153x537286585580736960",true,impression
about_us,2025-08-30 15:33:07.569000+00:00,105796ba-4be5-4c1e-8806-2f6df79d86f1,ajs-next-1756567987569-c1105796-ba4b-45ac-9e88-062f6df79d86,about_us,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",/about_us/1746336294353x347828833583846660,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1746336294353x347828833583846660,"[{'brand': 'Chromium', 'version': '131'}, {'brand': 'Not_A Brand', 'version': '24'}]",False,macOS,/about_us/1746336294353x347828833583846660,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1746336294353x347828833583846660,about_us,about_us,,,page
about_us,2025-08-30 15:30:44.013000+00:00,cda877b6-5871-4b27-9368-b8e2e2085f4c,ajs-next-1756567844013-24cda877-b658-417b-a713-68b8e2e2085f,about_us,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",/about_us/1746352962306x522240557394148000,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1746352962306x522240557394148000,"[{'brand': 'Chromium', 'version': '131'}, {'brand': 'Not_A Brand', 'version': '24'}]",False,macOS,/about_us/1746352962306x522240557394148000,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1746352962306x522240557394148000,about_us,about_us,,,page
,2025-08-30 15:29:32.940000+00:00,f85fe46f-ec5c-4d56-873b-558f31ca08b0,ajs-next-1756567772940-ec5c2d56-073b-458f-b1ca-08b01964d222,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '131'}, {'brand': 'Not_A Brand', 'version': '24'}]",False,Windows,,,,,,,,"1753982403438x535213824960417500, 1743549178851x847080663521240200, 1744579851707x640487742075829500, 1744335958024x226211831616957250, 1743547621069x279645472884266780, 1750436264420x989591292213482400, 1753374338412x209529915103450200, 1752717497153x537286585580736960",true,impression
about_us,2025-08-30 16:13:21.025000+00:00,27d43ade-3552-4fae-83f7-b4443fec9ca4,ajs-next-1756570401025-2c27d43a-de35-421f-ae03-f7b4443fec9c,about_us,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",/about_us/1746349776507x695318451398188000,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1746349776507x695318451398188000,"[{'brand': 'Chromium', 'version': '131'}, {'brand': 'Not_A Brand', 'version': '24'}]",False,macOS,/about_us/1746349776507x695318451398188000,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1746349776507x695318451398188000,about_us,about_us,,,page
