name,originalTimestamp,anonymousId,messageId,userId,category,userAgent,page.path,page.referrer,page.search,page.title,page.url,path,referrer,search,title,url,category_properties,name_properties,business_id,location,sponsored_listing,search_text,button_name,userAgentData.brands,userAgentData.mobile,userAgentData.platform,input_value,input_num,input_name,traits,email,address,other_category,city,description,display_email,business_name,main_category,parish,phone,sub_category,website,event_type
index,2025-09-16 00:05:53.930000+00:00,f5eae4fc-78bd-4210-8031-679f2af11a11,ajs-next-1757981153930-cd8a380e-0148-40d6-b0fc-f24ebea86b0e,,index,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/140.0.3485.52 Version/18.0 Mobile/15E148 Safari/604.1",/,https://coloradocatholicbusinessdirectory.com/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,/,https://coloradocatholicbusinessdirectory.com/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,,,,,,,,,,,,,,,,,,,,page
,2025-09-16 00:06:08.993000+00:00,f5eae4fc-78bd-4210-8031-679f2af11a11,ajs-next-1757981168993-8e0c10da-cfb0-4e4d-83c6-46b1e7b3d9b0,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/140.0.3485.52 Version/18.0 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Website&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Website&category=,,,,,,,,1752717497153x537286585580736960,main_list,true,,,,,,,,,,,,,,,,,,,,,,impression
business_profile,2025-09-16 00:06:23.369000+00:00,f5eae4fc-78bd-4210-8031-679f2af11a11,ajs-next-1757981183369-dcb8a084-7e46-48c5-a715-b38f05531823,,profile,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/140.0.3485.52 Version/18.0 Mobile/15E148 Safari/604.1",/business_profile/knowledge-uncovered-1743547361284x291138005899707260,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/knowledge-uncovered-1743547361284x291138005899707260,/business_profile/knowledge-uncovered-1743547361284x291138005899707260,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/knowledge-uncovered-1743547361284x291138005899707260,profile,business_profile,1743547361284x291138005899707260,,,,,,,,,,,,,,,,,,,,,,,,page
,2025-09-16 00:06:04.904000+00:00,f5eae4fc-78bd-4210-8031-679f2af11a11,ajs-next-1757981164904-70d6f0fc-f24e-4ea8-ab0e-31697eb88ade,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/140.0.3485.52 Version/18.0 Mobile/15E148 Safari/604.1",/,https://coloradocatholicbusinessdirectory.com/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,Website,,,,,,,,,,,,,,,,,,,,,search
,2025-09-16 00:07:54.299000+00:00,f5eae4fc-78bd-4210-8031-679f2af11a11,ajs-next-1757981274299-452f5c8c-583b-410c-8332-d3050c878f40,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/140.0.3485.52 Version/18.0 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Website&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Website&category=,,,,,,,,1753374338412x209529915103450200,main_list,true,,,,,,,,,,,,,,,,,,,,,,impression
search,2025-09-16 00:06:07.997000+00:00,f5eae4fc-78bd-4210-8031-679f2af11a11,ajs-next-1757981167997-bbb8bd98-aed2-4246-8e0c-10dacfb0ce4d,,search,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/140.0.3485.52 Version/18.0 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Website&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Website&category=,/search,https://coloradocatholicbusinessdirectory.com/,?query=Website&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Website&category=,search,search,,,,,,,,,,,,,,,,,,,,,,,,,page
search,2025-09-16 00:07:53.688000+00:00,f5eae4fc-78bd-4210-8031-679f2af11a11,ajs-next-1757981273689-5768c42f-452f-4c8c-983b-910c0332d305,,search,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/140.0.3485.52 Version/18.0 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Website&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Website&category=,/search,https://coloradocatholicbusinessdirectory.com/,?query=Website&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Website&category=,search,search,,,,,,,,,,,,,,,,,,,,,,,,,page
,2025-09-16 00:06:08.500000+00:00,f5eae4fc-78bd-4210-8031-679f2af11a11,ajs-next-1757981168500-bd98aed2-8246-4e0c-90da-cfb0ce4d03c6,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/140.0.3485.52 Version/18.0 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Website&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Website&category=,,,,,,,,,sidebar,true,,,,,,,,,,,,,,,,,,,,,,impression
,2025-09-16 00:06:09.294000+00:00,f5eae4fc-78bd-4210-8031-679f2af11a11,ajs-next-1757981169294-cfb0ce4d-03c6-46b1-a7b3-d9b07c971099,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/140.0.3485.52 Version/18.0 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Website&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Website&category=,,,,,,,,"1757438153395x416809556103947500, 1754084205128x675147807630683600, 1743547361284x291138005899707260, 1757437593796x460281345015416640, 1754081360962x724252535884739300, 1747170561218x640297169073643000",,false,,,,,,,,,,,,,,,,,,,,,,impression
,2025-09-16 00:06:09.250000+00:00,f5eae4fc-78bd-4210-8031-679f2af11a11,ajs-next-1757981169250-10dacfb0-ce4d-43c6-86b1-e7b3d9b07c97,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/140.0.3485.52 Version/18.0 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Website&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Website&category=,,,,,,,,"1757438153395x416809556103947500, 1754084205128x675147807630683600, 1743547361284x291138005899707260, 1757437593796x460281345015416640, 1754081360962x724252535884739300, 1747170561218x640297169073643000",,false,,,,,,,,,,,,,,,,,,,,,,impression
,2025-09-16 00:06:49.056000+00:00,f5eae4fc-78bd-4210-8031-679f2af11a11,ajs-next-1757981209056-093a372d-d04c-4b26-ab13-ee477041d835,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/140.0.3485.52 Version/18.0 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Website&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Website&category=,,,,,,,,"1757437593796x460281345015416640, 1754081360962x724252535884739300, 1747170561218x640297169073643000, 1757438153395x416809556103947500, 1754084205128x675147807630683600, 1743547361284x291138005899707260",,false,,,,,,,,,,,,,,,,,,,,,,impression
,2025-09-16 00:05:54.580000+00:00,f5eae4fc-78bd-4210-8031-679f2af11a11,ajs-next-1757981154580-380e0148-70d6-40fc-b24e-bea86b0e3169,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/140.0.3485.52 Version/18.0 Mobile/15E148 Safari/604.1",/,https://coloradocatholicbusinessdirectory.com/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,"1753374338412x209529915103450200, 1752717497153x537286585580736960, 1753982403438x535213824960417500, 1743549178851x847080663521240200, 1744579851707x640487742075829500, 1744335958024x226211831616957250, 1743547621069x279645472884266780, 1750436264420x989591292213482400",,true,,,,,,,,,,,,,,,,,,,,,,impression
,2025-09-16 00:06:48.744000+00:00,f5eae4fc-78bd-4210-8031-679f2af11a11,ajs-next-1757981208744-e263093a-372d-404c-9b26-ab13ee477041,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/140.0.3485.52 Version/18.0 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Website&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Website&category=,,,,,,,,1753374338412x209529915103450200,main_list,true,,,,,,,,,,,,,,,,,,,,,,impression
,2025-09-16 00:06:48.440000+00:00,f5eae4fc-78bd-4210-8031-679f2af11a11,ajs-next-1757981208440-bf6fe263-093a-472d-904c-9b26ab13ee47,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/140.0.3485.52 Version/18.0 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Website&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Website&category=,,,,,,,,,sidebar,true,,,,,,,,,,,,,,,,,,,,,,impression
business_profile,2025-09-16 00:07:13.152000+00:00,f5eae4fc-78bd-4210-8031-679f2af11a11,ajs-next-1757981233152-5fda9189-7643-49eb-92b6-278217f4ce07,,profile,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/140.0.3485.52 Version/18.0 Mobile/15E148 Safari/604.1",/business_profile/lindenwood-llc-1747170561218x640297169073643000,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/lindenwood-llc-1747170561218x640297169073643000,/business_profile/lindenwood-llc-1747170561218x640297169073643000,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/lindenwood-llc-1747170561218x640297169073643000,profile,business_profile,1747170561218x640297169073643000,,,,,,,,,,,,,,,,,,,,,,,,page
,2025-09-16 00:06:04.597000+00:00,f5eae4fc-78bd-4210-8031-679f2af11a11,ajs-next-1757981164597-014870d6-f0fc-424e-bea8-6b0e31697eb8,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/140.0.3485.52 Version/18.0 Mobile/15E148 Safari/604.1",/,https://coloradocatholicbusinessdirectory.com/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,,search,,,,,,,,,,,,,,,,,,,,button_click
,2025-09-16 00:06:08.597000+00:00,f5eae4fc-78bd-4210-8031-679f2af11a11,ajs-next-1757981168597-aed28246-8e0c-40da-8fb0-ce4d03c646b1,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/140.0.3485.52 Version/18.0 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Website&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Website&category=,,,,,,,,,sidebar,true,,,,,,,,,,,,,,,,,,,,,,impression
,2025-09-16 00:06:22.098000+00:00,f5eae4fc-78bd-4210-8031-679f2af11a11,ajs-next-1757981182098-ce4d03c6-46b1-47b3-99b0-7c97109960ca,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/140.0.3485.52 Version/18.0 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Website&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Website&category=,,,,,,,,1743547361284x291138005899707260,,false,,profile_arrow,,,,,,,,,,,,,,,,,,,,button_click
search,2025-09-16 00:06:48.135000+00:00,f5eae4fc-78bd-4210-8031-679f2af11a11,ajs-next-1757981208135-4164bf6f-e263-493a-b72d-d04c9b26ab13,,search,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/140.0.3485.52 Version/18.0 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Website&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Website&category=,/search,https://coloradocatholicbusinessdirectory.com/,?query=Website&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Website&category=,search,search,,,,,,,,,,,,,,,,,,,,,,,,,page
,2025-09-16 00:07:54.614000+00:00,f5eae4fc-78bd-4210-8031-679f2af11a11,ajs-next-1757981274614-5c8c583b-910c-4332-9305-0c878f409b13,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/140.0.3485.52 Version/18.0 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Website&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Website&category=,,,,,,,,"1754084205128x675147807630683600, 1743547361284x291138005899707260, 1757437593796x460281345015416640, 1754081360962x724252535884739300, 1747170561218x640297169073643000, 1757438153395x416809556103947500",,false,,,,,,,,,,,,,,,,,,,,,,impression
,2025-09-16 00:06:08.947000+00:00,f5eae4fc-78bd-4210-8031-679f2af11a11,ajs-next-1757981168947-82468e0c-10da-4fb0-8e4d-03c646b1e7b3,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/140.0.3485.52 Version/18.0 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Website&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Website&category=,,,,,,,,1752717497153x537286585580736960,main_list,true,,,,,,,,,,,,,,,,,,,,,,impression
,2025-09-16 00:07:53.992000+00:00,f5eae4fc-78bd-4210-8031-679f2af11a11,ajs-next-1757981273992-c42f452f-5c8c-483b-910c-0332d3050c87,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/140.0.3485.52 Version/18.0 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Website&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Website&category=,,,,,,,,,sidebar,true,,,,,,,,,,,,,,,,,,,,,,impression
,2025-09-16 15:40:15.797000+00:00,8c9bfa8e-d419-47b6-88bd-028ccbc8e899,ajs-next-1758037215797-d21e1e66-7818-43aa-847b-1efcacd5dd5f,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Health%20%26%20Wellness,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Health%20%26%20Wellness,,,,,,,,1747420152884x437771544876149700,,false,,profile_arrow,"[{'brand': 'Chromium', 'version': '140'}, {'brand': 'Not=A?Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '140'}]",False,Windows,,,,,,,,,,,,,,,,,button_click
