anonymousId,userId,name,originalTimestamp,category,messageId,userAgent,page.path,page.referrer,page.search,page.title,page.url,path,referrer,search,title,url,category_properties,name_properties,input_value,business_id,input_num,input_name,address,other_category,city,description,display_email,business_name,main_category,parish,phone,sub_category,website,email,button_name,traits,sponsored_listing,userAgentData.brands,userAgentData.mobile,userAgentData.platform,location,search_text,event_type
23112e2f-734e-4df7-b808-0e8a7a8cbfef,,start,2025-08-15 15:21:28.338000+00:00,start,ajs-next-1755271288338-e06e88a2-aeb2-45e8-9e0b-2d79000e1f36,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:141.0) Gecko/20100101 Firefox/141.0,/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,start,start,,,,,,,,,,,,,,,,,,,,,,,,,page
23112e2f-734e-4df7-b808-0e8a7a8cbfef,1755271286521x378031808974615550,,2025-08-15 15:23:27.993000+00:00,,ajs-next-1755271407993-bda3a93e-176c-4c20-a90d-b18dc3319442,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:141.0) Gecko/20100101 Firefox/141.0,/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,,,,,,,,Publishing,1755271286521x378031808974615550,9,sub_category,,,,,,,,,,,,,,,,,,,,,input_changed
23112e2f-734e-4df7-b808-0e8a7a8cbfef,1755271286521x378031808974615550,business_profile,2025-08-15 15:35:32.476000+00:00,profile,ajs-next-1755272132476-3fa7b0d7-691b-41ac-b226-d452572db9b9,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:141.0) Gecko/20100101 Firefox/141.0,/business_profile/missio-dei-catholic,https://coloradocatholicbusinessdirectory.com/,,Missio Dei Catholic | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/missio-dei-catholic,/business_profile/missio-dei-catholic,https://coloradocatholicbusinessdirectory.com/,,Missio Dei Catholic | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/missio-dei-catholic,profile,business_profile,,1755271286521x378031808974615550,,,,,,,,,,,,,,,,,,,,,,,page
23112e2f-734e-4df7-b808-0e8a7a8cbfef,1755271286521x378031808974615550,dashboard,2025-08-15 15:21:59.898000+00:00,dashboard,ajs-next-1755271319899-e52d4a9a-a4b9-45f8-b024-2db4bda3a93e,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:141.0) Gecko/20100101 Firefox/141.0,/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,dashboard,dashboard,,1755271286521x378031808974615550,,,,,,,,,,,,,,,,,,,,,,,page
23112e2f-734e-4df7-b808-0e8a7a8cbfef,1755271286521x378031808974615550,,2025-08-15 15:22:30.083000+00:00,,ajs-next-1755271350083-4a9aa4b9-d5f8-4024-adb4-bda3a93e176c,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:141.0) Gecko/20100101 Firefox/141.0,/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,,,,,,,,,1755271286521x378031808974615550,3,address,,,,,,,,,,,,,,,,,,,,,input_changed
23112e2f-734e-4df7-b808-0e8a7a8cbfef,1755271286521x378031808974615550,,2025-08-15 15:35:31.064000+00:00,,ajs-next-1755272131064-9317ecdd-def7-46d8-9fa0-bb406c702fb0,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:141.0) Gecko/20100101 Firefox/141.0,/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,,,,,,,,,1755271286521x378031808974615550,,,,Media,,"Missio Dei Catholic – Faith-Driven Media & Apostolate

Missio Dei Catholic is a nonprofit apostolate dedicated to proclaiming the Gospel, deepening devotion, and equipping the faithful for the spiritual battle of our times. Founded by Holy Apostles College alumni with backgrounds in theology, media, and ministry, we draw on the rich traditions of the Catholic Church to inspire hearts and minds.

Our work combines professional media production, interviews with leading Catholic voices, and the creation of educational and devotional resources. We have collaborated with exorcists, theologians, and Catholic leaders, bringing clarity to complex spiritual topics and highlighting the transformative power of Christ in everyday life.

From producing Catholic podcasts and videos to organizing faith-based events, Missio Dei serves as a bridge between timeless Catholic truth and the modern world. With a commitment to integrity, prayer, and excellence, we invite you to partner with us in spreading the message of Christ and His Church.

Missio Dei Catholic – Guiding souls to Christ through faith, media, and mission.",jfessenden@missiodeicatholic.org,Missio Dei Catholic,Other,St. Bernadette,(310) 254-4807,Publishing,missiodeicatholic.org,jfessenden@missiodeicatholic.org,,,,,,,,,db_update
b144955c-b579-485b-9797-7583403b809c,,index,2025-08-15 16:13:40.773000+00:00,index,ajs-next-1755274420773-4ab14495-5cb5-49e8-9bd7-977583403b80,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/68.0.3440.106 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,,,,,,,,,,,,,,,,,,,,page
23112e2f-734e-4df7-b808-0e8a7a8cbfef,,,2025-08-15 15:21:56.442000+00:00,,ajs-next-1755271316442-88a2aeb2-a5e8-4e0b-ad79-000e1f36ff47,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:141.0) Gecko/20100101 Firefox/141.0,/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,,,,,,,,,,,,,,,,,,,,,,,jfessenden@missiodeicatholic.org,sign_up,,,,,,,,button_click
23112e2f-734e-4df7-b808-0e8a7a8cbfef,1755271286521x378031808974615550,,2025-08-15 15:24:41.821000+00:00,,ajs-next-1755271481821-176cbc20-a90d-418d-8331-9442165141a5,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:141.0) Gecko/20100101 Firefox/141.0,/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,,,,,,,,"Missio Dei Catholic – Faith-Driven Media & Apostolate

Missio Dei Catholic is a nonprofit apostolate dedicated to proclaiming the Gospel, deepening devotion, and equipping the faithful for the spiritual battle of our times. Founded by Holy Apostles College alumni with backgrounds in theology, media, and ministry, we draw on the rich traditions of the Catholic Church to inspire hearts and minds.

Our work combines professional media production, interviews with leading Catholic voices, and the creation of educational and devotional resources. We have collaborated with exorcists, theologians, and Catholic leaders, bringing clarity to complex spiritual topics and highlighting the transformative power of Christ in everyday life.

From producing Catholic podcasts and videos to organizing faith-based events, Missio Dei serves as a bridge between timeless Catholic truth and the modern world. With a commitment to integrity, prayer, and excellence, we invite you to partner with us in spreading the message of Christ and His Church.

Missio Dei Catholic – Guiding souls to Christ through faith, media, and mission.",1755271286521x378031808974615550,11,description,,,,,,,,,,,,,,,,,,,,,input_changed
23112e2f-734e-4df7-b808-0e8a7a8cbfef,1755271286521x378031808974615550,,2025-08-15 15:21:59.897000+00:00,,ajs-next-1755271319897-9e0ae52d-4a9a-44b9-95f8-30242db4bda3,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:141.0) Gecko/20100101 Firefox/141.0,/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,,,,,,,,,,,,,,,,,,,,,,,,,"{'business_id': '1755271286521x378031808974615550', 'email': 'jfessenden@missiodeicatholic.org', 'is_logged_in': True}",,,,,,,identify
