name,anonymousId,messageId,userId,originalTimestamp,category,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,business_id,category_properties,name_properties,traits,location,sponsored_listing,button_name,event_type
business_profile,5a55f3aa-31ec-4832-8b8c-4fe811226868,ajs-next-1759462554140-ea5a55f3-aa31-4c18-b28b-8c4fe8112268,,2025-10-03 03:35:54.140000+00:00,profile,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/136.0.0.0 Safari/537.36",/business_profile/nanoshield-coating-company-1749742920378x965836759111504900,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/nanoshield-coating-company-1749742920378x965836759111504900,[],False,,/business_profile/nanoshield-coating-company-1749742920378x965836759111504900,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/nanoshield-coating-company-1749742920378x965836759111504900,1749742920378x965836759111504900,profile,business_profile,,,,,page
search,9472e1a5-a56e-4ee3-90c8-3eaab62a0569,ajs-next-1759507740674-dd618c0d-d4ab-4076-81c6-4710f399f66a,1759423986281x805514757919405700,2025-10-03 16:09:00.674000+00:00,search,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,"[{'brand': 'Chromium', 'version': '140'}, {'brand': 'Not=A?Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '140'}]",False,Windows,/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,search,search,,,,,page
,9472e1a5-a56e-4ee3-90c8-3eaab62a0569,ajs-next-1759507710251-1ab4144c-104e-4206-9748-e429a3de403d,1759423986281x805514757919405700,2025-10-03 16:08:30.251000+00:00,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,"[{'brand': 'Chromium', 'version': '140'}, {'brand': 'Not=A?Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '140'}]",False,Windows,,,,,,,,,"{'business_id': '1759423986281x805514757919405700', 'email': 'valeri@bayedesignstudio.com', 'is_logged_in': True}",,,,identify
,9472e1a5-a56e-4ee3-90c8-3eaab62a0569,ajs-next-1759507710567-104ea206-5748-4429-a3de-403d11dbd1e0,1759423986281x805514757919405700,2025-10-03 16:08:30.567000+00:00,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,"[{'brand': 'Chromium', 'version': '140'}, {'brand': 'Not=A?Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '140'}]",False,Windows,,,,,,,,,,sidebar,true,,impression
,9472e1a5-a56e-4ee3-90c8-3eaab62a0569,ajs-next-1759507710883-a2065748-e429-43de-803d-11dbd1e0793a,1759423986281x805514757919405700,2025-10-03 16:08:30.883000+00:00,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,"[{'brand': 'Chromium', 'version': '140'}, {'brand': 'Not=A?Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '140'}]",False,Windows,,,,,,1752717497153x537286585580736960,,,,main_list,true,,impression
search,9472e1a5-a56e-4ee3-90c8-3eaab62a0569,ajs-next-1759507710251-144c104e-a206-4748-a429-a3de403d11db,1759423986281x805514757919405700,2025-10-03 16:08:30.251000+00:00,search,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,"[{'brand': 'Chromium', 'version': '140'}, {'brand': 'Not=A?Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '140'}]",False,Windows,/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,search,search,,,,,page
,9472e1a5-a56e-4ee3-90c8-3eaab62a0569,ajs-next-1759507740983-8c0dd4ab-9076-41c6-8710-f399f66abf96,1759423986281x805514757919405700,2025-10-03 16:09:00.983000+00:00,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,"[{'brand': 'Chromium', 'version': '140'}, {'brand': 'Not=A?Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '140'}]",False,Windows,,,,,,,,,,sidebar,true,,impression
business_profile,9472e1a5-a56e-4ee3-90c8-3eaab62a0569,ajs-next-1759507730181-54f2bee4-d77c-4876-a035-7465e412d2c3,1759423986281x805514757919405700,2025-10-03 16:08:50.181000+00:00,profile,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",/business_profile/alderman-custom-builders-1758147388607x898014240790697700,https://coloradocatholicbusinessdirectory.com/,,Baye Design Studio | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/alderman-custom-builders-1758147388607x898014240790697700,"[{'brand': 'Chromium', 'version': '140'}, {'brand': 'Not=A?Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '140'}]",False,Windows,/business_profile/alderman-custom-builders-1758147388607x898014240790697700,https://coloradocatholicbusinessdirectory.com/,,Baye Design Studio | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/alderman-custom-builders-1758147388607x898014240790697700,1758147388607x898014240790697700,profile,business_profile,,,,,page
,9472e1a5-a56e-4ee3-90c8-3eaab62a0569,ajs-next-1759507864440-01c64710-f399-466a-bf96-c1e18d512fbf,1759423986281x805514757919405700,2025-10-03 16:11:04.440000+00:00,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,"[{'brand': 'Chromium', 'version': '140'}, {'brand': 'Not=A?Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '140'}]",False,Windows,,,,,,1745273541628x945470626229355500,,,,,false,more_info_text,button_click
,9472e1a5-a56e-4ee3-90c8-3eaab62a0569,ajs-next-1759507740674-13acdd61-8c0d-44ab-9076-01c64710f399,1759423986281x805514757919405700,2025-10-03 16:09:00.674000+00:00,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,"[{'brand': 'Chromium', 'version': '140'}, {'brand': 'Not=A?Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '140'}]",False,Windows,,,,,,,,,"{'business_id': '1759423986281x805514757919405700', 'email': 'valeri@bayedesignstudio.com', 'is_logged_in': True}",,,,identify
