messageId,name,userId,originalTimestamp,anonymousId,category,userAgent,page.path,page.referrer,page.search,page.title,page.url,path,referrer,search,title,url,business_id,category_properties,name_properties,userAgentData.brands,userAgentData.mobile,userAgentData.platform,sponsored_listing,location,button_name,search_text,city,parish,event_type
ajs-next-1761347324114-3f91bb78-0659-4486-9c91-b81ac1cc6c02,dashboard,,2025-10-24 23:08:44.114000+00:00,91bb7806-5914-46dc-91b8-1ac1cc6c021a,dashboard,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15",/dashboard,,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,/dashboard,,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,1761325311682x477662206081459000,dashboard,dashboard,,,,,,,,,,page
ajs-next-1761352222497-948aef8c-bf5c-45fc-b358-d3ab741908c4,index,,2025-10-25 00:30:22.497000+00:00,8aef8cbf-5ce5-4c73-98d3-ab741908c48b,index,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,index,index,[],False,,,,,,,,page
ajs-next-1761352222811-5ce5fc73-58d3-4b74-9908-c48bc4bea3b0,,,2025-10-25 00:30:22.811000+00:00,8aef8cbf-5ce5-4c73-98d3-ab741908c48b,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,"1744579851707x640487742075829500, 1744335958024x226211831616957250, 1743547621069x279645472884266780, 1750436264420x989591292213482400, 1753374338412x209529915103450200, 1752717497153x537286585580736960, 1753982403438x535213824960417500, 1743549178851x847080663521240200",,,[],False,,true,,,,,,impression
ajs-next-1761352578414-d8b745c5-45c3-49e8-99e2-3748a9cabefb,,,2025-10-25 00:36:18.414000+00:00,6560e7b1-d8b7-45c5-85c3-49e899e23748,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,"1744335958024x226211831616957250, 1743547621069x279645472884266780, 1750436264420x989591292213482400, 1753374338412x209529915103450200, 1752717497153x537286585580736960, 1753982403438x535213824960417500, 1743549178851x847080663521240200, 1744579851707x640487742075829500",,,"[{'brand': 'Google Chrome', 'version': '139'}, {'brand': 'Chromium', 'version': '139'}, {'brand': 'Not(A:Brand', 'version': '99'}]",False,Windows,true,,,,,,impression
ajs-next-1761352222706-8cbf5ce5-fc73-48d3-ab74-1908c48bc4be,,,2025-10-25 00:30:22.706000+00:00,8aef8cbf-5ce5-4c73-98d3-ab741908c48b,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,"1744579851707x640487742075829500, 1744335958024x226211831616957250, 1743547621069x279645472884266780, 1750436264420x989591292213482400, 1753374338412x209529915103450200, 1752717497153x537286585580736960, 1753982403438x535213824960417500, 1743549178851x847080663521240200",,,[],False,,true,,,,,,impression
ajs-next-1761352574050-e7b1d8b7-45c5-45c3-89e8-99e23748a9ca,,,2025-10-25 00:36:14.050000+00:00,6560e7b1-d8b7-45c5-85c3-49e899e23748,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,"1744335958024x226211831616957250, 1743547621069x279645472884266780, 1750436264420x989591292213482400, 1753374338412x209529915103450200, 1752717497153x537286585580736960, 1753982403438x535213824960417500, 1743549178851x847080663521240200, 1744579851707x640487742075829500",,,"[{'brand': 'Google Chrome', 'version': '139'}, {'brand': 'Chromium', 'version': '139'}, {'brand': 'Not(A:Brand', 'version': '99'}]",False,Windows,true,,,,,,impression
ajs-next-1761352574030-fd6560e7-b1d8-4745-8545-c349e899e237,index,,2025-10-25 00:36:14.030000+00:00,6560e7b1-d8b7-45c5-85c3-49e899e23748,index,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,index,index,"[{'brand': 'Google Chrome', 'version': '139'}, {'brand': 'Chromium', 'version': '139'}, {'brand': 'Not(A:Brand', 'version': '99'}]",False,Windows,,,,,,,page
ajs-next-1761364667574-1dc18ba9-fb0b-4fb4-910c-bc9fc97648d5,business_profile,,2025-10-25 03:57:47.574000+00:00,2c6fc85d-a4b6-4b41-ae97-b8b611fb0224,profile,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",/business_profile/forensic-applications--1751224250248x539537516841198200,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/forensic-applications--1751224250248x539537516841198200,/business_profile/forensic-applications--1751224250248x539537516841198200,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/forensic-applications--1751224250248x539537516841198200,1751224250248x539537516841198200,profile,business_profile,"[{'brand': 'Google Chrome', 'version': '141'}, {'brand': 'Not?A_Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '141'}]",False,Windows,,,,,,,page
ajs-next-1761364679003-41e56a44-1ada-4203-85d0-07145577e462,,,2025-10-25 03:57:59.003000+00:00,2c6fc85d-a4b6-4b41-ae97-b8b611fb0224,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,,,,,1752717497153x537286585580736960,,,"[{'brand': 'Google Chrome', 'version': '141'}, {'brand': 'Not?A_Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '141'}]",False,Windows,true,main_list,,,,,impression
ajs-next-1761364682736-8e1b8f2d-ba8f-40c0-9676-3360944e391f,how_it_works,,2025-10-25 03:58:02.736000+00:00,2c6fc85d-a4b6-4b41-ae97-b8b611fb0224,how_it_works,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",/how_it_works/1761364620918x551220125641760400,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1761364620918x551220125641760400,/how_it_works/1761364620918x551220125641760400,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1761364620918x551220125641760400,,how_it_works,how_it_works,"[{'brand': 'Google Chrome', 'version': '141'}, {'brand': 'Not?A_Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '141'}]",False,Windows,,,,,,,page
