category,name,userId,originalTimestamp,anonymousId,messageId,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,category_properties,name_properties,business_id,sponsored_listing,button_name,city,search_text,location,parish,event_type
about_us,about_us,,2025-10-27 01:32:42.586000+00:00,209491fc-7e7a-46d1-b821-fce4db801333,ajs-next-1761528762586-3d209491-fc7e-4aa6-91f8-21fce4db8013,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",/about_us/1760735885639x686646516440875900,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1760735885639x686646516440875900,"[{'brand': 'Google Chrome', 'version': '141'}, {'brand': 'Not?A_Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '141'}]",False,Linux,/about_us/1760735885639x686646516440875900,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1760735885639x686646516440875900,about_us,about_us,,,,,,,,page
,,,2025-10-27 05:45:41.498000+00:00,1046834d-9f9f-4898-a054-45daf4b95319,ajs-next-1761543941498-834d9f9f-b898-4054-85da-f4b953198390,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/140.0.7339.16 Safari/537.36",/,https://www.google.com/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '140'}, {'brand': 'Not=A?Brand', 'version': '24'}, {'brand': 'HeadlessChrome', 'version': '140'}]",False,Linux,,,,,,,,"1744579851707x640487742075829500, 1744335958024x226211831616957250, 1743547621069x279645472884266780, 1750436264420x989591292213482400, 1753374338412x209529915103450200, 1752717497153x537286585580736960, 1753982403438x535213824960417500, 1743549178851x847080663521240200",true,,,,,,impression
,,,2025-10-27 05:45:42.153000+00:00,1046834d-9f9f-4898-a054-45daf4b95319,ajs-next-1761543942153-9f9fb898-6054-45da-b4b9-531983904595,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/140.0.7339.16 Safari/537.36",/,https://www.google.com/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '140'}, {'brand': 'Not=A?Brand', 'version': '24'}, {'brand': 'HeadlessChrome', 'version': '140'}]",False,Linux,,,,,,,,"1744579851707x640487742075829500, 1744335958024x226211831616957250, 1743547621069x279645472884266780, 1750436264420x989591292213482400, 1753374338412x209529915103450200, 1752717497153x537286585580736960, 1753982403438x535213824960417500, 1743549178851x847080663521240200",true,,,,,,impression
index,index,,2025-10-27 05:45:41.488000+00:00,1046834d-9f9f-4898-a054-45daf4b95319,ajs-next-1761543941488-e9104683-4d9f-4fb8-9860-5445daf4b953,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/140.0.7339.16 Safari/537.36",/,https://www.google.com/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '140'}, {'brand': 'Not=A?Brand', 'version': '24'}, {'brand': 'HeadlessChrome', 'version': '140'}]",False,Linux,/,https://www.google.com/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,,,page
,,,2025-10-27 16:03:50.183000+00:00,b1478a99-4256-4a66-b92c-26f6aa429251,ajs-next-1761581030183-8a994256-7a66-492c-a6f6-aa429251e758,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.79 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,"1753982403438x535213824960417500, 1743549178851x847080663521240200, 1752717497153x537286585580736960, 1750436264420x989591292213482400, 1743547621069x279645472884266780, 1744579851707x640487742075829500, 1753374338412x209529915103450200, 1744335958024x226211831616957250",true,,,,,,impression
index,index,,2025-10-27 16:03:50.154000+00:00,b1478a99-4256-4a66-b92c-26f6aa429251,ajs-next-1761581030154-0ab1478a-9942-467a-a679-2c26f6aa4292,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.79 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,,,page
profile,business_profile,,2025-10-27 16:13:21.283000+00:00,ac894c21-ed42-44f5-9ce4-613de468f6fa,ajs-next-1761581601283-68ac894c-21ed-4204-b55c-e4613de468f6,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",/business_profile/humble-energy-services-llc-1748581534531x956271769254002200,https://www.google.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/humble-energy-services-llc-1748581534531x956271769254002200,"[{'brand': 'Google Chrome', 'version': '141'}, {'brand': 'Not?A_Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '141'}]",False,Windows,/business_profile/humble-energy-services-llc-1748581534531x956271769254002200,https://www.google.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/humble-energy-services-llc-1748581534531x956271769254002200,profile,business_profile,1748581534531x956271769254002200,,,,,,,page
profile,business_profile,,2025-10-27 16:16:36.748000+00:00,ac894c21-ed42-44f5-9ce4-613de468f6fa,ajs-next-1761581796748-b9c52172-8a2d-4933-8324-a52d5dfd2db6,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",/business_profile/humble-energy-services-llc-1748581534531x956271769254002200,https://www.google.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/humble-energy-services-llc-1748581534531x956271769254002200,"[{'brand': 'Google Chrome', 'version': '141'}, {'brand': 'Not?A_Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '141'}]",False,Windows,/business_profile/humble-energy-services-llc-1748581534531x956271769254002200,https://www.google.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/humble-energy-services-llc-1748581534531x956271769254002200,profile,business_profile,1748581534531x956271769254002200,,,,,,,page
index,index,,2025-10-27 17:53:22.114000+00:00,d30c121c-b0b8-4a5c-be46-1fe690c9ef6a,ajs-next-1761587602114-42d30c12-1cb0-487a-9cfe-461fe690c9ef,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_0_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/141.0.7390.96 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,,,page
,,,2025-10-27 17:53:22.546000+00:00,d30c121c-b0b8-4a5c-be46-1fe690c9ef6a,ajs-next-1761587602546-121cb0b8-7a5c-4e46-9fe6-90c9ef6aab4a,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_0_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/141.0.7390.96 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,"1743549178851x847080663521240200, 1744579851707x640487742075829500, 1743547621069x279645472884266780, 1744335958024x226211831616957250, 1753374338412x209529915103450200, 1752717497153x537286585580736960, 1750436264420x989591292213482400, 1753982403438x535213824960417500",true,,,,,,impression
