messageId,name,category,userId,anonymousId,originalTimestamp,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,business_id,category_properties,name_properties,button_name,location,sponsored_listing,city,search_text,parish,event_type
ajs-next-1762641822478-0d12327b-8334-411f-bf64-cf27b4e97812,business_profile,profile,,12327b83-34a1-4fbf-a4cf-27b4e978125b,2025-11-08 22:43:42.478000+00:00,"Mozilla/5.0 (Linux; Android 11; moto g power (2022)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36",/business_profile/house-of-carmel-religious-gifts--books-1748365021326x105262688542451250,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/house-of-carmel-religious-gifts--books-1748365021326x105262688542451250,"[{'brand': 'Chromium', 'version': '137'}, {'brand': 'Google Chrome', 'version': '137'}]",True,Android,/business_profile/house-of-carmel-religious-gifts--books-1748365021326x105262688542451250,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/house-of-carmel-religious-gifts--books-1748365021326x105262688542451250,1748365021326x105262688542451250,profile,business_profile,,,,,,,page
ajs-next-1762705408401-8573538b-07f7-4db5-8d4e-cd8a69bd30b6,,,,d6ff0f84-8573-438b-87f7-adb50d4ecd8a,2025-11-09 16:23:28.401000+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Safari/605.1.15",/start,,?login=yes,Login,https://coloradocatholicbusinessdirectory.com/start?login=yes,,,,,,,,,,,,logo,navbar,,,,,button_click
ajs-next-1762705410200-b78d500b-1744-4f83-83ff-6e0a6cd0cb8e,,,,d6ff0f84-8573-438b-87f7-adb50d4ecd8a,2025-11-09 16:23:30.200000+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Safari/605.1.15",/,https://coloradocatholicbusinessdirectory.com/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,"1744335958024x226211831616957250, 1752717497153x537286585580736960, 1753982403438x535213824960417500, 1758312173588x895819358343598700, 1750436264420x989591292213482400, 1744579851707x640487742075829500, 1753374338412x209529915103450200, 1743547621069x279645472884266780, 1743549178851x847080663521240200",,,,,true,,,,impression
ajs-next-1762705387101-06d6ff0f-8485-4353-8b07-f7adb50d4ecd,start,start,,d6ff0f84-8573-438b-87f7-adb50d4ecd8a,2025-11-09 16:23:07.101000+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Safari/605.1.15",/start,,?login=yes,Login,https://coloradocatholicbusinessdirectory.com/start?login=yes,,,,/start,,?login=yes,Login,https://coloradocatholicbusinessdirectory.com/start?login=yes,,start,start,,,,,,,page
ajs-next-1762705411931-2f1945d1-d7be-49dc-9f8c-4eebe6627641,start,start,,d6ff0f84-8573-438b-87f7-adb50d4ecd8a,2025-11-09 16:23:31.931000+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Safari/605.1.15",/start,https://coloradocatholicbusinessdirectory.com/,?login=yes,Login,https://coloradocatholicbusinessdirectory.com/start?login=yes,,,,/start,https://coloradocatholicbusinessdirectory.com/,?login=yes,Login,https://coloradocatholicbusinessdirectory.com/start?login=yes,,start,start,,,,,,,page
ajs-next-1762705411159-500b1744-5f83-43ff-ae0a-6cd0cb8e75bc,,,,d6ff0f84-8573-438b-87f7-adb50d4ecd8a,2025-11-09 16:23:31.159000+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Safari/605.1.15",/,https://coloradocatholicbusinessdirectory.com/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,,login,navbar,,,,,button_click
ajs-next-1762705409748-5ff0b78d-500b-4744-9f83-43ff6e0a6cd0,index,index,,d6ff0f84-8573-438b-87f7-adb50d4ecd8a,2025-11-09 16:23:29.748000+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Safari/605.1.15",/,https://coloradocatholicbusinessdirectory.com/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,/,https://coloradocatholicbusinessdirectory.com/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,index,index,,,,,,,page
ajs-next-1762705434552-d7be79dc-1f8c-4eeb-a662-7641d9129be8,,,,d6ff0f84-8573-438b-87f7-adb50d4ecd8a,2025-11-09 16:23:54.552000+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Safari/605.1.15",/start,https://coloradocatholicbusinessdirectory.com/,?login=yes,Login,https://coloradocatholicbusinessdirectory.com/start?login=yes,,,,,,,,,,,,send_email,,,,,,button_click
ajs-next-1762705428624-45d1d7be-79dc-4f8c-8eeb-e6627641d912,,,,d6ff0f84-8573-438b-87f7-adb50d4ecd8a,2025-11-09 16:23:48.624000+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Safari/605.1.15",/start,https://coloradocatholicbusinessdirectory.com/,?login=yes,Login,https://coloradocatholicbusinessdirectory.com/start?login=yes,,,,,,,,,,,,forgot_pw,,,,,,button_click
ajs-next-1762705405472-0f848573-538b-47f7-adb5-0d4ecd8a69bd,,,,d6ff0f84-8573-438b-87f7-adb50d4ecd8a,2025-11-09 16:23:25.472000+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Safari/605.1.15",/start,,?login=yes,Login,https://coloradocatholicbusinessdirectory.com/start?login=yes,,,,,,,,,,,,login,navbar,,,,,button_click
