userId,name,originalTimestamp,messageId,anonymousId,category,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,category_properties,name_properties,business_id,location,sponsored_listing,button_name,search_text,traits,email,event_type
,about_us,2025-11-10 01:03:15.324000+00:00,ajs-next-1762736595324-793c283f-d6b2-4515-b372-6974948c9e5c,8707753e-ed3a-47a7-aa9f-135e29075492,about_us,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36",/about_us/1762725370677x949085627678265300,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1762725370677x949085627678265300,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",True,Android,/about_us/1762725370677x949085627678265300,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1762725370677x949085627678265300,about_us,about_us,,,,,,,,page
,about_us,2025-11-10 01:03:46.288000+00:00,ajs-next-1762736626288-3a17d5ec-4502-48e9-8b73-be6100722497,8707753e-ed3a-47a7-aa9f-135e29075492,about_us,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36",/about_us/1762725370677x949085627678265300,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1762725370677x949085627678265300,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",True,Android,/about_us/1762725370677x949085627678265300,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1762725370677x949085627678265300,about_us,about_us,,,,,,,,page
,,2025-11-10 01:04:19.225000+00:00,ajs-next-1762736659225-614eaa6b-0478-4ffa-9270-810cfe6c04db,8707753e-ed3a-47a7-aa9f-135e29075492,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Other,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Other,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",True,Android,,,,,,,,,sidebar,true,,,,,impression
,business_profile,2025-11-10 01:04:27.641000+00:00,ajs-next-1762736667641-6fe171b9-e33f-4f43-91d5-93862ccb3a43,8707753e-ed3a-47a7-aa9f-135e29075492,profile,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36",/business_profile/sophia-montessori-academy-1749068120323x412920063824988600,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/sophia-montessori-academy-1749068120323x412920063824988600,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",True,Android,/business_profile/sophia-montessori-academy-1749068120323x412920063824988600,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/sophia-montessori-academy-1749068120323x412920063824988600,profile,business_profile,1749068120323x412920063824988600,,,,,,,page
,index,2025-11-10 01:04:04.743000+00:00,ajs-next-1762736644743-0cb65a53-a9f8-4ffe-a12c-db33371f0b35,8707753e-ed3a-47a7-aa9f-135e29075492,index,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",True,Android,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,,,page
,index,2025-11-10 01:02:50.108000+00:00,ajs-next-1762736570108-29f87f0e-6904-4da9-b315-f1406a2dadb7,8707753e-ed3a-47a7-aa9f-135e29075492,index,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",True,Android,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,,,page
,,2025-11-10 01:04:13.829000+00:00,ajs-next-1762736653829-a9f8effe-212c-4b33-b71f-0b35c55f9e70,8707753e-ed3a-47a7-aa9f-135e29075492,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",True,Android,,,,,,,,,,,search,,,,button_click
,,2025-11-10 01:04:20.303000+00:00,ajs-next-1762736660303-04788ffa-9270-410c-be6c-04db75b8027a,8707753e-ed3a-47a7-aa9f-135e29075492,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Other,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Other,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",True,Android,,,,,,,,"1749068120323x412920063824988600, 1747163465846x476237095610093000, 1747170561218x640297169073643000, 1757720364741x595714121363069200, 1761044854709x307607562836745150, 1757355028996x505189727810192200, 1747165674437x491901038958021200, 1753985929691x853149258569598100, 1758120880051x675194275556497400, 1751402056748x637551618886434600, 1762364811793x796217509980630800, 1754941249648x796792188496967000, 1745597587022x519433479989605000, 1758568877707x715638242996164100, 1753465897836x101289632151690960, 1744260813114x505427712482621440, 1749580724532x760028975589297300, 1750423781412x480534435350699700, 1747221865162x703532834449508000, 1752687366861x422755081931784260, 1745533127765x291393362647413700, 1744736810207x919925185055488400, 1762271200864x775090106640580500, 1746843461447x686795565273950000, 1748581534531x956271769254002200, 1744319857648x144922844539837200, 1748389292320x918627677903932400, 1747184079669x994211808429350800, 1744907031541x119079844893356540, 1744282156200x727555159743162000, 1744737250347x219277345743008400, 1752182630575x854371423894944000, 1750436264420x989591292213482400, 1751744301621x758526182685981300, 1760118921086x941497076227920600, 1748365021326x105262688542451250, 1758147388607x898014240790697700, 1750783679107x801419812763124500, 1746467711533x453074785848415400, 1750784475796x702583457937545900, 1754949567759x639105313824555300, 1746548006831x128230088489826860, 1744743906400x631087870982087000, 1755271286521x378031808974615550",,false,,,,,impression
,,2025-11-10 01:02:50.529000+00:00,ajs-next-1762736570529-6904bda9-7315-4140-aa2d-adb7cc992fdb,8707753e-ed3a-47a7-aa9f-135e29075492,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",True,Android,,,,,,,,"1744335958024x226211831616957250, 1744579851707x640487742075829500, 1743547621069x279645472884266780, 1752717497153x537286585580736960, 1753374338412x209529915103450200, 1743549178851x847080663521240200, 1750436264420x989591292213482400, 1753982403438x535213824960417500, 1758312173588x895819358343598700",,true,,,,,impression
,,2025-11-10 01:04:20.333000+00:00,ajs-next-1762736660334-8ffa9270-810c-4e6c-84db-75b8027a4298,8707753e-ed3a-47a7-aa9f-135e29075492,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Other,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Other,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",True,Android,,,,,,,,"1749068120323x412920063824988600, 1747163465846x476237095610093000, 1747170561218x640297169073643000, 1757720364741x595714121363069200, 1761044854709x307607562836745150, 1757355028996x505189727810192200, 1747165674437x491901038958021200, 1753985929691x853149258569598100, 1758120880051x675194275556497400, 1751402056748x637551618886434600, 1762364811793x796217509980630800, 1754941249648x796792188496967000, 1745597587022x519433479989605000, 1758568877707x715638242996164100, 1753465897836x101289632151690960, 1744260813114x505427712482621440, 1749580724532x760028975589297300, 1750423781412x480534435350699700, 1747221865162x703532834449508000, 1752687366861x422755081931784260, 1745533127765x291393362647413700, 1744736810207x919925185055488400, 1762271200864x775090106640580500, 1746843461447x686795565273950000, 1748581534531x956271769254002200, 1744319857648x144922844539837200, 1748389292320x918627677903932400, 1747184079669x994211808429350800, 1744907031541x119079844893356540, 1744282156200x727555159743162000, 1744737250347x219277345743008400, 1752182630575x854371423894944000, 1750436264420x989591292213482400, 1751744301621x758526182685981300, 1760118921086x941497076227920600, 1748365021326x105262688542451250, 1758147388607x898014240790697700, 1750783679107x801419812763124500, 1746467711533x453074785848415400, 1750784475796x702583457937545900, 1754949567759x639105313824555300, 1746548006831x128230088489826860, 1744743906400x631087870982087000, 1755271286521x378031808974615550",,false,,,,,impression
