messageId,userId,originalTimestamp,anonymousId,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,button_name,location,search_text,category,traits,name,path,referrer,search,title,url,business_id,category_properties,name_properties,sponsored_listing,email,address,other_category,city,description,display_email,business_name,main_category,parish,phone,sub_category,website,input_value,input_num,input_name,event_type
ajs-next-1762818974075-521b5d6b-58e2-44e6-a78c-a8ca5e07d4da,1758312173588x895819358343598700,2025-11-10 23:56:14.075000+00:00,0f1faa34-7684-4a53-8933-0a6fcb3e7a33,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0",/,https://coloradocatholicbusinessdirectory.com/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Microsoft Edge', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",False,Windows,list_your_business,main_page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,button_click
ajs-next-1762818997077-62b3d646-40c1-4e03-8962-de59b57d46c1,1758312173588x895819358343598700,2025-11-10 23:56:37.077000+00:00,0f1faa34-7684-4a53-8933-0a6fcb3e7a33,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Microsoft Edge', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",False,Windows,,,bankerslife,,,,,,,,,,,,,,,,,,,,,,,,,,,,search
ajs-next-1762818978286-e12eb76c-ba8d-4430-bced-0733bd08c41b,1758312173588x895819358343598700,2025-11-10 23:56:18.286000+00:00,0f1faa34-7684-4a53-8933-0a6fcb3e7a33,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0",/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Microsoft Edge', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",False,Windows,,,,,"{'business_id': '1758312173588x895819358343598700', 'email': 'cecilia.jennings@bankerslife.com', 'is_logged_in': True}",,,,,,,,,,,,,,,,,,,,,,,,,,identify
ajs-next-1762818983251-8430fced-0733-4d08-841b-b3dc49d2e800,1758312173588x895819358343598700,2025-11-10 23:56:23.251000+00:00,0f1faa34-7684-4a53-8933-0a6fcb3e7a33,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0",/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Microsoft Edge', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",False,Windows,,,,dashboard,,dashboard,/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,1758312173588x895819358343598700,dashboard,dashboard,,,,,,,,,,,,,,,,,page
ajs-next-1762818966717-4602521b-5d6b-48e2-a4e6-e78ca8ca5e07,1758312173588x895819358343598700,2025-11-10 23:56:06.717000+00:00,0f1faa34-7684-4a53-8933-0a6fcb3e7a33,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0",/,https://coloradocatholicbusinessdirectory.com/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Microsoft Edge', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",False,Windows,,,,,,,,,,,,"1753982403438x535213824960417500, 1743547621069x279645472884266780, 1744335958024x226211831616957250, 1750436264420x989591292213482400, 1743549178851x847080663521240200, 1758312173588x895819358343598700, 1752717497153x537286585580736960, 1753374338412x209529915103450200, 1744579851707x640487742075829500",,,true,,,,,,,,,,,,,,,,impression
ajs-next-1762818992252-ff200dd5-b246-4a91-a2b3-d64640c14e03,1758312173588x895819358343598700,2025-11-10 23:56:32.252000+00:00,0f1faa34-7684-4a53-8933-0a6fcb3e7a33,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Microsoft Edge', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",False,Windows,,,,,"{'business_id': '1758312173588x895819358343598700', 'email': 'cecilia.jennings@bankerslife.com', 'is_logged_in': True}",,,,,,,,,,,,,,,,,,,,,,,,,,identify
ajs-next-1762818975134-06e25e5e-a24f-4a34-941b-d1975643eee5,1758312173588x895819358343598700,2025-11-10 23:56:15.134000+00:00,0f1faa34-7684-4a53-8933-0a6fcb3e7a33,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0",/start,https://coloradocatholicbusinessdirectory.com/,,Login,https://coloradocatholicbusinessdirectory.com/start,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Microsoft Edge', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",False,Windows,,,,start,,start,/start,https://coloradocatholicbusinessdirectory.com/,,Login,https://coloradocatholicbusinessdirectory.com/start,,start,start,,,,,,,,,,,,,,,,,page
ajs-next-1762818966001-65184602-521b-4d6b-98e2-64e6e78ca8ca,1758312173588x895819358343598700,2025-11-10 23:56:06.001000+00:00,0f1faa34-7684-4a53-8933-0a6fcb3e7a33,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0",/,https://coloradocatholicbusinessdirectory.com/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Microsoft Edge', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",False,Windows,,,,index,,index,/,https://coloradocatholicbusinessdirectory.com/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,index,index,,,,,,,,,,,,,,,,,page
ajs-next-1762818999848-7c268292-86d0-4228-ae60-d7ee93a3ada1,1758312173588x895819358343598700,2025-11-10 23:56:39.848000+00:00,0f1faa34-7684-4a53-8933-0a6fcb3e7a33,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0",/search,https://coloradocatholicbusinessdirectory.com/,?query=bankerslife&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=bankerslife&category=,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Microsoft Edge', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",False,Windows,,main_list,,,,,,,,,,1752717497153x537286585580736960,,,true,,,,,,,,,,,,,,,,impression
ajs-next-1762818964114-276569fa-ec61-4e04-bcc4-be82b25cc024,1758312173588x895819358343598700,2025-11-10 23:56:04.114000+00:00,0f1faa34-7684-4a53-8933-0a6fcb3e7a33,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Microsoft Edge', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",False,Windows,login,,,,,,,,,,,,,,,Cecilia.Jennings@bankerslife.com,,,,,,,,,,,,,,,button_click
ajs-next-1762818956374-1eaa78a6-2765-49fa-ac61-ae043cc4be82,1758312173588x895819358343598700,2025-11-10 23:55:56.374000+00:00,0f1faa34-7684-4a53-8933-0a6fcb3e7a33,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Microsoft Edge', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",False,Windows,,,,start,,start,/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,,start,start,,,,,,,,,,,,,,,,,page
ajs-next-1762818996762-ba9162b3-d646-40c1-8e03-8962de59b57d,1758312173588x895819358343598700,2025-11-10 23:56:36.762000+00:00,0f1faa34-7684-4a53-8933-0a6fcb3e7a33,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Microsoft Edge', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",False,Windows,search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,button_click
ajs-next-1762818956368-66701eaa-78a6-4765-a9fa-ec61ae043cc4,1758312173588x895819358343598700,2025-11-10 23:55:56.368000+00:00,0f1faa34-7684-4a53-8933-0a6fcb3e7a33,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Microsoft Edge', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",False,Windows,,,,,"{'business_id': '1758312173588x895819358343598700', 'email': 'cecilia.jennings@bankerslife.com', 'is_logged_in': True}",,,,,,,,,,,,,,,,,,,,,,,,,,identify
ajs-next-1762818965992-e7f76518-4602-421b-9d6b-58e264e6e78c,1758312173588x895819358343598700,2025-11-10 23:56:05.992000+00:00,0f1faa34-7684-4a53-8933-0a6fcb3e7a33,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0",/,https://coloradocatholicbusinessdirectory.com/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Microsoft Edge', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",False,Windows,,,,,"{'business_id': '1758312173588x895819358343598700', 'email': 'cecilia.jennings@bankerslife.com', 'is_logged_in': True}",,,,,,,,,,,,,,,,,,,,,,,,,,identify
ajs-next-1762818979804-ba8d8430-fced-4733-bd08-c41bb3dc49d2,1758312173588x895819358343598700,2025-11-10 23:56:19.804000+00:00,0f1faa34-7684-4a53-8933-0a6fcb3e7a33,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0",/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=billing,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=billing,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Microsoft Edge', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",False,Windows,,,,dashboard,,dashboard,/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=billing,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=billing,1758312173588x895819358343598700,dashboard,dashboard,,,,,,,,,,,,,,,,,page
ajs-next-1762819000166-829286d0-a228-4e60-97ee-93a3ada1abc5,1758312173588x895819358343598700,2025-11-10 23:56:40.166000+00:00,0f1faa34-7684-4a53-8933-0a6fcb3e7a33,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0",/search,https://coloradocatholicbusinessdirectory.com/,?query=bankerslife&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=bankerslife&category=,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Microsoft Edge', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",False,Windows,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,impression
