messageId,originalTimestamp,anonymousId,userId,userAgent,page.path,page.referrer,page.search,page.title,page.url,business_id,sponsored_listing,category,name,path,referrer,search,title,url,category_properties,name_properties,traits,input_num,input_name,input_value,button_name,location,address,other_category,city,description,display_email,business_name,main_category,parish,phone,sub_category,website,email,search_text,userAgentData.brands,userAgentData.mobile,userAgentData.platform,event_type
ajs-next-1763255159464-1f6e44d8-3c0a-4e37-bb20-8f34fc5598a2,2025-11-16 01:05:59.464000+00:00,1fb92160-1f6e-44d8-bc0a-ce37fb208f34,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.0.1 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"1752717497153x537286585580736960, 1758312173588x895819358343598700, 1753982403438x535213824960417500, 1744335958024x226211831616957250, 1750436264420x989591292213482400, 1743549178851x847080663521240200, 1743547621069x279645472884266780, 1753374338412x209529915103450200, 1744579851707x640487742075829500",true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,impression
ajs-next-1763255159159-e51fb921-601f-4e44-983c-0ace37fb208f,2025-11-16 01:05:59.159000+00:00,1fb92160-1f6e-44d8-bc0a-ce37fb208f34,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.0.1 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,index,index,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,,,,,,,,,,,,,,,,,,page
ajs-next-1763255261654-d063d19b-786d-40fc-a050-868be127d748,2025-11-16 01:07:41.654000+00:00,1fb92160-1f6e-44d8-bc0a-ce37fb208f34,1763255155587x707008769292458900,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.0.1 Mobile/15E148 Safari/604.1",/start,https://coloradocatholicbusinessdirectory.com/,,Login,https://coloradocatholicbusinessdirectory.com/start,,,,,,,,,,,,"{'business_id': '1763255155587x707008769292458900', 'email': 'carrollpainting@me.com'}",,,,,,,,,,,,,,,,,,,,,,identify
ajs-next-1763255235857-3cf3b5b4-d063-419b-b86d-30fca050868b,2025-11-16 01:07:15.857000+00:00,1fb92160-1f6e-44d8-bc0a-ce37fb208f34,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.0.1 Mobile/15E148 Safari/604.1",/start,https://coloradocatholicbusinessdirectory.com/,,Login,https://coloradocatholicbusinessdirectory.com/start,,,start,start,/start,https://coloradocatholicbusinessdirectory.com/,,Login,https://coloradocatholicbusinessdirectory.com/start,start,start,,,,,,,,,,,,,,,,,,,,,,,page
ajs-next-1763255283651-b9faeabc-f985-4eb4-9e1e-0a30c20e7783,2025-11-16 01:08:03.651000+00:00,1fb92160-1f6e-44d8-bc0a-ce37fb208f34,1763255155587x707008769292458900,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.0.1 Mobile/15E148 Safari/604.1",/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,1763255155587x707008769292458900,,,,,,,,,,,,2,logo,,,,,,,,,,,,,,,,,,,,input_changed
ajs-next-1763255678424-ec1354a9-5d69-4784-b701-22567633c8e2,2025-11-16 01:14:38.424000+00:00,1fb92160-1f6e-44d8-bc0a-ce37fb208f34,1763255155587x707008769292458900,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.0.1 Mobile/15E148 Safari/604.1",/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,1763255155587x707008769292458900,,,,,,,,,,,,11,description,"We are a Fourth generation family business. Peter Sr. And Peter Jr. are Irish Catholics who take their faith seriously, and apply it to the way we do our business.  We strive to deliver the highest quality end result possible, whatever the project may be, big or small. Our teams have been with us for many years, with our longest serving team member having been with us for over 25 years.",,,,,,,,,,,,,,,,,,,input_changed
ajs-next-1763255382433-0a30c20e-7783-4c13-94a9-5d69f7843701,2025-11-16 01:09:42.433000+00:00,1fb92160-1f6e-44d8-bc0a-ce37fb208f34,1763255155587x707008769292458900,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.0.1 Mobile/15E148 Safari/604.1",/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,1763255155587x707008769292458900,,,,,,,,,,,,8,main_category,Home Services,,,,,,,,,,,,,,,,,,,input_changed
ajs-next-1763255209996-16e35a10-4ca9-4727-a0df-08d4a0b4144e,2025-11-16 01:06:49.996000+00:00,1fb92160-1f6e-44d8-bc0a-ce37fb208f34,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.0.1 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,index,index,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,,,,,,,,,,,,,,,,,,page
ajs-next-1763255337062-eabcf985-5eb4-4e1e-8a30-c20e7783ec13,2025-11-16 01:08:57.062000+00:00,1fb92160-1f6e-44d8-bc0a-ce37fb208f34,1763255155587x707008769292458900,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.0.1 Mobile/15E148 Safari/604.1",/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,1763255155587x707008769292458900,,,,,,,,,,,,3,address,"4419 Centennial Blvd, Colorado Springs, CO 80907, USA",,,,,,,,,,,,,,,,,,,input_changed
ajs-next-1763255262658-9e22b9fa-eabc-4985-9eb4-9e1e0a30c20e,2025-11-16 01:07:42.658000+00:00,1fb92160-1f6e-44d8-bc0a-ce37fb208f34,1763255155587x707008769292458900,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.0.1 Mobile/15E148 Safari/604.1",/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,1763255155587x707008769292458900,,dashboard,dashboard,/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,dashboard,dashboard,,,,,,,,,,,,,,,,,,,,,,,page
