category,messageId,anonymousId,originalTimestamp,name,userId,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,category_properties,name_properties,business_id,location,sponsored_listing,button_name,campaign.source,search_text,event_type
how_it_works,ajs-next-1763766488327-c3769cd6-68e4-4abb-8db1-e3528fb21f83,769cd668-e4ca-4bcd-b1e3-528fb21f83e2,2025-11-21 23:08:08.327000+00:00,how_it_works,,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/how_it_works/mfm-electrical-services--1763148950401x545361905340972600,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/mfm-electrical-services--1763148950401x545361905340972600,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'HeadlessChrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",False,Windows,/how_it_works/mfm-electrical-services--1763148950401x545361905340972600,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/mfm-electrical-services--1763148950401x545361905340972600,how_it_works,how_it_works,,,,,,,page
,ajs-next-1763766937177-8b2b3240-17da-4db0-a235-c2f8b5aaecf0,55db493e-30c0-4653-a6b5-db64b767fabd,2025-11-21 23:15:37.177000+00:00,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Fort%20collins&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Fort%20collins&category=,,,,,,,,,,,1753982403438x535213824960417500,main_list,true,,,,impression
,ajs-next-1763766937568-2235c2f8-b5aa-4cf0-9c04-330281a92b91,55db493e-30c0-4653-a6b5-db64b767fabd,2025-11-21 23:15:37.568000+00:00,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Fort%20collins&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Fort%20collins&category=,,,,,,,,,,,"1746765568691x979794717919274100, 1762364811793x796217509980630800",,false,,,,impression
,ajs-next-1763766936743-f24c2a09-8b2b-4240-97da-9db02235c2f8,55db493e-30c0-4653-a6b5-db64b767fabd,2025-11-21 23:15:36.743000+00:00,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Fort%20collins&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Fort%20collins&category=,,,,,,,,,,,1753982403438x535213824960417500,main_list,true,,,,impression
,ajs-next-1763766938381-ecf01c04-3302-41a9-ab91-3d1d9fd91ff9,55db493e-30c0-4653-a6b5-db64b767fabd,2025-11-21 23:15:38.381000+00:00,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Fort%20collins&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Fort%20collins&category=,,,,,,,,,,,"1746765568691x979794717919274100, 1762364811793x796217509980630800",,false,,,,impression
,ajs-next-1763766937673-c2f8b5aa-ecf0-4c04-b302-81a92b913d1d,55db493e-30c0-4653-a6b5-db64b767fabd,2025-11-21 23:15:37.673000+00:00,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Fort%20collins&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Fort%20collins&category=,,,,,,,,,,,"1746765568691x979794717919274100, 1762364811793x796217509980630800",,false,,,,impression
,ajs-next-1763766911672-493e30c0-d653-46b5-9b64-b767fabddb27,55db493e-30c0-4653-a6b5-db64b767fabd,2025-11-21 23:15:11.672000+00:00,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,"1744579851707x640487742075829500, 1753374338412x209529915103450200, 1743549178851x847080663521240200, 1744335958024x226211831616957250, 1753982403438x535213824960417500, 1752717497153x537286585580736960, 1750436264420x989591292213482400, 1758312173588x895819358343598700, 1743547621069x279645472884266780",,true,,,,impression
index,ajs-next-1763766911669-4c55db49-3e30-40d6-93a6-b5db64b767fa,55db493e-30c0-4653-a6b5-db64b767fabd,2025-11-21 23:15:11.669000+00:00,index,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,,page
,ajs-next-1763766933609-d653a6b5-db64-4767-babd-db274390f28e,55db493e-30c0-4653-a6b5-db64b767fabd,2025-11-21 23:15:33.609000+00:00,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,,,,search,,,button_click
,ajs-next-1763766971379-6456724b-d9c2-48ef-9e44-adaec14edcc0,55db493e-30c0-4653-a6b5-db64b767fabd,2025-11-21 23:16:11.379000+00:00,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/,,?utm_source=chatgpt.com,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/?utm_source=chatgpt.com,,,,,,,,,,,"1753374338412x209529915103450200, 1758312173588x895819358343598700, 1744579851707x640487742075829500, 1750436264420x989591292213482400, 1752717497153x537286585580736960, 1753982403438x535213824960417500, 1743549178851x847080663521240200, 1744335958024x226211831616957250, 1743547621069x279645472884266780",,true,,chatgpt.com,,impression
,ajs-next-1763766937237-324017da-9db0-4235-82f8-b5aaecf01c04,55db493e-30c0-4653-a6b5-db64b767fabd,2025-11-21 23:15:37.237000+00:00,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Fort%20collins&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Fort%20collins&category=,,,,,,,,,,,"1746765568691x979794717919274100, 1762364811793x796217509980630800",,false,,,,impression
,ajs-next-1763766933915-a6b5db64-b767-4abd-9b27-4390f28ed367,55db493e-30c0-4653-a6b5-db64b767fabd,2025-11-21 23:15:33.915000+00:00,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,,,,,,Fort collins,search
,ajs-next-1763766937246-17da9db0-2235-42f8-b5aa-ecf01c043302,55db493e-30c0-4653-a6b5-db64b767fabd,2025-11-21 23:15:37.246000+00:00,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Fort%20collins&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Fort%20collins&category=,,,,,,,,,,,"1746765568691x979794717919274100, 1762364811793x796217509980630800",,false,,,,impression
,ajs-next-1763766937167-2a098b2b-3240-47da-9db0-2235c2f8b5aa,55db493e-30c0-4653-a6b5-db64b767fabd,2025-11-21 23:15:37.167000+00:00,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Fort%20collins&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Fort%20collins&category=,,,,,,,,,,,1753982403438x535213824960417500,main_list,true,,,,impression
profile,ajs-next-1763766947485-b16c508b-3179-4767-9a72-00ad2d6de8d8,55db493e-30c0-4653-a6b5-db64b767fabd,2025-11-21 23:15:47.485000+00:00,business_profile,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/business_profile/skyhawks-supertots-sports-colorado-1746765568691x979794717919274100,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/skyhawks-supertots-sports-colorado-1746765568691x979794717919274100,,,,/business_profile/skyhawks-supertots-sports-colorado-1746765568691x979794717919274100,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/skyhawks-supertots-sports-colorado-1746765568691x979794717919274100,profile,business_profile,1746765568691x979794717919274100,,,,,,page
,ajs-next-1763766971382-724bd9c2-68ef-4e44-adae-c14edcc0e671,55db493e-30c0-4653-a6b5-db64b767fabd,2025-11-21 23:16:11.382000+00:00,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/,,?utm_source=chatgpt.com,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/?utm_source=chatgpt.com,,,,,,,,,,,"1753374338412x209529915103450200, 1758312173588x895819358343598700, 1744579851707x640487742075829500, 1750436264420x989591292213482400, 1752717497153x537286585580736960, 1753982403438x535213824960417500, 1743549178851x847080663521240200, 1744335958024x226211831616957250, 1743547621069x279645472884266780",,true,,chatgpt.com,,impression
,ajs-next-1763766936222-dc9268be-66ee-424c-aa09-8b2b324017da,55db493e-30c0-4653-a6b5-db64b767fabd,2025-11-21 23:15:36.222000+00:00,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Fort%20collins&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Fort%20collins&category=,,,,,,,,,,,,sidebar,true,,,,impression
,ajs-next-1763766936239-68be66ee-f24c-4a09-8b2b-324017da9db0,55db493e-30c0-4653-a6b5-db64b767fabd,2025-11-21 23:15:36.239000+00:00,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Fort%20collins&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Fort%20collins&category=,,,,,,,,,,,,sidebar,true,,,,impression
,ajs-next-1763766936728-66eef24c-2a09-4b2b-b240-17da9db02235,55db493e-30c0-4653-a6b5-db64b767fabd,2025-11-21 23:15:36.728000+00:00,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Fort%20collins&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Fort%20collins&category=,,,,,,,,,,,1753982403438x535213824960417500,main_list,true,,,,impression
search,ajs-next-1763766935715-4013dc92-68be-46ee-b24c-2a098b2b3240,55db493e-30c0-4653-a6b5-db64b767fabd,2025-11-21 23:15:35.715000+00:00,search,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Fort%20collins&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Fort%20collins&category=,,,,/search,https://coloradocatholicbusinessdirectory.com/,?query=Fort%20collins&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Fort%20collins&category=,search,search,,,,,,,page
,ajs-next-1763766911977-30c0d653-a6b5-4b64-b767-fabddb274390,55db493e-30c0-4653-a6b5-db64b767fabd,2025-11-21 23:15:11.977000+00:00,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,"1744579851707x640487742075829500, 1753374338412x209529915103450200, 1743549178851x847080663521240200, 1744335958024x226211831616957250, 1753982403438x535213824960417500, 1752717497153x537286585580736960, 1750436264420x989591292213482400, 1758312173588x895819358343598700, 1743547621069x279645472884266780",,true,,,,impression
,ajs-next-1763766938396-1c043302-81a9-4b91-bd1d-9fd91ff92f24,55db493e-30c0-4653-a6b5-db64b767fabd,2025-11-21 23:15:38.396000+00:00,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Fort%20collins&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Fort%20collins&category=,,,,,,,,,,,"1746765568691x979794717919274100, 1762364811793x796217509980630800",,false,,,,impression
