category,messageId,name,userId,originalTimestamp,anonymousId,userAgent,page.path,page.referrer,page.search,page.title,page.url,path,referrer,search,title,url,category_properties,name_properties,city,search_text,location,parish,business_id,sponsored_listing,button_name,userAgentData.brands,userAgentData.mobile,userAgentData.platform,event_type
search,ajs-next-1764028927757-8f3eba23-3096-424b-90a3-3511a94717e0,search,,2025-11-25 00:02:07.757000+00:00,3eba2330-9692-4b90-a335-11a94717e0b4,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,search,search,,,,,,,,,,,page
search,ajs-next-1764028986550-4717e0b4-d7c7-4502-ae3e-309c39feabaa,search,,2025-11-25 00:03:06.550000+00:00,3eba2330-9692-4b90-a335-11a94717e0b4,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=,/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=,search,search,,,,,,,,,,,page
,ajs-next-1764028986227-11a94717-e0b4-47c7-9502-ae3e309c39fe,,,2025-11-25 00:03:06.227000+00:00,3eba2330-9692-4b90-a335-11a94717e0b4,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,,,,,,,,,main_search,St. Vincent de Paul,,,,,,,search
profile,ajs-next-1764029058403-c067f68c-5d81-4a70-8e0c-52041d84a6a2,business_profile,,2025-11-25 00:04:18.403000+00:00,3eba2330-9692-4b90-a335-11a94717e0b4,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/business_profile/matthew-cain-with-wealthwave-1763672237927x725969385673238800,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/matthew-cain-with-wealthwave-1763672237927x725969385673238800,/business_profile/matthew-cain-with-wealthwave-1763672237927x725969385673238800,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/matthew-cain-with-wealthwave-1763672237927x725969385673238800,profile,business_profile,,,,,1763672237927x725969385673238800,,,,,,page
,ajs-next-1764028928664-4b90a335-11a9-4717-a0b4-d7c71502ae3e,,,2025-11-25 00:02:08.664000+00:00,3eba2330-9692-4b90-a335-11a94717e0b4,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,,,,,,,,,,,"1747848709032x210920410073364830, 1761919898226x928695665795906700, 1744737250347x219277345743008400, 1758147388607x898014240790697700, 1751319669665x621437589169731200, 1747415704843x665338483592092500, 1749173974503x736079030141835600, 1744398484109x785674167096991400, 1747216018889x770977089491677400, 1744736810207x919925185055488400, 1752717497153x537286585580736960, 1744643921578x315333816253624100, 1747185390251x665604546429507900, 1755533063776x956164571796881400, 1744751205492x235134337285239230, 1747165674437x491901038958021200, 1747594874125x270237571814453630, 1744319857648x144922844539837200, 1745273541628x945470626229355500, 1759423986281x805514757919405700, 1754949567759x639105313824555300, 1754624056001x759184470890143000, 1751402056748x637551618886434600, 1744134674881x127285411168640110, 1757355028996x505189727810192200, 1750784029587x963255839088365200, 1747864432460x772931238395911000, 1762364811793x796217509980630800, 1744157592334x292550965261606100, 1754927931120x470668069008822300, 1746938798847x931997689495082400, 1755621956288x571897163769246900, 1758312173588x895819358343598700, 1750784475796x702583457937545900, 1745528732739x896561533370513300, 1752687366861x422755081931784260, 1754081360962x724252535884739300, 1746467711533x453074785848415400, 1753374338412x209529915103450200, 1747183179554x540122160625888100, 1744743906400x631087870982087000, 1761930377989x951815782791809400, 1750785338983x949958887494882000, 1759930025997x126109694575208930, 1762889659042x996969350831174300, 1747221865162x703532834449508000, 1746765568691x979794717919274100, 1753911193017x504194995643152640, 1757720364741x595714121363069200, 1761762460002x434978052003146300, 1744760380914x558772773612561600, 1744907031541x119079844893356540, 1744282156200x727555159743162000, 1762957766158x632118084948257900, 1751224250248x539537516841198200, 1763672237927x725969385673238800, 1748365021326x105262688542451250, 1763148950401x545361905340972600, 1749057953945x756346430245684600, 1757438153395x416809556103947500, 1748581534531x956271769254002200, 1750423781412x480534435350699700, 1763509156539x144450665564595840, 1746827109704x963221719337950200, 1747398900475x598159844147748100, 1746635677548x343522492232585660, 1753982403438x535213824960417500, 1763305551668x997299018011994600, 1744397288473x909294892772270800, 1760458225389x690604949380638100, 1753135741395x558904608479141570, 1761044854709x307607562836745150, 1748389292320x918627677903932400, 1753985929691x853149258569598100, 1746855895334x711816173120128000, 1763408145585x201322720695875870, 1751425811600x127124815802215140, 1750783674403x491887953737125700, 1753465897836x101289632151690960, 1761762406893x958878656538368500, 1743547361284x291138005899707260, 1749580724532x760028975589297300, 1747420152884x437771544876149700, 1743549178851x847080663521240200, 1744175271939x575064790204550460, 1757369121056x350487849823425600, 1744748222708x779656090283929300, 1751744301621x758526182685981300, 1763569204895x378265538177280400, 1743547621069x279645472884266780, 1744260813114x505427712482621440, 1744391553368x301043576290850300, 1754505203290x671062062407191900, 1758568877707x715638242996164100, 1752182630575x854371423894944000, 1750436264420x989591292213482400, 1745597587022x519433479989605000, 1747827548541x313848517899538500, 1749742920378x965836759111504900, 1747170561218x640297169073643000, 1746631267951x741803061642879500, 1750783679107x801419812763124500, 1749068120323x412920063824988600, 1746548006831x128230088489826860, 1755271286521x378031808974615550, 1754941249648x796792188496967000, 1746843461447x686795565273950000, 1760118921086x941497076227920600, 1745533127765x291393362647413700, 1754084205128x675147807630683600, 1751749348389x952656707958261400, 1759153763139x433792388290277000, 1744579851707x640487742075829500, 1747184079669x994211808429350800, 1758120880051x675194275556497400, 1747163465846x476237095610093000, 1744335958024x226211831616957250, 1744740154739x566945822952470660, 1763255155587x707008769292458900, 1753909381745x872991521395046100, 1762271200864x775090106640580500, 1757437593796x460281345015416640",false,,,,,impression
,ajs-next-1764028928059-23309692-4b90-4335-91a9-4717e0b4d7c7,,,2025-11-25 00:02:08.059000+00:00,3eba2330-9692-4b90-a335-11a94717e0b4,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,,,,,,,,,sidebar,,,true,,,,,impression
search,ajs-next-1764028996872-39feabaa-3878-402a-8bf5-2a33f526052e,search,,2025-11-25 00:03:16.872000+00:00,3eba2330-9692-4b90-a335-11a94717e0b4,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Finance,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Finance,/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Finance,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Finance,search,search,,,,,,,,,,,page
,ajs-next-1764029035559-4bf52a33-f526-452e-926a-2cb77746a916,,,2025-11-25 00:03:55.559000+00:00,3eba2330-9692-4b90-a335-11a94717e0b4,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Finance,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Finance,,,,,,,,,,,,,,search,,,,button_click
,ajs-next-1764028987473-1502ae3e-309c-49fe-abaa-3878802a4bf5,,,2025-11-25 00:03:07.473000+00:00,3eba2330-9692-4b90-a335-11a94717e0b4,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=,,,,,,,,,,,,"1747848709032x210920410073364830, 1761919898226x928695665795906700, 1744737250347x219277345743008400, 1758147388607x898014240790697700, 1751319669665x621437589169731200, 1747415704843x665338483592092500, 1749173974503x736079030141835600, 1744398484109x785674167096991400, 1747216018889x770977089491677400, 1744736810207x919925185055488400, 1752717497153x537286585580736960, 1744643921578x315333816253624100, 1747185390251x665604546429507900, 1755533063776x956164571796881400, 1744751205492x235134337285239230, 1747165674437x491901038958021200, 1747594874125x270237571814453630, 1744319857648x144922844539837200, 1745273541628x945470626229355500, 1759423986281x805514757919405700, 1754949567759x639105313824555300, 1754624056001x759184470890143000, 1751402056748x637551618886434600, 1744134674881x127285411168640110, 1757355028996x505189727810192200, 1750784029587x963255839088365200, 1747864432460x772931238395911000, 1762364811793x796217509980630800, 1744157592334x292550965261606100, 1754927931120x470668069008822300, 1746938798847x931997689495082400, 1755621956288x571897163769246900, 1758312173588x895819358343598700, 1750784475796x702583457937545900, 1745528732739x896561533370513300, 1752687366861x422755081931784260, 1754081360962x724252535884739300, 1746467711533x453074785848415400, 1753374338412x209529915103450200, 1747183179554x540122160625888100, 1744743906400x631087870982087000, 1761930377989x951815782791809400, 1750785338983x949958887494882000, 1759930025997x126109694575208930, 1762889659042x996969350831174300, 1747221865162x703532834449508000, 1746765568691x979794717919274100, 1753911193017x504194995643152640, 1757720364741x595714121363069200, 1761762460002x434978052003146300, 1744760380914x558772773612561600, 1744907031541x119079844893356540, 1744282156200x727555159743162000, 1762957766158x632118084948257900, 1751224250248x539537516841198200, 1763672237927x725969385673238800, 1748365021326x105262688542451250, 1763148950401x545361905340972600, 1749057953945x756346430245684600, 1757438153395x416809556103947500, 1748581534531x956271769254002200, 1750423781412x480534435350699700, 1763509156539x144450665564595840, 1746827109704x963221719337950200, 1747398900475x598159844147748100, 1746635677548x343522492232585660, 1753982403438x535213824960417500, 1763305551668x997299018011994600, 1744397288473x909294892772270800, 1760458225389x690604949380638100, 1753135741395x558904608479141570, 1761044854709x307607562836745150, 1748389292320x918627677903932400, 1753985929691x853149258569598100, 1746855895334x711816173120128000, 1763408145585x201322720695875870, 1751425811600x127124815802215140, 1750783674403x491887953737125700, 1753465897836x101289632151690960, 1761762406893x958878656538368500, 1743547361284x291138005899707260, 1749580724532x760028975589297300, 1747420152884x437771544876149700, 1743549178851x847080663521240200, 1744175271939x575064790204550460, 1757369121056x350487849823425600, 1744748222708x779656090283929300, 1751744301621x758526182685981300, 1763569204895x378265538177280400, 1743547621069x279645472884266780, 1744260813114x505427712482621440, 1744391553368x301043576290850300, 1754505203290x671062062407191900, 1758568877707x715638242996164100, 1752182630575x854371423894944000, 1750436264420x989591292213482400, 1745597587022x519433479989605000, 1747827548541x313848517899538500, 1749742920378x965836759111504900, 1747170561218x640297169073643000, 1746631267951x741803061642879500, 1750783679107x801419812763124500, 1749068120323x412920063824988600, 1746548006831x128230088489826860, 1755271286521x378031808974615550, 1754941249648x796792188496967000, 1746843461447x686795565273950000, 1760118921086x941497076227920600, 1745533127765x291393362647413700, 1754084205128x675147807630683600, 1751749348389x952656707958261400, 1759153763139x433792388290277000, 1744579851707x640487742075829500, 1747184079669x994211808429350800, 1758120880051x675194275556497400, 1747163465846x476237095610093000, 1744335958024x226211831616957250, 1744740154739x566945822952470660, 1763255155587x707008769292458900, 1753909381745x872991521395046100, 1762271200864x775090106640580500, 1757437593796x460281345015416640",false,,,,,impression
,ajs-next-1764028996237-ae3e309c-39fe-4baa-b878-802a4bf52a33,,,2025-11-25 00:03:16.237000+00:00,3eba2330-9692-4b90-a335-11a94717e0b4,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=,,,,,,,,,,,,,,search,,,,button_click
