userId,messageId,anonymousId,originalTimestamp,userAgent,page.path,page.referrer,page.search,page.title,page.url,business_id,sponsored_listing,name,category,path,referrer,search,title,url,category_properties,name_properties,userAgentData.brands,userAgentData.mobile,userAgentData.platform,button_name,search_text,location,traits,event_type
,ajs-next-1764544339909-8d9897c9-0da5-4c72-9bad-80335162457c,b3aee9fa-8d98-47c9-8da5-6c729bad8033,2025-11-30 23:12:19.909000+00:00,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/68.0.3440.106 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"1744579851707x640487742075829500, 1752717497153x537286585580736960, 1743547621069x279645472884266780, 1743549178851x847080663521240200, 1758312173588x895819358343598700, 1753374338412x209529915103450200, 1744335958024x226211831616957250, 1753982403438x535213824960417500, 1750436264420x989591292213482400",true,,,,,,,,,,,,,,,,,impression
,ajs-next-1764544339906-e9fa8d98-97c9-4da5-ac72-9bad80335162,b3aee9fa-8d98-47c9-8da5-6c729bad8033,2025-11-30 23:12:19.906000+00:00,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/68.0.3440.106 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"1744579851707x640487742075829500, 1752717497153x537286585580736960, 1743547621069x279645472884266780, 1743549178851x847080663521240200, 1758312173588x895819358343598700, 1753374338412x209529915103450200, 1744335958024x226211831616957250, 1753982403438x535213824960417500, 1750436264420x989591292213482400",true,,,,,,,,,,,,,,,,,impression
,ajs-next-1764544339591-a2b3aee9-fa8d-4897-890d-a56c729bad80,b3aee9fa-8d98-47c9-8da5-6c729bad8033,2025-11-30 23:12:19.591000+00:00,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/68.0.3440.106 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,index,index,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,,,page
,ajs-next-1764554462463-50183846-1001-4887-98fe-89318f8cd73a,18384610-01f8-47d8-be89-318f8cd73a2b,2025-12-01 02:01:02.463000+00:00,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/how_it_works/1763383565850x288819619070749250,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1763383565850x288819619070749250,,,how_it_works,how_it_works,/how_it_works/1763383565850x288819619070749250,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1763383565850x288819619070749250,how_it_works,how_it_works,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'HeadlessChrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",False,Windows,,,,,page
,ajs-next-1764567203561-f66f3394-59a4-4641-9462-97b7e174c6b8,6f339459-a436-4154-a297-b7e174c6b893,2025-12-01 05:33:23.561000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,index,index,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,,,page
,ajs-next-1764567204014-a4364154-6297-47e1-b4c6-b893958f3473,6f339459-a436-4154-a297-b7e174c6b893,2025-12-01 05:33:24.014000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"1753374338412x209529915103450200, 1758312173588x895819358343598700, 1752717497153x537286585580736960, 1744335958024x226211831616957250, 1750436264420x989591292213482400, 1744579851707x640487742075829500, 1743549178851x847080663521240200, 1753982403438x535213824960417500, 1743547621069x279645472884266780",true,,,,,,,,,,,,,,,,,impression
,ajs-next-1764567203645-9459a436-4154-4297-b7e1-74c6b893958f,6f339459-a436-4154-a297-b7e174c6b893,2025-12-01 05:33:23.645000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"1753374338412x209529915103450200, 1758312173588x895819358343598700, 1752717497153x537286585580736960, 1744335958024x226211831616957250, 1750436264420x989591292213482400, 1744579851707x640487742075829500, 1743549178851x847080663521240200, 1753982403438x535213824960417500, 1743547621069x279645472884266780",true,,,,,,,,,,,,,,,,,impression
,ajs-next-1764569543343-f3fb3b3c-f44a-49e7-a5ef-5e457dcfb82e,fb3b3cf4-4ab9-4765-af5e-457dcfb82e1f,2025-12-01 06:12:23.343000+00:00,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/how_it_works/1763104444290x354254469262633300,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1763104444290x354254469262633300,,,how_it_works,how_it_works,/how_it_works/1763104444290x354254469262633300,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1763104444290x354254469262633300,how_it_works,how_it_works,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'HeadlessChrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",False,Windows,,,,,page
,ajs-next-1764583516618-74e06fa0-fae7-4ed8-ac51-ca173b9020ce,e06fa0fa-e74e-482c-91ca-173b9020cea8,2025-12-01 10:05:16.617000+00:00,"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.7390.122 Mobile Safari/537.36",/start,,?gtm_latency=1,Login,https://coloradocatholicbusinessdirectory.com/start?gtm_latency=1,,,start,start,/start,,?gtm_latency=1,Login,https://coloradocatholicbusinessdirectory.com/start?gtm_latency=1,start,start,[],False,,,,,,page
,ajs-next-1764585174296-5ed0227c-458a-4620-8a6a-4dadc443046e,d0227c45-8a96-400a-aa4d-adc443046ee1,2025-12-01 10:32:54.296000+00:00,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/how_it_works/1763408838296x391455140381825150,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1763408838296x391455140381825150,,,how_it_works,how_it_works,/how_it_works/1763408838296x391455140381825150,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1763408838296x391455140381825150,how_it_works,how_it_works,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'HeadlessChrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",False,Windows,,,,,page
