category,messageId,originalTimestamp,anonymousId,name,userId,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,category_properties,name_properties,business_id,sponsored_listing,traits,button_name,location,email,input_value,input_num,input_name,address,other_category,city,description,display_email,business_name,main_category,parish,phone,sub_category,website,search_text,event_type
about_us,ajs-next-1764890607126-c9524f47-a731-4f3e-adcd-260dbe064481,2025-12-04 23:23:27.126000+00:00,524f47a7-31cf-4e2d-8d26-0dbe064481b8,about_us,,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/about_us/1763056554590x385161936347878000,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1763056554590x385161936347878000,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'HeadlessChrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",False,Windows,/about_us/1763056554590x385161936347878000,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1763056554590x385161936347878000,about_us,about_us,,,,,,,,,,,,,,,,,,,,,,page
how_it_works,ajs-next-1764892170055-a5ab7224-6d47-4783-b4a1-e3f40d708ef7,2025-12-04 23:49:30.055000+00:00,ab72246d-4767-4334-a1e3-f40d708ef79d,how_it_works,,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/how_it_works/virtueworks-llc-1764711530894x480989914892320700,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/virtueworks-llc-1764711530894x480989914892320700,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'HeadlessChrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",False,Windows,/how_it_works/virtueworks-llc-1764711530894x480989914892320700,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/virtueworks-llc-1764711530894x480989914892320700,how_it_works,how_it_works,,,,,,,,,,,,,,,,,,,,,,page
,ajs-next-1764893881706-c9ba52f4-6653-434b-a009-64e08cad04a8,2025-12-05 00:18:01.705000+00:00,46f3c9ba-52f4-4653-a34b-a00964e08cad,,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",True,Android,,,,,,,,"1753374338412x209529915103450200, 1744335958024x226211831616957250, 1744579851707x640487742075829500, 1753982403438x535213824960417500, 1752717497153x537286585580736960, 1743549178851x847080663521240200, 1743547621069x279645472884266780, 1750436264420x989591292213482400",true,,,,,,,,,,,,,,,,,,,,impression
index,ajs-next-1764893881529-1d46f3c9-ba52-4466-93e3-4ba00964e08c,2025-12-05 00:18:01.529000+00:00,46f3c9ba-52f4-4653-a34b-a00964e08cad,index,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",True,Android,/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,,,,,,,,,,,,,,,,,page
,ajs-next-1764893881839-52f46653-e34b-4009-a4e0-8cad04a82b10,2025-12-05 00:18:01.838000+00:00,46f3c9ba-52f4-4653-a34b-a00964e08cad,,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",True,Android,,,,,,,,"1753374338412x209529915103450200, 1744335958024x226211831616957250, 1744579851707x640487742075829500, 1753982403438x535213824960417500, 1752717497153x537286585580736960, 1743549178851x847080663521240200, 1743547621069x279645472884266780, 1750436264420x989591292213482400",true,,,,,,,,,,,,,,,,,,,,impression
how_it_works,ajs-next-1764900748458-9420a3be-62a3-4651-87f9-106bc26a4044,2025-12-05 02:12:28.458000+00:00,20a3be62-a356-4187-b910-6bc26a4044d5,how_it_works,,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/how_it_works/1763097298043x356254946344364740,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1763097298043x356254946344364740,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'HeadlessChrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",False,Windows,/how_it_works/1763097298043x356254946344364740,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1763097298043x356254946344364740,how_it_works,how_it_works,,,,,,,,,,,,,,,,,,,,,,page
,ajs-next-1764905970816-2175367e-857d-42d8-bd30-1fff4b689212,2025-12-05 03:39:30.816000+00:00,46f3c9ba-52f4-4653-a34b-a00964e08cad,,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",True,Android,,,,,,,,"1743549178851x847080663521240200, 1753374338412x209529915103450200, 1753982403438x535213824960417500, 1750436264420x989591292213482400, 1752717497153x537286585580736960, 1744579851707x640487742075829500, 1743547621069x279645472884266780, 1744335958024x226211831616957250",true,,,,,,,,,,,,,,,,,,,,impression
,ajs-next-1764906386463-cf33aea9-703d-4268-aa94-a4e7373f96af,2025-12-05 03:46:26.463000+00:00,46f3c9ba-52f4-4653-a34b-a00964e08cad,,1764893879099x465248075524681500,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",True,Android,,,,,,,,,,"{'business_id': '1764893879099x465248075524681500', 'email': 'purplesagebodywork@gmail.com', 'is_logged_in': True}",,,,,,,,,,,,,,,,,,,identify
,ajs-next-1764906391575-7e1395e1-704d-43c5-9467-5a97f78118f7,2025-12-05 03:46:31.575000+00:00,46f3c9ba-52f4-4653-a34b-a00964e08cad,,1764893879099x465248075524681500,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36",/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",True,Android,,,,,,,,,,"{'business_id': '1764893879099x465248075524681500', 'email': 'purplesagebodywork@gmail.com', 'is_logged_in': True}",,,,,,,,,,,,,,,,,,,identify
dashboard,ajs-next-1764906018304-955aff2a-dcd1-4d87-87c6-37612447075e,2025-12-05 03:40:18.304000+00:00,46f3c9ba-52f4-4653-a34b-a00964e08cad,dashboard,1764893879099x465248075524681500,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36",/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'Google Chrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",True,Android,/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,dashboard,dashboard,1764893879099x465248075524681500,,,,,,,,,,,,,,,,,,,,,page
