messageId,originalTimestamp,anonymousId,category,userId,name,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,category_properties,name_properties,business_id,sponsored_listing,location,button_name,search_text,city,parish,email,traits,event_type
ajs-next-1765250786856-a48d13d7-aa90-4a45-beb7-bf41c95d63f2,2025-12-09 03:26:26.856000+00:00,8d13d7aa-901a-457e-b7bf-41c95d63f2af,about_us,,about_us,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/about_us/1763033715257x474461703909558900,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1763033715257x474461703909558900,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'HeadlessChrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",False,Windows,/about_us/1763033715257x474461703909558900,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1763033715257x474461703909558900,about_us,about_us,,,,,,,,,,page
ajs-next-1765265135169-9bdd9cfa-0136-4f1b-9d78-1ff7be901f49,2025-12-09 07:25:35.169000+00:00,dd9cfa01-362f-4bdd-b81f-f7be901f4977,how_it_works,,how_it_works,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/how_it_works/1763424528204x593357332699885300,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1763424528204x593357332699885300,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'HeadlessChrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",False,Windows,/how_it_works/1763424528204x593357332699885300,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1763424528204x593357332699885300,how_it_works,how_it_works,,,,,,,,,,page
ajs-next-1765265136011-40f44f36-65e9-453f-9ec1-1d05c16aed14,2025-12-09 07:25:36.011000+00:00,f44f3665-e935-4fde-811d-05c16aed14da,how_it_works,,how_it_works,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/how_it_works/1764611880075x793998283371824400,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1764611880075x793998283371824400,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'HeadlessChrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",False,Windows,/how_it_works/1764611880075x793998283371824400,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1764611880075x793998283371824400,how_it_works,how_it_works,,,,,,,,,,page
ajs-next-1765270084416-ec020efa-c3ca-4c8c-955c-f35330aa6d13,2025-12-09 08:48:04.416000+00:00,adf4ec02-0efa-43ca-ac8c-155cf35330aa,,,,"Mozilla/5.0 (Linux; Android 12; V2025 Build/SP1A.210812.003; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/143.0.7499.34 Mobile Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Android WebView', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",True,Android,,,,,,,,"1753374338412x209529915103450200, 1752717497153x537286585580736960, 1753982403438x535213824960417500, 1743547621069x279645472884266780, 1750436264420x989591292213482400, 1744335958024x226211831616957250, 1743549178851x847080663521240200, 1744579851707x640487742075829500",true,,,,,,,,impression
ajs-next-1765270084355-e3adf4ec-020e-4ac3-8a6c-8c155cf35330,2025-12-09 08:48:04.355000+00:00,adf4ec02-0efa-43ca-ac8c-155cf35330aa,index,,index,"Mozilla/5.0 (Linux; Android 12; V2025 Build/SP1A.210812.003; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/143.0.7499.34 Mobile Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Android WebView', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",True,Android,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,,,,,page
ajs-next-1765270085672-0efac3ca-6c8c-455c-b353-30aa6d133c41,2025-12-09 08:48:05.672000+00:00,adf4ec02-0efa-43ca-ac8c-155cf35330aa,,,,"Mozilla/5.0 (Linux; Android 12; V2025 Build/SP1A.210812.003; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/143.0.7499.34 Mobile Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Android WebView', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",True,Android,,,,,,,,"1753374338412x209529915103450200, 1752717497153x537286585580736960, 1753982403438x535213824960417500, 1743547621069x279645472884266780, 1750436264420x989591292213482400, 1744335958024x226211831616957250, 1743549178851x847080663521240200, 1744579851707x640487742075829500",true,,,,,,,,impression
ajs-next-1765274221640-24cb77c3-8923-4971-9d4d-834fa7277ec7,2025-12-09 09:57:01.640000+00:00,cb77c389-2379-411d-8d83-4fa7277ec795,how_it_works,,how_it_works,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/how_it_works/1763068669044x340565016449857000,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1763068669044x340565016449857000,"[{'brand': 'HeadlessChrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,/how_it_works/1763068669044x340565016449857000,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1763068669044x340565016449857000,how_it_works,how_it_works,,,,,,,,,,page
ajs-next-1765286748745-ed2c842f-4f68-4f1e-8bc1-57035716adb6,2025-12-09 13:25:48.745000+00:00,2c842f4f-687f-4e4b-8157-035716adb621,about_us,,about_us,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/about_us/1763069011105x971205183145702000,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1763069011105x971205183145702000,"[{'brand': 'Chromium', 'version': '142'}, {'brand': 'HeadlessChrome', 'version': '142'}, {'brand': 'Not_A Brand', 'version': '99'}]",False,Windows,/about_us/1763069011105x971205183145702000,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1763069011105x971205183145702000,about_us,about_us,,,,,,,,,,page
ajs-next-1765290754082-7e304d76-0318-49e5-8cd9-a0e069197861,2025-12-09 14:32:34.082000+00:00,13a0af05-abf9-456e-b1b4-d7720ed3b20c,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0",/search,https://coloradocatholicbusinessdirectory.com/,?query=architecture&category=Other,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=architecture&category=Other,"[{'brand': 'Microsoft Edge', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,,,,,,,,,true,sidebar,,,,,,,impression
ajs-next-1765290751868-156eb1b4-d772-4ed3-b20c-af352c183009,2025-12-09 14:32:31.868000+00:00,13a0af05-abf9-456e-b1b4-d7720ed3b20c,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Microsoft Edge', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,,,,,,,,,,,search,,,,,,button_click
