category,userId,originalTimestamp,anonymousId,messageId,name,userAgent,page.path,page.referrer,page.search,page.title,page.url,path,referrer,search,title,url,category_properties,name_properties,business_id,sponsored_listing,userAgentData.brands,userAgentData.mobile,userAgentData.platform,button_name,email,traits,search_text,location,city,parish,input_value,input_num,input_name,address,other_category,description,display_email,business_name,main_category,phone,sub_category,website,event_type
index,,2025-12-17 06:07:52.288000+00:00,66611a85-1a82-41cb-affd-e0dfc323fb94,ajs-next-1765951672288-c5c6ac1c-5df0-451e-888f-4e4a4fad989f,index,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,,,,,,,,,,,,,,,,,,,,page
,,2025-12-17 06:07:52.557000+00:00,66611a85-1a82-41cb-affd-e0dfc323fb94,ajs-next-1765951672557-ac1c5df0-d51e-488f-8e4a-4fad989f514b,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,"1743547621069x279645472884266780, 1753374338412x209529915103450200, 1752717497153x537286585580736960, 1743549178851x847080663521240200, 1750436264420x989591292213482400, 1744335958024x226211831616957250, 1744579851707x640487742075829500, 1753982403438x535213824960417500",true,,,,,,,,,,,,,,,,,,,,,,,impression
,,2025-12-17 06:07:52.591000+00:00,66611a85-1a82-41cb-affd-e0dfc323fb94,ajs-next-1765951672591-5df0d51e-c88f-4e4a-8fad-989f514b434b,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,"1743547621069x279645472884266780, 1753374338412x209529915103450200, 1752717497153x537286585580736960, 1743549178851x847080663521240200, 1750436264420x989591292213482400, 1744335958024x226211831616957250, 1744579851707x640487742075829500, 1753982403438x535213824960417500",true,,,,,,,,,,,,,,,,,,,,,,,impression
about_us,,2025-12-17 15:42:50.562000+00:00,733452f8-6153-4374-9ec4-465958e47fc6,ajs-next-1765986170562-b8733452-f861-4373-b41e-c4465958e47f,about_us,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/about_us/1763056887450x135485020465426990,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1763056887450x135485020465426990,/about_us/1763056887450x135485020465426990,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1763056887450x135485020465426990,about_us,about_us,,,"[{'brand': 'HeadlessChrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,,,,,,,,,,,,,,,,,,,,page
,,2025-12-17 16:15:01.168000+00:00,355c21fb-7143-48bc-b7a1-d037da489a6c,ajs-next-1765988101168-21fb7143-38bc-47a1-9037-da489a6c169b,,"Mozilla/5.0 (Linux; Android 15; 24117RK2CC Build/AQ3A.240829.003) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.7390.124 Mobile Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,"1744335958024x226211831616957250, 1743549178851x847080663521240200, 1750436264420x989591292213482400, 1743547621069x279645472884266780, 1744579851707x640487742075829500, 1753374338412x209529915103450200, 1752717497153x537286585580736960, 1753982403438x535213824960417500",true,"[{'brand': 'Chromium', 'version': '139'}, {'brand': 'Not;A=Brand', 'version': '99'}]",False,Windows,,,,,,,,,,,,,,,,,,,,impression
index,,2025-12-17 16:16:12.411000+00:00,9eddf5ca-21b9-4d37-955c-6fc0b7effd2c,ajs-next-1765988172411-9c9eddf5-ca21-493d-b715-5c6fc0b7effd,index,"Mozilla/5.0 (Macintosh; Intel Mac OS X 15_7_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,"[{'brand': 'Chromium', 'version': '139'}, {'brand': 'Not;A=Brand', 'version': '99'}]",False,Windows,,,,,,,,,,,,,,,,,,,,page
,,2025-12-17 16:15:01.464000+00:00,355c21fb-7143-48bc-b7a1-d037da489a6c,ajs-next-1765988101464-714338bc-b7a1-4037-9a48-9a6c169bfe5d,,"Mozilla/5.0 (Linux; Android 15; 24117RK2CC Build/AQ3A.240829.003) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.7390.124 Mobile Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,"1744335958024x226211831616957250, 1743549178851x847080663521240200, 1750436264420x989591292213482400, 1743547621069x279645472884266780, 1744579851707x640487742075829500, 1753374338412x209529915103450200, 1752717497153x537286585580736960, 1753982403438x535213824960417500",true,"[{'brand': 'Chromium', 'version': '139'}, {'brand': 'Not;A=Brand', 'version': '99'}]",False,Windows,,,,,,,,,,,,,,,,,,,,impression
index,,2025-12-17 16:15:51.890000+00:00,5b9d10e4-675f-4343-a36a-fd8034e1f9c2,ajs-next-1765988151890-d05b9d10-e467-4fa3-83a3-6afd8034e1f9,index,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.7444.175 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,"[{'brand': 'Chromium', 'version': '139'}, {'brand': 'Not;A=Brand', 'version': '99'}]",False,Windows,,,,,,,,,,,,,,,,,,,,page
,1765991015203x350068785849064760,2025-12-17 17:08:48.879000+00:00,dcecf789-d9a3-4e2c-8ad3-355bbb831185,ajs-next-1765991328879-025916dc-5205-4005-ae4a-21e15b29df86,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,"1750436264420x989591292213482400, 1753374338412x209529915103450200, 1744335958024x226211831616957250, 1743549178851x847080663521240200, 1743547621069x279645472884266780, 1753982403438x535213824960417500, 1752717497153x537286585580736960, 1744579851707x640487742075829500",true,"[{'brand': 'Google Chrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,,,,,,,,,,,,,,,,,,,,impression
,,2025-12-17 16:17:33.812000+00:00,0d8e473c-e5c2-46fc-a571-97612bd95abd,ajs-next-1765988253812-473ce5c2-16fc-4571-9761-2bd95abdce7c,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,"1753374338412x209529915103450200, 1743549178851x847080663521240200, 1744335958024x226211831616957250, 1744579851707x640487742075829500, 1750436264420x989591292213482400, 1752717497153x537286585580736960, 1743547621069x279645472884266780, 1753982403438x535213824960417500",true,"[{'brand': 'Chromium', 'version': '139'}, {'brand': 'Not;A=Brand', 'version': '99'}]",False,Windows,,,,,,,,,,,,,,,,,,,,impression
,,2025-12-17 16:16:14.364000+00:00,9eddf5ca-21b9-4d37-955c-6fc0b7effd2c,ajs-next-1765988174364-21b93d37-155c-4fc0-b7ef-fd2ce2eebc91,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 15_7_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,"1753374338412x209529915103450200, 1753982403438x535213824960417500, 1750436264420x989591292213482400, 1744579851707x640487742075829500, 1743549178851x847080663521240200, 1744335958024x226211831616957250, 1743547621069x279645472884266780, 1752717497153x537286585580736960",true,"[{'brand': 'Chromium', 'version': '139'}, {'brand': 'Not;A=Brand', 'version': '99'}]",False,Windows,,,,,,,,,,,,,,,,,,,,impression
index,,2025-12-17 16:16:26.226000+00:00,aec28eb9-1f93-4214-a8f9-5135c2145cde,ajs-next-1765988186226-c9aec28e-b91f-43c2-9428-f95135c2145c,index,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.7390.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,"[{'brand': 'Chromium', 'version': '139'}, {'brand': 'Not;A=Brand', 'version': '99'}]",False,Windows,,,,,,,,,,,,,,,,,,,,page
,,2025-12-17 16:16:26.253000+00:00,aec28eb9-1f93-4214-a8f9-5135c2145cde,ajs-next-1765988186253-8eb91f93-c214-48f9-9135-c2145cde0d5e,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.7390.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,"1744579851707x640487742075829500, 1743547621069x279645472884266780, 1753374338412x209529915103450200, 1753982403438x535213824960417500, 1743549178851x847080663521240200, 1752717497153x537286585580736960, 1750436264420x989591292213482400, 1744335958024x226211831616957250",true,"[{'brand': 'Chromium', 'version': '139'}, {'brand': 'Not;A=Brand', 'version': '99'}]",False,Windows,,,,,,,,,,,,,,,,,,,,impression
,,2025-12-17 16:16:26.552000+00:00,aec28eb9-1f93-4214-a8f9-5135c2145cde,ajs-next-1765988186552-1f93c214-28f9-4135-8214-5cde0d5ee5bc,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.7390.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,"1744579851707x640487742075829500, 1743547621069x279645472884266780, 1753374338412x209529915103450200, 1753982403438x535213824960417500, 1743549178851x847080663521240200, 1752717497153x537286585580736960, 1750436264420x989591292213482400, 1744335958024x226211831616957250",true,"[{'brand': 'Chromium', 'version': '139'}, {'brand': 'Not;A=Brand', 'version': '99'}]",False,Windows,,,,,,,,,,,,,,,,,,,,impression
,,2025-12-17 16:17:01.723000+00:00,e10f6ca1-72ca-477a-9286-02eb10e182ef,ajs-next-1765988221723-72cae77a-d286-42eb-90e1-82ef7c901c0f,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,"1744335958024x226211831616957250, 1744579851707x640487742075829500, 1743549178851x847080663521240200, 1753982403438x535213824960417500, 1753374338412x209529915103450200, 1752717497153x537286585580736960, 1750436264420x989591292213482400, 1743547621069x279645472884266780",true,"[{'brand': 'Chromium', 'version': '139'}, {'brand': 'Not;A=Brand', 'version': '99'}]",False,Windows,,,,,,,,,,,,,,,,,,,,impression
index,,2025-12-17 16:15:01.155000+00:00,355c21fb-7143-48bc-b7a1-d037da489a6c,ajs-next-1765988101155-54355c21-fb71-4338-bcb7-a1d037da489a,index,"Mozilla/5.0 (Linux; Android 15; 24117RK2CC Build/AQ3A.240829.003) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.7390.124 Mobile Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,"[{'brand': 'Chromium', 'version': '139'}, {'brand': 'Not;A=Brand', 'version': '99'}]",False,Windows,,,,,,,,,,,,,,,,,,,,page
,,2025-12-17 16:16:12.429000+00:00,9eddf5ca-21b9-4d37-955c-6fc0b7effd2c,ajs-next-1765988172429-f5ca21b9-3d37-455c-afc0-b7effd2ce2ee,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 15_7_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,"1753374338412x209529915103450200, 1753982403438x535213824960417500, 1750436264420x989591292213482400, 1744579851707x640487742075829500, 1743549178851x847080663521240200, 1744335958024x226211831616957250, 1743547621069x279645472884266780, 1752717497153x537286585580736960",true,"[{'brand': 'Chromium', 'version': '139'}, {'brand': 'Not;A=Brand', 'version': '99'}]",False,Windows,,,,,,,,,,,,,,,,,,,,impression
index,,2025-12-17 17:05:07.082000+00:00,6605c54d-ba1e-4b11-b930-914ff96a3f0b,ajs-next-1765991107082-4f6605c5-4dba-4ebb-91f9-30914ff96a3f,index,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.7339.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,"[{'brand': 'Chromium', 'version': '139'}, {'brand': 'Not;A=Brand', 'version': '99'}]",False,Windows,,,,,,,,,,,,,,,,,,,,page
index,,2025-12-17 16:17:57.858000+00:00,f4ee72f8-4b0e-4426-b1e5-b3ec04fd0229,ajs-next-1765988277858-a7f4ee72-f84b-4e54-a671-e5b3ec04fd02,index,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.7444.162 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,"[{'brand': 'Chromium', 'version': '139'}, {'brand': 'Not;A=Brand', 'version': '99'}]",False,Windows,,,,,,,,,,,,,,,,,,,,page
,,2025-12-17 16:17:58.308000+00:00,f4ee72f8-4b0e-4426-b1e5-b3ec04fd0229,ajs-next-1765988278308-4b0e5426-71e5-43ec-84fd-02291b4d8441,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.7444.162 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,"1753982403438x535213824960417500, 1752717497153x537286585580736960, 1743547621069x279645472884266780, 1743549178851x847080663521240200, 1750436264420x989591292213482400, 1744335958024x226211831616957250, 1744579851707x640487742075829500, 1753374338412x209529915103450200",true,"[{'brand': 'Chromium', 'version': '139'}, {'brand': 'Not;A=Brand', 'version': '99'}]",False,Windows,,,,,,,,,,,,,,,,,,,,impression
,,2025-12-17 16:17:34.068000+00:00,0d8e473c-e5c2-46fc-a571-97612bd95abd,ajs-next-1765988254068-e5c216fc-2571-4761-abd9-5abdce7c885b,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,"1753374338412x209529915103450200, 1743549178851x847080663521240200, 1744335958024x226211831616957250, 1744579851707x640487742075829500, 1750436264420x989591292213482400, 1752717497153x537286585580736960, 1743547621069x279645472884266780, 1753982403438x535213824960417500",true,"[{'brand': 'Chromium', 'version': '139'}, {'brand': 'Not;A=Brand', 'version': '99'}]",False,Windows,,,,,,,,,,,,,,,,,,,,impression
,,2025-12-17 16:17:57.902000+00:00,f4ee72f8-4b0e-4426-b1e5-b3ec04fd0229,ajs-next-1765988277902-72f84b0e-5426-41e5-b3ec-04fd02291b4d,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.7444.162 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,"1753982403438x535213824960417500, 1752717497153x537286585580736960, 1743547621069x279645472884266780, 1743549178851x847080663521240200, 1750436264420x989591292213482400, 1744335958024x226211831616957250, 1744579851707x640487742075829500, 1753374338412x209529915103450200",true,"[{'brand': 'Chromium', 'version': '139'}, {'brand': 'Not;A=Brand', 'version': '99'}]",False,Windows,,,,,,,,,,,,,,,,,,,,impression
