name,originalTimestamp,category,userId,anonymousId,messageId,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,category_properties,name_properties,business_id,sponsored_listing,location,button_name,city,search_text,parish,event_type
how_it_works,2025-12-26 04:14:14.532000+00:00,how_it_works,,0fb8b33c-d731-458e-8bf7-f4d59a2df7c3,ajs-next-1766722454532-eb0fb8b3-3cd7-41c5-8e4b-f7f4d59a2df7,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/how_it_works/1766100888515x608137682555664800,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1766100888515x608137682555664800,"[{'brand': 'HeadlessChrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,/how_it_works/1766100888515x608137682555664800,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1766100888515x608137682555664800,how_it_works,how_it_works,,,,,,,,page
how_it_works,2025-12-26 06:53:05.669000+00:00,how_it_works,,2cfb6475-563a-40c8-99bc-b6b415f55f03,ajs-next-1766731985669-292cfb64-7556-4ac0-88d9-bcb6b415f55f,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/how_it_works/1765995425850x809388853875743200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1765995425850x809388853875743200,"[{'brand': 'HeadlessChrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,/how_it_works/1765995425850x809388853875743200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1765995425850x809388853875743200,how_it_works,how_it_works,,,,,,,,page
about_us,2025-12-26 18:39:42.987000+00:00,about_us,,cc41d4fb-c36b-416b-bfcf-db04fef748a2,ajs-next-1766774382987-fdcc41d4-fbc3-4b21-abff-cfdb04fef748,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/about_us/1766112251035x946653752797438000,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1766112251035x946653752797438000,"[{'brand': 'HeadlessChrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,/about_us/1766112251035x946653752797438000,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1766112251035x946653752797438000,about_us,about_us,,,,,,,,page
dashboard,2025-12-26 19:39:42.500000+00:00,dashboard,,0659123a-ea57-4b62-8f08-7a82d7ada36c,ajs-next-1766777982500-a4065912-3aea-479b-a28f-087a82d7ada3,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15",/dashboard,,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,,,,/dashboard,,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,dashboard,dashboard,1766777985268x362306553665176400,,,,,,,page
about_us,2025-12-26 21:53:26.270000+00:00,about_us,,1ae39829-90e9-4488-b9ac-1fd601f6b432,ajs-next-1766786006270-f71ae398-2990-4954-8839-ac1fd601f6b4,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/about_us/1765995425850x809388853875743200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1765995425850x809388853875743200,"[{'brand': 'HeadlessChrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,/about_us/1765995425850x809388853875743200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1765995425850x809388853875743200,about_us,about_us,,,,,,,,page
about_us,2025-12-27 05:23:11.462000+00:00,about_us,,1c540c27-df3f-46db-abdc-27c79be2ef35,ajs-next-1766812991462-a51c540c-27df-4f76-9b6b-dc27c79be2ef,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/about_us/1765211810939x594289466956720500,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1765211810939x594289466956720500,"[{'brand': 'HeadlessChrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,/about_us/1765211810939x594289466956720500,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1765211810939x594289466956720500,about_us,about_us,,,,,,,,page
terms_of_service,2025-12-27 08:25:54.991000+00:00,terms,,d875533b-82d6-4a2d-81cf-6b76d16f690e,ajs-next-1766823954991-43d87553-3b82-469a-adc1-cf6b76d16f69,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/terms_of_service/rampart-technical-services-1766070455303x639821695383855700,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/terms_of_service/rampart-technical-services-1766070455303x639821695383855700,"[{'brand': 'HeadlessChrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,/terms_of_service/rampart-technical-services-1766070455303x639821695383855700,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/terms_of_service/rampart-technical-services-1766070455303x639821695383855700,terms,terms_of_service,,,,,,,,page
about_us,2025-12-27 08:24:07.583000+00:00,about_us,,52daca54-32fc-4f6e-a6f7-c89468e9bda8,ajs-next-1766823847583-0b52daca-5432-4c5f-ae26-f7c89468e9bd,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/about_us/auris-payroll--hr-services-1766011883106x917993758751800300,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/auris-payroll--hr-services-1766011883106x917993758751800300,"[{'brand': 'HeadlessChrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,/about_us/auris-payroll--hr-services-1766011883106x917993758751800300,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/auris-payroll--hr-services-1766011883106x917993758751800300,about_us,about_us,,,,,,,,page
about_us,2025-12-27 08:21:40.536000+00:00,about_us,,c2179030-69d8-4296-afe6-7d4e8b968c79,ajs-next-1766823700536-c5c21790-3069-48c2-96af-e67d4e8b968c,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/about_us/longbowman-services-llc-1765399408996x262641226191956400,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/longbowman-services-llc-1765399408996x262641226191956400,"[{'brand': 'HeadlessChrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,/about_us/longbowman-services-llc-1765399408996x262641226191956400,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/longbowman-services-llc-1765399408996x262641226191956400,about_us,about_us,,,,,,,,page
business_profile,2025-12-27 09:17:46.045000+00:00,profile,,b1879fc6-2d80-4c0b-85dd-7c0c3fe9541a,ajs-next-1766827066045-66b1879f-c62d-40cc-8b85-dd7c0c3fe954,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/business_profile/rampart-technical-services-1766070455303x639821695383855700,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/rampart-technical-services-1766070455303x639821695383855700,"[{'brand': 'HeadlessChrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,/business_profile/rampart-technical-services-1766070455303x639821695383855700,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/rampart-technical-services-1766070455303x639821695383855700,profile,business_profile,1766070455303x639821695383855700,,,,,,,page
