messageId,userId,originalTimestamp,anonymousId,userAgent,page.path,page.referrer,page.search,page.title,page.url,business_id,sponsored_listing,name,category,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,category_properties,name_properties,location,button_name,city,search_text,parish,event_type
ajs-next-1768259270330-dd6910cf-f468-47cb-ac56-11eb310c9533,,2026-01-12 23:07:50.330000+00:00,da6389a0-db20-453f-a742-3df785ad4c92,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/143.0.7499.151 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"1743547621069x279645472884266780, 1753982403438x535213824960417500, 1753374338412x209529915103450200, 1744579851707x640487742075829500, 1750436264420x989591292213482400, 1743549178851x847080663521240200, 1744335958024x226211831616957250, 1752717497153x537286585580736960",true,,,,,,,,,,,,,,,,,,impression
ajs-next-1768265933859-9a3220a1-f940-48bf-a8c3-530d6393e07b,,2026-01-13 00:58:53.859000+00:00,3220a1f9-4048-4f28-8353-0d6393e07b10,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,,,start,start,"[{'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Linux,/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,start,start,,,,,,page
ajs-next-1768277685992-aa2e2494-59e2-49f3-beae-4e2adfb80678,,2026-01-13 04:14:45.992000+00:00,463c9024-9350-487e-a172-92dfe5ce0352,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/verso-lalto-business-solutions-1743547621069x279645472884266780,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/verso-lalto-business-solutions-1743547621069x279645472884266780,1743547621069x279645472884266780,,business_profile,profile,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/business_profile/verso-lalto-business-solutions-1743547621069x279645472884266780,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/verso-lalto-business-solutions-1743547621069x279645472884266780,profile,business_profile,,,,,,page
ajs-next-1768280140088-0cf9f21e-24b0-42de-a82d-0cc30bd5da1c,,2026-01-13 04:55:40.088000+00:00,309d0cf9-f21e-44b0-82de-282d0cc30bd5,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Safari/605.1.15",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"1750436264420x989591292213482400, 1744335958024x226211831616957250, 1753982403438x535213824960417500, 1744579851707x640487742075829500, 1752717497153x537286585580736960, 1743547621069x279645472884266780, 1753374338412x209529915103450200, 1743549178851x847080663521240200",true,,,,,,,,,,,,,,,,,,impression
ajs-next-1768280682502-75e96453-19f6-4e5a-b923-07a5a1043589,,2026-01-13 05:04:42.502000+00:00,309d0cf9-f21e-44b0-82de-282d0cc30bd5,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Safari/605.1.15",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"1752717497153x537286585580736960, 1753374338412x209529915103450200, 1744579851707x640487742075829500, 1744335958024x226211831616957250, 1753982403438x535213824960417500, 1743549178851x847080663521240200, 1750436264420x989591292213482400, 1743547621069x279645472884266780",true,,,,,,,,,,,,,,,,,,impression
ajs-next-1768277679999-4624c628-d085-495f-9c0b-7bc235abc464,,2026-01-13 04:14:39.999000+00:00,463c9024-9350-487e-a172-92dfe5ce0352,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/wild-goose-music-1750436264420x989591292213482400,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/wild-goose-music-1750436264420x989591292213482400,1750436264420x989591292213482400,,business_profile,profile,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/business_profile/wild-goose-music-1750436264420x989591292213482400,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/wild-goose-music-1750436264420x989591292213482400,profile,business_profile,,,,,,page
ajs-next-1768277676034-89dbeba7-f92d-4984-954a-0440b367bd7f,,2026-01-13 04:14:36.034000+00:00,463c9024-9350-487e-a172-92dfe5ce0352,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/spark-marketing--consulting-llc-1753374338412x209529915103450200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/spark-marketing--consulting-llc-1753374338412x209529915103450200,1753374338412x209529915103450200,,business_profile,profile,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/business_profile/spark-marketing--consulting-llc-1753374338412x209529915103450200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/spark-marketing--consulting-llc-1753374338412x209529915103450200,profile,business_profile,,,,,,page
ajs-next-1768280154419-c8087950-d415-477e-90f6-c1e1673bb541,,2026-01-13 04:55:54.419000+00:00,309d0cf9-f21e-44b0-82de-282d0cc30bd5,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Safari/605.1.15",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,true,,,,,,,,,,,,,sidebar,,,,,impression
ajs-next-1768277668207-7c463c90-2493-40e8-be61-7292dfe5ce03,,2026-01-13 04:14:28.207000+00:00,463c9024-9350-487e-a172-92dfe5ce0352,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,,,start,start,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,start,start,,,,,,page
ajs-next-1768280140090-f21e24b0-42de-482d-8cc3-0bd5da1c2fbb,,2026-01-13 04:55:40.090000+00:00,309d0cf9-f21e-44b0-82de-282d0cc30bd5,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Safari/605.1.15",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"1750436264420x989591292213482400, 1744335958024x226211831616957250, 1753982403438x535213824960417500, 1744579851707x640487742075829500, 1752717497153x537286585580736960, 1743547621069x279645472884266780, 1753374338412x209529915103450200, 1743549178851x847080663521240200",true,,,,,,,,,,,,,,,,,,impression
ajs-next-1768280446456-477e10f6-c1e1-473b-b541-595d5625a4c6,,2026-01-13 05:00:46.456000+00:00,309d0cf9-f21e-44b0-82de-282d0cc30bd5,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Safari/605.1.15",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,1753982403438x535213824960417500,false,,,,,,,,,,,,,,more_info_text,,,,button_click
