originalTimestamp,anonymousId,messageId,name,category,userId,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,business_id,category_properties,name_properties,sponsored_listing,location,search_text,button_name,city,parish,event_type
2026-01-19 23:45:56.536000+00:00,0705d1bb-98cc-42e8-8695-e193eec14991,ajs-next-1768866356536-0e0705d1-bb98-4c12-a846-95e193eec149,business_profile,profile,,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,1752717497153x537286585580736960,profile,business_profile,,,,,,,page
2026-01-19 23:46:06.484000+00:00,0705d1bb-98cc-42e8-8695-e193eec14991,ajs-next-1768866366484-dd16df22-cf7e-4c52-a03b-0b36909f8ff6,business_profile,profile,,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/roof-technologies-llc-1744579851707x640487742075829500,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/roof-technologies-llc-1744579851707x640487742075829500,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/business_profile/roof-technologies-llc-1744579851707x640487742075829500,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/roof-technologies-llc-1744579851707x640487742075829500,1744579851707x640487742075829500,profile,business_profile,,,,,,,page
2026-01-19 23:46:20.749000+00:00,0705d1bb-98cc-42e8-8695-e193eec14991,ajs-next-1768866380749-5f839d1a-5d6d-41c1-b64f-b3d303942104,start,start,,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,,start,start,,,,,,,page
2026-01-19 23:46:00.478000+00:00,0705d1bb-98cc-42e8-8695-e193eec14991,ajs-next-1768866360478-18d29ee5-3933-443d-929b-a10f3377854e,business_profile,profile,,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/wild-goose-music-1750436264420x989591292213482400,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/wild-goose-music-1750436264420x989591292213482400,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/business_profile/wild-goose-music-1750436264420x989591292213482400,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/wild-goose-music-1750436264420x989591292213482400,1750436264420x989591292213482400,profile,business_profile,,,,,,,page
2026-01-20 00:47:37.605000+00:00,acfb9194-b1de-4dcf-9c89-98ddc7201458,ajs-next-1768870057605-0b343fa4-aab7-4f45-a009-1c76f0cd2232,about_us,about_us,,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",/about_us/1768870041889x724817856650163700,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1768870041889x724817856650163700,"[{'brand': 'Google Chrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Chrome OS,/about_us/1768870041889x724817856650163700,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1768870041889x724817856650163700,,about_us,about_us,,,,,,,page
2026-01-20 00:47:24.329000+00:00,acfb9194-b1de-4dcf-9c89-98ddc7201458,ajs-next-1768870044329-87acfb91-94b1-4e5d-8f1c-8998ddc72014,index,index,,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Google Chrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Chrome OS,/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,index,index,,,,,,,page
2026-01-20 00:47:24.747000+00:00,acfb9194-b1de-4dcf-9c89-98ddc7201458,ajs-next-1768870044747-9194b1de-5dcf-4c89-98dd-c7201458dc50,,,,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Google Chrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Chrome OS,,,,,,"1753374338412x209529915103450200, 1743549178851x847080663521240200, 1750436264420x989591292213482400, 1744335958024x226211831616957250, 1743547621069x279645472884266780, 1752717497153x537286585580736960, 1753982403438x535213824960417500, 1744579851707x640487742075829500",,,true,,,,,,impression
2026-01-20 00:47:24.753000+00:00,acfb9194-b1de-4dcf-9c89-98ddc7201458,ajs-next-1768870044753-b1de5dcf-1c89-48dd-8720-1458dc50dec7,,,,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Google Chrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Chrome OS,,,,,,"1753374338412x209529915103450200, 1743549178851x847080663521240200, 1750436264420x989591292213482400, 1744335958024x226211831616957250, 1743547621069x279645472884266780, 1752717497153x537286585580736960, 1753982403438x535213824960417500, 1744579851707x640487742075829500",,,true,,,,,,impression
2026-01-20 00:47:57.064000+00:00,acfb9194-b1de-4dcf-9c89-98ddc7201458,ajs-next-1768870077065-97827f69-94db-4ea3-b8c5-d09378e355b6,how_it_works,how_it_works,,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",/how_it_works/1768870041889x724817856650163700,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1768870041889x724817856650163700,"[{'brand': 'Google Chrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Chrome OS,/how_it_works/1768870041889x724817856650163700,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1768870041889x724817856650163700,,how_it_works,how_it_works,,,,,,,page
2026-01-20 02:35:17.721000+00:00,f50ef083-3a83-446b-ae45-170ccfb2b827,ajs-next-1768876517721-6c43f1cb-2df4-473f-8f5f-30e54737ae16,start,start,,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,,start,start,,,,,,,page
