category,userId,messageId,name,originalTimestamp,anonymousId,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,business_id,category_properties,name_properties,location,sponsored_listing,button_name,search_text,event_type
profile,,ajs-next-1769209822248-7ac5cb03-8899-4019-abeb-a79844680451,business_profile,2026-01-23 23:10:22.248000+00:00,695cc647-22bb-4d54-bb7e-553e8dc1303b,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/roof-technologies-llc-1744579851707x640487742075829500,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/roof-technologies-llc-1744579851707x640487742075829500,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/business_profile/roof-technologies-llc-1744579851707x640487742075829500,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/roof-technologies-llc-1744579851707x640487742075829500,1744579851707x640487742075829500,profile,business_profile,,,,,page
start,,ajs-next-1769209836827-94746127-a31e-4fe4-a270-aab67122d7ec,start,2026-01-23 23:10:36.827000+00:00,695cc647-22bb-4d54-bb7e-553e8dc1303b,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,,start,start,,,,,page
index,,ajs-next-1769209818233-3c695cc6-4722-4b0d-94bb-7e553e8dc130,index,2026-01-23 23:10:18.233000+00:00,695cc647-22bb-4d54-bb7e-553e8dc1303b,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,index,index,,,,,page
profile,,ajs-next-1769209827217-d90e2759-39da-47f2-886b-de12eef9ce80,business_profile,2026-01-23 23:10:27.217000+00:00,695cc647-22bb-4d54-bb7e-553e8dc1303b,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/verso-lalto-business-solutions-1743547621069x279645472884266780,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/verso-lalto-business-solutions-1743547621069x279645472884266780,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/business_profile/verso-lalto-business-solutions-1743547621069x279645472884266780,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/verso-lalto-business-solutions-1743547621069x279645472884266780,1743547621069x279645472884266780,profile,business_profile,,,,,page
start,,ajs-next-1769226556687-129dcd22-2986-43c7-88fd-b452fc3ecd32,start,2026-01-24 03:49:16.687000+00:00,9dcd2229-86e3-4788-bdb4-52fc3ecd3271,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,,start,start,,,,,page
profile,,ajs-next-1769226580324-bf9eb923-3c0e-46f0-a934-53fed748cff4,business_profile,2026-01-24 03:49:40.324000+00:00,9dcd2229-86e3-4788-bdb4-52fc3ecd3271,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/spark-marketing--consulting-llc-1753374338412x209529915103450200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/spark-marketing--consulting-llc-1753374338412x209529915103450200,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/business_profile/spark-marketing--consulting-llc-1753374338412x209529915103450200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/spark-marketing--consulting-llc-1753374338412x209529915103450200,1753374338412x209529915103450200,profile,business_profile,,,,,page
profile,,ajs-next-1769226575330-569e28b0-d847-4b2a-98f3-0c69ef093c14,business_profile,2026-01-24 03:49:35.330000+00:00,9dcd2229-86e3-4788-bdb4-52fc3ecd3271,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/verso-lalto-business-solutions-1743547621069x279645472884266780,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/verso-lalto-business-solutions-1743547621069x279645472884266780,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/business_profile/verso-lalto-business-solutions-1743547621069x279645472884266780,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/verso-lalto-business-solutions-1743547621069x279645472884266780,1743547621069x279645472884266780,profile,business_profile,,,,,page
profile,,ajs-next-1769226568351-1c905158-bb91-4f97-a928-dc11bbdb18c8,business_profile,2026-01-24 03:49:28.351000+00:00,9dcd2229-86e3-4788-bdb4-52fc3ecd3271,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,1752717497153x537286585580736960,profile,business_profile,,,,,page
how_it_works,,ajs-next-1769251192443-561a1e8c-9df1-48a1-9b40-57886f756b87,how_it_works,2026-01-24 10:39:52.443000+00:00,1a1e8c9d-f138-419b-8057-886f756b874c,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/how_it_works/rinnovate-design-+-build--1768581853937x610498789092930300,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/rinnovate-design-+-build--1768581853937x610498789092930300,"[{'brand': 'HeadlessChrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,/how_it_works/rinnovate-design-+-build--1768581853937x610498789092930300,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/rinnovate-design-+-build--1768581853937x610498789092930300,,how_it_works,how_it_works,,,,,page
profile,,ajs-next-1769275493553-fa0be379-8b26-4863-8b89-182f846778a9,business_profile,2026-01-24 17:24:53.553000+00:00,0be3798b-2678-438b-8918-2f846778a918,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/business_profile/matt-mansfield---remax-professionals-1744398484109x785674167096991400,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/matt-mansfield---remax-professionals-1744398484109x785674167096991400,"[{'brand': 'HeadlessChrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,/business_profile/matt-mansfield---remax-professionals-1744398484109x785674167096991400,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/matt-mansfield---remax-professionals-1744398484109x785674167096991400,1744398484109x785674167096991400,profile,business_profile,,,,,page
