name,originalTimestamp,userId,messageId,anonymousId,category,userAgent,page.path,page.referrer,page.search,page.title,page.url,path,referrer,search,title,url,business_id,category_properties,name_properties,button_name,userAgentData.brands,userAgentData.mobile,userAgentData.platform,location,sponsored_listing,search_text,city,parish,email,properties,traits,input_num,input_name,address,other_category,description,display_email,business_name,main_category,phone,sub_category,website,event_type
business_profile,2026-01-29 23:12:06.828000+00:00,,ajs-next-1769728326828-9bcf0603-981e-47dc-accc-ab46ec2f44b3,cf060398-1e87-4cec-8cab-46ec2f44b3b4,profile,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_2_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/144.0.7559.95 Mobile/15E148 Safari/604.1",/business_profile/principle-accounting-llc-1746827109704x963221719337950200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/principle-accounting-llc-1746827109704x963221719337950200,/business_profile/principle-accounting-llc-1746827109704x963221719337950200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/principle-accounting-llc-1746827109704x963221719337950200,1746827109704x963221719337950200,profile,business_profile,,,,,,,,,,,,,,,,,,,,,,,,page
,2026-01-29 23:12:11.137000+00:00,,ajs-next-1769728331137-03981e87-dcec-4cab-86ec-2f44b3b411fd,cf060398-1e87-4cec-8cab-46ec2f44b3b4,,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_2_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/144.0.7559.95 Mobile/15E148 Safari/604.1",/business_profile/principle-accounting-llc-1746827109704x963221719337950200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/principle-accounting-llc-1746827109704x963221719337950200,,,,,,1746827109704x963221719337950200,,,visit_website,,,,,,,,,,,,,,,,,,,,,,,button_click
business_profile,2026-01-29 23:58:44.486000+00:00,,ajs-next-1769731124486-dba471b3-e967-4ef7-879b-c8a7d5904953,bdcef962-663f-4dcc-a3b2-c8d096f045bf,profile,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/slider-artworks-1744335958024x226211831616957250,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/slider-artworks-1744335958024x226211831616957250,/business_profile/slider-artworks-1744335958024x226211831616957250,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/slider-artworks-1744335958024x226211831616957250,1744335958024x226211831616957250,profile,business_profile,,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,,,,,,,,,,,,,,,,,,,,page
business_profile,2026-01-29 23:58:42.365000+00:00,,ajs-next-1769731122365-01bdcef9-6266-4ffd-8c23-b2c8d096f045,bdcef962-663f-4dcc-a3b2-c8d096f045bf,profile,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/talitha-koum-sourdough-1743549178851x847080663521240200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/talitha-koum-sourdough-1743549178851x847080663521240200,/business_profile/talitha-koum-sourdough-1743549178851x847080663521240200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/talitha-koum-sourdough-1743549178851x847080663521240200,1743549178851x847080663521240200,profile,business_profile,,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,,,,,,,,,,,,,,,,,,,,page
start,2026-01-29 23:58:59.683000+00:00,,ajs-next-1769731139683-f886c409-aea9-4dd2-a54f-2a062ba90852,bdcef962-663f-4dcc-a3b2-c8d096f045bf,start,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,,start,start,,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,,,,,,,,,,,,,,,,,,,,page
business_profile,2026-01-30 00:14:16.954000+00:00,,ajs-next-1769732056954-a6084a5e-5037-4a6f-a83e-dc45c16687f3,6964e19a-9618-4872-9a4b-efd0f8eb656d,profile,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",/business_profile/principle-accounting-llc-1746827109704x963221719337950200,https://www.google.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/principle-accounting-llc-1746827109704x963221719337950200,/business_profile/principle-accounting-llc-1746827109704x963221719337950200,https://www.google.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/principle-accounting-llc-1746827109704x963221719337950200,1746827109704x963221719337950200,profile,business_profile,,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}, {'brand': 'Google Chrome', 'version': '144'}]",False,macOS,,,,,,,,,,,,,,,,,,,,page
,2026-01-30 00:14:17.919000+00:00,,ajs-next-1769732057919-4a5e5037-6a6f-483e-9c45-c16687f3c979,6964e19a-9618-4872-9a4b-efd0f8eb656d,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",/business_profile/principle-accounting-llc-1746827109704x963221719337950200,https://www.google.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/principle-accounting-llc-1746827109704x963221719337950200,,,,,,1746827109704x963221719337950200,,,visit_website,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}, {'brand': 'Google Chrome', 'version': '144'}]",False,macOS,,,,,,,,,,,,,,,,,,,,button_click
business_profile,2026-01-30 00:14:00.518000+00:00,,ajs-next-1769732040518-3b44aeb5-a5a2-4a6f-a88e-4cd6f3cbded2,6964e19a-9618-4872-9a4b-efd0f8eb656d,profile,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",/business_profile/principle-accounting-llc-1746827109704x963221719337950200,https://www.google.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/principle-accounting-llc-1746827109704x963221719337950200,/business_profile/principle-accounting-llc-1746827109704x963221719337950200,https://www.google.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/principle-accounting-llc-1746827109704x963221719337950200,1746827109704x963221719337950200,profile,business_profile,,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}, {'brand': 'Google Chrome', 'version': '144'}]",False,macOS,,,,,,,,,,,,,,,,,,,,page
dashboard,2026-01-30 01:27:51.431000+00:00,1769635123521x385801932800474700,ajs-next-1769736471431-f76e46fa-8937-4613-bf29-33ceb0c72504,af2fe629-d721-4883-be42-6d2a4208a335,dashboard,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/144.0.7559.95 Mobile/15E148 Safari/604.1",/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,1769736470806x294345844004506600,dashboard,dashboard,,,,,,,,,,,,,,,,,,,,,,,,page
how_it_works,2026-01-30 01:37:22.751000+00:00,,ajs-next-1769737042751-5ea3970e-f078-4a8d-99e7-5dde217168e8,a3970ef0-784a-4dd9-a75d-de217168e831,how_it_works,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/how_it_works/1769438842189x525499798299140900,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1769438842189x525499798299140900,/how_it_works/1769438842189x525499798299140900,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1769438842189x525499798299140900,,how_it_works,how_it_works,,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}, {'brand': 'HeadlessChrome', 'version': '144'}]",False,Windows,,,,,,,,,,,,,,,,,,,,page
