category,messageId,userId,originalTimestamp,anonymousId,name,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,business_id,category_properties,name_properties,properties,traits,sponsored_listing,button_name,location,input_value,input_num,input_name,search_text,city,parish,email,address,other_category,description,display_email,business_name,main_category,phone,sub_category,website,event_type
profile,ajs-next-1770160365418-b7294abc-c3f8-4a7e-8ac6-071078667038,,2026-02-03 23:12:45.418000+00:00,294abcc3-f87a-4e8a-8607-107866703869,business_profile,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,1752717497153x537286585580736960,profile,business_profile,,,,,,,,,,,,,,,,,,,,,,page
profile,ajs-next-1770160372319-761f0a4a-cc89-48ee-898c-f8e855e3704d,,2026-02-03 23:12:52.319000+00:00,294abcc3-f87a-4e8a-8607-107866703869,business_profile,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/talitha-koum-sourdough-1743549178851x847080663521240200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/talitha-koum-sourdough-1743549178851x847080663521240200,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,,,,,,,,,"{'path': '/business_profile/talitha-koum-sourdough-1743549178851x847080663521240200', 'referrer': '', 'search': '', 'title': '| Colorado Catholic Business Directory', 'url': 'https://coloradocatholicbusinessdirectory.com/business_profile/talitha-koum-sourdough-1743549178851x847080663521240200', 'business_id': '1743549178851x847080663521240200', 'category': 'profile', 'name': 'business_profile'}",,,,,,,,,,,,,,,,,,,,,page
start,ajs-next-1770160395432-24f4f417-a824-4715-ac46-2d8f7b79e94b,,2026-02-03 23:13:15.432000+00:00,294abcc3-f87a-4e8a-8607-107866703869,start,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,,,,,,,,,"{'path': '/start', 'referrer': '', 'search': '?login=no', 'title': 'Login', 'url': 'https://coloradocatholicbusinessdirectory.com/start?login=no', 'category': 'start', 'name': 'start'}",,,,,,,,,,,,,,,,,,,,,page
,ajs-next-1770162848250-71bbdf79-c0c0-453c-bfaa-d295e52221a4,1769635123521x385801932800474700,2026-02-03 23:54:08.250000+00:00,af2fe629-d721-4883-be42-6d2a4208a335,,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/144.0.7559.95 Mobile/15E148 Safari/604.1",/business_profile/beauty-by-zoie,https://coloradocatholicbusinessdirectory.com/,,Beauty By Zoie | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/beauty-by-zoie,,,,,,,,,,,,,"{'business_id': '1769635123521x385801932800474700', 'email': 'beautybyzoiehoben@gmail.com', 'is_logged_in': True}",,,,,,,,,,,,,,,,,,,,identify
profile,ajs-next-1770160377319-237ab3a4-29d8-4253-aaa9-daf06f03968e,,2026-02-03 23:12:57.319000+00:00,294abcc3-f87a-4e8a-8607-107866703869,business_profile,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/spark-marketing--consulting-llc-1753374338412x209529915103450200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/spark-marketing--consulting-llc-1753374338412x209529915103450200,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/business_profile/spark-marketing--consulting-llc-1753374338412x209529915103450200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/spark-marketing--consulting-llc-1753374338412x209529915103450200,1753374338412x209529915103450200,profile,business_profile,,,,,,,,,,,,,,,,,,,,,,page
profile,ajs-next-1770162848252-df79c0c0-153c-4faa-9295-e52221a4bad8,1769635123521x385801932800474700,2026-02-03 23:54:08.252000+00:00,af2fe629-d721-4883-be42-6d2a4208a335,business_profile,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/144.0.7559.95 Mobile/15E148 Safari/604.1",/business_profile/beauty-by-zoie,https://coloradocatholicbusinessdirectory.com/,,Beauty By Zoie | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/beauty-by-zoie,,,,/business_profile/beauty-by-zoie,https://coloradocatholicbusinessdirectory.com/,,Beauty By Zoie | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/beauty-by-zoie,1769635123521x385801932800474700,profile,business_profile,,,,,,,,,,,,,,,,,,,,,,page
,ajs-next-1770165220992-2f631ca8-4603-465e-94be-2a7b1229539e,,2026-02-04 00:33:40.992000+00:00,be28fe89-2f63-4ca8-8603-d65ed4be2a7b,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}, {'brand': 'Google Chrome', 'version': '144'}]",False,Windows,,,,,,"1744579851707x640487742075829500, 1750436264420x989591292213482400, 1753982403438x535213824960417500, 1743549178851x847080663521240200, 1752717497153x537286585580736960, 1753374338412x209529915103450200, 1744335958024x226211831616957250, 1743547621069x279645472884266780",,,,,true,,,,,,,,,,,,,,,,,,,impression
,ajs-next-1770165258257-98418908-cd78-4420-8249-7a08cb355e18,1744397288473x909294892772270800,2026-02-04 00:34:18.257000+00:00,be28fe89-2f63-4ca8-8603-d65ed4be2a7b,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",/,https://coloradocatholicbusinessdirectory.com/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}, {'brand': 'Google Chrome', 'version': '144'}]",False,Windows,,,,,,,,,,"{'business_id': '1744397288473x909294892772270800', 'email': 'info@servebc.com', 'is_logged_in': True}",,,,,,,,,,,,,,,,,,,,identify
,ajs-next-1770165483371-3fa69d5b-3ad9-4efe-a6a2-0ee45bf0ecb2,1744397288473x909294892772270800,2026-02-04 00:38:03.371000+00:00,be28fe89-2f63-4ca8-8603-d65ed4be2a7b,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}, {'brand': 'Google Chrome', 'version': '144'}]",False,Windows,,,,,,,,,"{'business_id': '1744579851707x640487742075829500', 'location': 'main_list', 'sponsored_listing': 'true'}",,,,,,,,,,,,,,,,,,,,,impression
start,ajs-next-1770165228751-897f23da-b858-43b2-829d-a4cbc52c030a,,2026-02-04 00:33:48.751000+00:00,be28fe89-2f63-4ca8-8603-d65ed4be2a7b,start,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",/start,https://coloradocatholicbusinessdirectory.com/,?login=yes,Login,https://coloradocatholicbusinessdirectory.com/start?login=yes,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}, {'brand': 'Google Chrome', 'version': '144'}]",False,Windows,/start,https://coloradocatholicbusinessdirectory.com/,?login=yes,Login,https://coloradocatholicbusinessdirectory.com/start?login=yes,,start,start,,,,,,,,,,,,,,,,,,,,,,page
