userId,originalTimestamp,anonymousId,messageId,userAgent,page.path,page.referrer,page.search,page.title,page.url,search_text,category,name,path,referrer,search,title,url,business_id,category_properties,name_properties,userAgentData.brands,userAgentData.mobile,userAgentData.platform,location,sponsored_listing,button_name,city,parish,event_type
,2026-02-09 02:05:01.732000+00:00,b30daf9b-b3c1-43a4-b751-0fb86739ee89,ajs-next-1770602701732-93ac88ff-2517-404e-8e2f-de472fe0e5b0,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/406.0.862495628 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,Interior design,,,,,,,,,,,,,,,,,,,search
,2026-02-09 02:05:13.986000+00:00,b30daf9b-b3c1-43a4-b751-0fb86739ee89,ajs-next-1770602713986-e7acf28f-935f-4684-ab32-eaf398e17093,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/406.0.862495628 Mobile/15E148 Safari/604.1",/business_profile/portam-interiors-1753911193017x504194995643152640,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/portam-interiors-1753911193017x504194995643152640,,profile,business_profile,/business_profile/portam-interiors-1753911193017x504194995643152640,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/portam-interiors-1753911193017x504194995643152640,1753911193017x504194995643152640,profile,business_profile,,,,,,,,,page
,2026-02-09 02:05:03.337000+00:00,b30daf9b-b3c1-43a4-b751-0fb86739ee89,ajs-next-1770602703337-8b78eab7-760e-456f-b128-7e85eca08edd,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/406.0.862495628 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Interior%20design&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Interior%20design&category=,,,,,,,,,,,,,,,sidebar,true,,,,impression
,2026-02-09 02:05:18.428000+00:00,a2213f42-9ed7-480d-9ea7-6cc8accf2917,ajs-next-1770602718429-14a2213f-429e-4718-8d1e-a76cc8accf29,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Mobile Safari/537.36 (compatible; Google-Read-Aloud; +https://support.google.com/webmasters/answer/1061943)",/business_profile/portam-interiors-1753911193017x504194995643152640,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/portam-interiors-1753911193017x504194995643152640,,profile,business_profile,/business_profile/portam-interiors-1753911193017x504194995643152640,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/portam-interiors-1753911193017x504194995643152640,1753911193017x504194995643152640,profile,business_profile,[],False,,,,,,,page
,2026-02-09 02:07:00.323000+00:00,b30daf9b-b3c1-43a4-b751-0fb86739ee89,ajs-next-1770602820323-c3211b5d-b0a8-468f-b63d-ac2c43ee192f,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/406.0.862495628 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Interior%20design&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Interior%20design&category=,,,,,,,,,1753911193017x504194995643152640,,,,,,,false,,,,impression
,2026-02-09 02:04:56.911000+00:00,b30daf9b-b3c1-43a4-b751-0fb86739ee89,ajs-next-1770602696911-62ebc9e5-ce4f-43ac-88ff-2517304ece2f,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/406.0.862495628 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,index,index,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,index,index,,,,,,,,,page
,2026-02-09 02:04:38.931000+00:00,b30daf9b-b3c1-43a4-b751-0fb86739ee89,ajs-next-1770602678931-af9bb3c1-73a4-4751-8fb8-6739ee89140a,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/406.0.862495628 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,"1743549178851x847080663521240200, 1744579851707x640487742075829500, 1752717497153x537286585580736960, 1743547621069x279645472884266780, 1753374338412x209529915103450200, 1744335958024x226211831616957250, 1753982403438x535213824960417500, 1750436264420x989591292213482400",,,,,,,true,,,,impression
,2026-02-09 02:05:13.036000+00:00,b30daf9b-b3c1-43a4-b751-0fb86739ee89,ajs-next-1770602713036-956fb128-7e85-4ca0-8edd-8639b13d4cda,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/406.0.862495628 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Interior%20design&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Interior%20design&category=,,,,,,,,,1753911193017x504194995643152640,,,,,,,false,more_info_text,,,button_click
,2026-02-09 02:07:20.624000+00:00,b30daf9b-b3c1-43a4-b751-0fb86739ee89,ajs-next-1770602840624-bfc0aadb-aa78-462a-ab2c-c0bc0d4ec76f,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/406.0.862495628 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Architecture%20&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Architecture%20&category=,,,,,,,,,1744579851707x640487742075829500,,,,,,main_list,true,,,,impression
,2026-02-09 02:04:49.120000+00:00,b30daf9b-b3c1-43a4-b751-0fb86739ee89,ajs-next-1770602689120-e57c8917-ce10-4d0a-9f4a-c13611d9ee89,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/406.0.862495628 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,,,,,,,,,1744335958024x226211831616957250,,,,,,main_list,true,,,,impression
