messageId,name,userId,originalTimestamp,anonymousId,category,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,business_id,category_properties,name_properties,location,sponsored_listing,button_name,email,traits,input_value,input_num,input_name,properties,address,other_category,city,description,display_email,business_name,main_category,parish,phone,sub_category,website,search_text,event_type
ajs-next-1770939000740-c60f1d4c-fc62-4854-b482-3f2aef60ab90,business_profile,,2026-02-12 23:30:00.740000+00:00,a759fe8e-859e-4edd-b671-2df00e438665,profile,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/verso-lalto-business-solutions-1743547621069x279645472884266780,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/verso-lalto-business-solutions-1743547621069x279645472884266780,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/business_profile/verso-lalto-business-solutions-1743547621069x279645472884266780,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/verso-lalto-business-solutions-1743547621069x279645472884266780,1743547621069x279645472884266780,profile,business_profile,,,,,,,,,,,,,,,,,,,,,,page
ajs-next-1770938990048-bda759fe-8e85-4eae-9d36-712df00e4386,business_profile,,2026-02-12 23:29:50.048000+00:00,a759fe8e-859e-4edd-b671-2df00e438665,profile,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/talitha-koum-sourdough-1743549178851x847080663521240200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/talitha-koum-sourdough-1743549178851x847080663521240200,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/business_profile/talitha-koum-sourdough-1743549178851x847080663521240200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/talitha-koum-sourdough-1743549178851x847080663521240200,1743549178851x847080663521240200,profile,business_profile,,,,,,,,,,,,,,,,,,,,,,page
ajs-next-1770938995025-2607f11f-7ec7-4d9f-a601-6b214ecdb01d,business_profile,,2026-02-12 23:29:55.025000+00:00,a759fe8e-859e-4edd-b671-2df00e438665,profile,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/roof-technologies-llc-1744579851707x640487742075829500,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/roof-technologies-llc-1744579851707x640487742075829500,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/business_profile/roof-technologies-llc-1744579851707x640487742075829500,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/roof-technologies-llc-1744579851707x640487742075829500,1744579851707x640487742075829500,profile,business_profile,,,,,,,,,,,,,,,,,,,,,,page
ajs-next-1770941437866-09a1d1f4-6b55-4858-a6b4-8fea074e419c,,1769719058268x843927058977011000,2026-02-13 00:10:37.866000+00:00,159b0810-fb94-4d8c-aab5-e1e6f83e433d,,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Finance,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Finance,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}, {'brand': 'Google Chrome', 'version': '144'}]",False,Chrome OS,,,,,,,,,sidebar,true,,,,,,,,,,,,,,,,,,,,impression
ajs-next-1770941438190-d1f46b55-4858-46b4-8fea-074e419ce1a3,,1769719058268x843927058977011000,2026-02-13 00:10:38.190000+00:00,159b0810-fb94-4d8c-aab5-e1e6f83e433d,,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Finance,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Finance,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}, {'brand': 'Google Chrome', 'version': '144'}]",False,Chrome OS,,,,,,1753982403438x535213824960417500,,,main_list,true,,,,,,,,,,,,,,,,,,,,impression
ajs-next-1770941438499-6b554858-26b4-4fea-874e-419ce1a38f44,,1769719058268x843927058977011000,2026-02-13 00:10:38.499000+00:00,159b0810-fb94-4d8c-aab5-e1e6f83e433d,,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Finance,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Finance,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}, {'brand': 'Google Chrome', 'version': '144'}]",False,Chrome OS,,,,,,"1746635677548x343522492232585660, 1761762406893x958878656538368500, 1770152894907x464897480736850900, 1758312173588x895819358343598700, 1753135741395x558904608479141570, 1744134674881x127285411168640110, 1753982403438x535213824960417500, 1766011883106x917993758751800300, 1757369121056x350487849823425600, 1765991015203x350068785849064760, 1768584016102x834619843946063900, 1750784029587x963255839088365200, 1763672237927x725969385673238800, 1750785338983x949958887494882000, 1746827109704x963221719337950200, 1761919898226x928695665795906700, 1764963280733x431041418968701760, 1744391553368x301043576290850300, 1760458225389x690604949380638100",,,,false,,,,,,,,,,,,,,,,,,,,impression
ajs-next-1770941437556-949009a1-d1f4-4b55-8858-26b48fea074e,search,1769719058268x843927058977011000,2026-02-13 00:10:37.556000+00:00,159b0810-fb94-4d8c-aab5-e1e6f83e433d,search,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Finance,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Finance,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}, {'brand': 'Google Chrome', 'version': '144'}]",False,Chrome OS,/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Finance,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Finance,,search,search,,,,,,,,,,,,,,,,,,,,,,page
ajs-next-1770948800848-d437a24e-fac2-449f-86de-bb2d79272d4b,index,,2026-02-13 02:13:20.848000+00:00,37a24efa-c2c4-4f06-9ebb-2d79272d4b68,index,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.7339.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '141'}, {'brand': 'Not?A_Brand', 'version': '8'}]",False,Windows,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,index,index,,,,,,,,,,,,,,,,,,,,,,page
ajs-next-1770948801327-4efac2c4-9f06-4ebb-ad79-272d4b685d70,,,2026-02-13 02:13:21.327000+00:00,37a24efa-c2c4-4f06-9ebb-2d79272d4b68,,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.7339.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '141'}, {'brand': 'Not?A_Brand', 'version': '8'}]",False,Windows,,,,,,"1743547621069x279645472884266780, 1753374338412x209529915103450200, 1750436264420x989591292213482400, 1770943484557x164806709481949200, 1752717497153x537286585580736960, 1753982403438x535213824960417500, 1743549178851x847080663521240200, 1744335958024x226211831616957250, 1744579851707x640487742075829500",,,,true,,,,,,,,,,,,,,,,,,,,impression
ajs-next-1770951429300-c402be76-99bd-4cf5-b2ba-ee3ee8d0df9c,,1760118921086x941497076227920600,2026-02-13 02:57:09.300000+00:00,c35c9d20-cb4e-4b41-b819-080fc7022f79,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",/,https://coloradocatholicbusinessdirectory.com/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}, {'brand': 'Microsoft Edge', 'version': '144'}]",False,Windows,,,,,,"1752717497153x537286585580736960, 1743549178851x847080663521240200, 1770943484557x164806709481949200, 1750436264420x989591292213482400, 1753374338412x209529915103450200, 1744579851707x640487742075829500, 1743547621069x279645472884266780, 1753982403438x535213824960417500, 1744335958024x226211831616957250",,,,true,,,,,,,,,,,,,,,,,,,,impression
