anonymousId,category,name,originalTimestamp,messageId,userId,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,business_id,category_properties,name_properties,sponsored_listing,button_name,traits,properties,location,input_value,input_num,input_name,address,other_category,city,description,display_email,business_name,main_category,parish,phone,sub_category,website,email,event_type
c730c260-9091-4c9e-9769-7de9fed5ce92,profile,business_profile,2026-02-21 07:15:14.753000+00:00,ajs-next-1771658114753-ebc730c2-6090-419c-9e57-697de9fed5ce,,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/136.0.0.0 Safari/537.36",/business_profile/denver-catholic-counseling-1744740154739x566945822952470660,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/denver-catholic-counseling-1744740154739x566945822952470660,[],False,,/business_profile/denver-catholic-counseling-1744740154739x566945822952470660,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/denver-catholic-counseling-1744740154739x566945822952470660,1744740154739x566945822952470660,profile,business_profile,,,,,,,,,,,,,,,,,,,,,page
4b665448-89d6-49a9-89c3-ac55beb51757,start,start,2026-02-21 13:11:06.269000+00:00,ajs-next-1771679466269-404b6654-4889-46c9-a989-c3ac55beb517,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,"[{'brand': 'Chromium', 'version': '140'}, {'brand': 'Not=A?Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '140'}]",False,Linux,/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,,start,start,,,,,,,,,,,,,,,,,,,,,page
9a12b7d7-6b01-4dc1-976f-59fe1a9b6e7d,start,start,2026-02-21 13:11:21.289000+00:00,ajs-next-1771679481289-559a12b7-d76b-41fd-8197-6f59fe1a9b6e,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,"[{'brand': 'Chromium', 'version': '140'}, {'brand': 'Not=A?Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '140'}]",False,Linux,/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,,start,start,,,,,,,,,,,,,,,,,,,,,page
1c6dbbf6-eec0-47d9-bf2a-eb37aab824f7,,,2026-02-21 16:01:33.152000+00:00,ajs-next-1771689693152-bbf6eec0-47d9-4f2a-ab37-aab824f7f833,,"Mozilla/5.0 (Linux; Android 12; SM-A217F Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/145.0.7632.52 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/548.1.0.51.64;IABMV/1;]",/,https://www.facebook.com/,?fbclid=IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAEe9xzBaXJ5z7neDQXrZtTJMJBGkURHGhIRA-oO5xzMKMAjWObhcL1VKlni0xc_aem_4NYRG42TpNmBzO52IdAlOQ,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/?fbclid=IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAEe9xzBaXJ5z7neDQXrZtTJMJBGkURHGhIRA-oO5xzMKMAjWObhcL1VKlni0xc_aem_4NYRG42TpNmBzO52IdAlOQ,"[{'brand': 'Not:A-Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '145'}, {'brand': 'Chromium', 'version': '145'}]",False,Linux,,,,,,"1743549178851x847080663521240200, 1753982403438x535213824960417500, 1743547621069x279645472884266780, 1771436045389x658317953644361100, 1744579851707x640487742075829500, 1753374338412x209529915103450200, 1752717497153x537286585580736960, 1744335958024x226211831616957250, 1770943484557x164806709481949200, 1750436264420x989591292213482400",,,true,,,,,,,,,,,,,,,,,,,,impression
1c6dbbf6-eec0-47d9-bf2a-eb37aab824f7,index,index,2026-02-21 16:01:32.421000+00:00,ajs-next-1771689692421-501c6dbb-f6ee-4047-993f-2aeb37aab824,,"Mozilla/5.0 (Linux; Android 12; SM-A217F Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/145.0.7632.52 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/548.1.0.51.64;IABMV/1;]",/,https://www.facebook.com/,?fbclid=IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAEe9xzBaXJ5z7neDQXrZtTJMJBGkURHGhIRA-oO5xzMKMAjWObhcL1VKlni0xc_aem_4NYRG42TpNmBzO52IdAlOQ,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/?fbclid=IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAEe9xzBaXJ5z7neDQXrZtTJMJBGkURHGhIRA-oO5xzMKMAjWObhcL1VKlni0xc_aem_4NYRG42TpNmBzO52IdAlOQ,"[{'brand': 'Not:A-Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '145'}, {'brand': 'Chromium', 'version': '145'}]",False,Linux,/,https://www.facebook.com/,?fbclid=IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAEe9xzBaXJ5z7neDQXrZtTJMJBGkURHGhIRA-oO5xzMKMAjWObhcL1VKlni0xc_aem_4NYRG42TpNmBzO52IdAlOQ,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/?fbclid=IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAEe9xzBaXJ5z7neDQXrZtTJMJBGkURHGhIRA-oO5xzMKMAjWObhcL1VKlni0xc_aem_4NYRG42TpNmBzO52IdAlOQ,,index,index,,,,,,,,,,,,,,,,,,,,,page
1c6dbbf6-eec0-47d9-bf2a-eb37aab824f7,,,2026-02-21 16:01:33.586000+00:00,ajs-next-1771689693586-eec047d9-3f2a-4b37-aab8-24f7f83360e9,,"Mozilla/5.0 (Linux; Android 12; SM-A217F Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/145.0.7632.52 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/548.1.0.51.64;IABMV/1;]",/,https://www.facebook.com/,?fbclid=IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAEe9xzBaXJ5z7neDQXrZtTJMJBGkURHGhIRA-oO5xzMKMAjWObhcL1VKlni0xc_aem_4NYRG42TpNmBzO52IdAlOQ,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/?fbclid=IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAEe9xzBaXJ5z7neDQXrZtTJMJBGkURHGhIRA-oO5xzMKMAjWObhcL1VKlni0xc_aem_4NYRG42TpNmBzO52IdAlOQ,"[{'brand': 'Not:A-Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '145'}, {'brand': 'Chromium', 'version': '145'}]",False,Linux,,,,,,"1743549178851x847080663521240200, 1753982403438x535213824960417500, 1743547621069x279645472884266780, 1771436045389x658317953644361100, 1744579851707x640487742075829500, 1753374338412x209529915103450200, 1752717497153x537286585580736960, 1744335958024x226211831616957250, 1770943484557x164806709481949200, 1750436264420x989591292213482400",,,true,,,,,,,,,,,,,,,,,,,,impression
de188dd5-fc93-4047-88e4-8b7031a33304,index,index,2026-02-22 14:17:58.083000+00:00,ajs-next-1771769878083-e2de188d-d5fc-43c0-8708-e48b7031a333,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.169 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'HeadlessChrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Linux,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,index,index,,,,,,,,,,,,,,,,,,,,,page
de188dd5-fc93-4047-88e4-8b7031a33304,,,2026-02-22 14:17:59.028000+00:00,ajs-next-1771769879028-fc93c047-08e4-4b70-b1a3-3304a4a79b23,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.169 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'HeadlessChrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Linux,,,,,,"1770943484557x164806709481949200, 1744579851707x640487742075829500, 1752717497153x537286585580736960, 1753982403438x535213824960417500, 1744335958024x226211831616957250, 1753374338412x209529915103450200, 1743547621069x279645472884266780, 1771436045389x658317953644361100, 1743549178851x847080663521240200, 1750436264420x989591292213482400",,,true,,,,,,,,,,,,,,,,,,,,impression
de188dd5-fc93-4047-88e4-8b7031a33304,,,2026-02-22 14:17:58.323000+00:00,ajs-next-1771769878323-8dd5fc93-c047-48e4-8b70-31a33304a4a7,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.169 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'HeadlessChrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Linux,,,,,,"1770943484557x164806709481949200, 1744579851707x640487742075829500, 1752717497153x537286585580736960, 1753982403438x535213824960417500, 1744335958024x226211831616957250, 1753374338412x209529915103450200, 1743547621069x279645472884266780, 1771436045389x658317953644361100, 1743549178851x847080663521240200, 1750436264420x989591292213482400",,,true,,,,,,,,,,,,,,,,,,,,impression
3d34294e-414b-4b08-9eff-1b3118908736,,,2026-02-22 15:19:08.035000+00:00,ajs-next-1771773548035-414b8b08-9eff-4b31-9890-8736cd158a24,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,[],False,,,,,,,"1770943484557x164806709481949200, 1743549178851x847080663521240200, 1744335958024x226211831616957250, 1752717497153x537286585580736960, 1771436045389x658317953644361100, 1743547621069x279645472884266780, 1750436264420x989591292213482400, 1753374338412x209529915103450200, 1744579851707x640487742075829500, 1753982403438x535213824960417500",,,true,,,,,,,,,,,,,,,,,,,,impression
