category,messageId,name,userId,originalTimestamp,anonymousId,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,category_properties,name_properties,business_id,sponsored_listing,button_name,location,search_text,email,input_num,input_name,city,parish,input_value,address,other_category,description,display_email,business_name,main_category,phone,sub_category,website,properties,traits,event_type
about_us,ajs-next-1772406534692-3641f8d6-8df2-4ddc-bfb3-836a58c8a864,about_us,,2026-03-01 23:08:54.692000+00:00,41f8d68d-f2ad-4c7f-b383-6a58c8a86497,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/about_us/1772167918682x352520147258238900,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1772167918682x352520147258238900,"[{'brand': 'Not:A-Brand', 'version': '99'}, {'brand': 'HeadlessChrome', 'version': '145'}, {'brand': 'Chromium', 'version': '145'}]",False,Windows,/about_us/1772167918682x352520147258238900,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1772167918682x352520147258238900,about_us,about_us,,,,,,,,,,,,,,,,,,,,,,,page
about_us,ajs-next-1772411469978-0d0db5ac-b673-4b36-aecc-2347ce48ff3b,about_us,,2026-03-02 00:31:09.978000+00:00,0db5acb6-73db-46ae-8c23-47ce48ff3bcc,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/about_us/1772167213978x873238250680871300,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1772167213978x873238250680871300,"[{'brand': 'Not:A-Brand', 'version': '99'}, {'brand': 'HeadlessChrome', 'version': '145'}, {'brand': 'Chromium', 'version': '145'}]",False,Windows,/about_us/1772167213978x873238250680871300,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1772167213978x873238250680871300,about_us,about_us,,,,,,,,,,,,,,,,,,,,,,,page
about_us,ajs-next-1772419728597-2442171a-10b4-4527-8c08-6cf9c258f0dd,about_us,,2026-03-02 02:48:48.597000+00:00,42171a10-b4c5-470c-886c-f9c258f0dd56,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/about_us/blanchard-financial-services-new-york-life-1768584016102x834619843946063900,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/blanchard-financial-services-new-york-life-1768584016102x834619843946063900,"[{'brand': 'Not:A-Brand', 'version': '99'}, {'brand': 'HeadlessChrome', 'version': '145'}, {'brand': 'Chromium', 'version': '145'}]",False,Windows,/about_us/blanchard-financial-services-new-york-life-1768584016102x834619843946063900,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/blanchard-financial-services-new-york-life-1768584016102x834619843946063900,about_us,about_us,,,,,,,,,,,,,,,,,,,,,,,page
terms,ajs-next-1772421590766-590980fb-300e-485e-a36d-7a017a567e40,terms_of_service,,2026-03-02 03:19:50.766000+00:00,0980fb30-0e88-4e23-ad7a-017a567e4015,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/terms_of_service/aspire-building-services-1768844277981x664142917381285000,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/terms_of_service/aspire-building-services-1768844277981x664142917381285000,"[{'brand': 'Not:A-Brand', 'version': '99'}, {'brand': 'HeadlessChrome', 'version': '145'}, {'brand': 'Chromium', 'version': '145'}]",False,Windows,/terms_of_service/aspire-building-services-1768844277981x664142917381285000,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/terms_of_service/aspire-building-services-1768844277981x664142917381285000,terms,terms_of_service,,,,,,,,,,,,,,,,,,,,,,,page
terms,ajs-next-1772422317295-37e42567-45a2-4363-ace6-3b8b61d79b3c,terms_of_service,,2026-03-02 03:31:57.295000+00:00,e4256745-a2a3-436c-a63b-8b61d79b3c62,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/terms_of_service/purple-ink-1768426055630x579798080961828200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/terms_of_service/purple-ink-1768426055630x579798080961828200,"[{'brand': 'Not:A-Brand', 'version': '99'}, {'brand': 'HeadlessChrome', 'version': '145'}, {'brand': 'Chromium', 'version': '145'}]",False,Windows,/terms_of_service/purple-ink-1768426055630x579798080961828200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/terms_of_service/purple-ink-1768426055630x579798080961828200,terms,terms_of_service,,,,,,,,,,,,,,,,,,,,,,,page
profile,ajs-next-1772423085508-9f6830aa-3a6a-4969-887f-4ebfa9ce1d31,business_profile,,2026-03-02 03:44:45.508000+00:00,6830aa3a-6a99-4948-bf4e-bfa9ce1d3179,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/business_profile/test-business-1771517879190x523242735258870900,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/test-business-1771517879190x523242735258870900,"[{'brand': 'Not:A-Brand', 'version': '99'}, {'brand': 'HeadlessChrome', 'version': '145'}, {'brand': 'Chromium', 'version': '145'}]",False,Windows,/business_profile/test-business-1771517879190x523242735258870900,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/test-business-1771517879190x523242735258870900,profile,business_profile,1771517879190x523242735258870900,,,,,,,,,,,,,,,,,,,,,,page
how_it_works,ajs-next-1772425072788-1ae12c8b-f5fe-446a-bf6c-5efde60516cc,how_it_works,,2026-03-02 04:17:52.788000+00:00,e12c8bf5-fef4-4aff-ac5e-fde60516cc07,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/how_it_works/the-foote-group-keller-williams-aspire-1770943484557x164806709481949200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/the-foote-group-keller-williams-aspire-1770943484557x164806709481949200,"[{'brand': 'Not:A-Brand', 'version': '99'}, {'brand': 'HeadlessChrome', 'version': '145'}, {'brand': 'Chromium', 'version': '145'}]",False,Windows,/how_it_works/the-foote-group-keller-williams-aspire-1770943484557x164806709481949200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/the-foote-group-keller-williams-aspire-1770943484557x164806709481949200,how_it_works,how_it_works,,,,,,,,,,,,,,,,,,,,,,,page
how_it_works,ajs-next-1772425877701-1198d4d6-04d8-4676-a2f7-7d65503978e1,how_it_works,,2026-03-02 04:31:17.701000+00:00,98d4d604-d886-46e2-b77d-65503978e14a,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/how_it_works/1772177023754x347428464427524500,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1772177023754x347428464427524500,"[{'brand': 'Not:A-Brand', 'version': '99'}, {'brand': 'HeadlessChrome', 'version': '145'}, {'brand': 'Chromium', 'version': '145'}]",False,Windows,/how_it_works/1772177023754x347428464427524500,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1772177023754x347428464427524500,how_it_works,how_it_works,,,,,,,,,,,,,,,,,,,,,,,page
profile,ajs-next-1772426881929-45da07fe-1d0a-4dd7-9af4-59072d8c8b7d,business_profile,,2026-03-02 04:48:01.929000+00:00,da07fe1d-0acd-479a-b459-072d8c8b7db9,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/business_profile/purple-ink-1768426055630x579798080961828200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/purple-ink-1768426055630x579798080961828200,"[{'brand': 'Not:A-Brand', 'version': '99'}, {'brand': 'HeadlessChrome', 'version': '145'}, {'brand': 'Chromium', 'version': '145'}]",False,Windows,/business_profile/purple-ink-1768426055630x579798080961828200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/purple-ink-1768426055630x579798080961828200,profile,business_profile,1768426055630x579798080961828200,,,,,,,,,,,,,,,,,,,,,,page
about_us,ajs-next-1772447311225-fa08f072-042a-4e77-82a7-8308ea02a486,about_us,,2026-03-02 10:28:31.225000+00:00,08f07204-2a0e-4782-a783-08ea02a486cc,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/about_us/1772168747709x740208653847068700,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1772168747709x740208653847068700,"[{'brand': 'Not:A-Brand', 'version': '99'}, {'brand': 'HeadlessChrome', 'version': '145'}, {'brand': 'Chromium', 'version': '145'}]",False,Windows,/about_us/1772168747709x740208653847068700,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1772168747709x740208653847068700,about_us,about_us,,,,,,,,,,,,,,,,,,,,,,,page
