category,anonymousId,name,userId,originalTimestamp,messageId,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,category_properties,name_properties,business_id,button_name,sponsored_listing,location,traits,properties,search_text,event_type
about_us,2abcf257-00ad-4fcd-968c-5bb2cd84239c,about_us,,2026-03-02 23:40:05.158000+00:00,ajs-next-1772494805158-a92abcf2-5700-4d3f-8d56-8c5bb2cd8423,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/about_us/beauty-by-zoie-1769635123521x385801932800474700,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/beauty-by-zoie-1769635123521x385801932800474700,"[{'brand': 'Not:A-Brand', 'version': '99'}, {'brand': 'HeadlessChrome', 'version': '145'}, {'brand': 'Chromium', 'version': '145'}]",False,Windows,/about_us/beauty-by-zoie-1769635123521x385801932800474700,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/beauty-by-zoie-1769635123521x385801932800474700,about_us,about_us,,,,,,,,page
profile,f6c242c2-e47d-4319-af8f-e4a135d5b7f9,business_profile,,2026-03-03 00:11:50.929000+00:00,ajs-next-1772496710930-97f6c242-c2e4-4d93-996f-8fe4a135d5b7,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/slider-artworks-1744335958024x226211831616957250,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/slider-artworks-1744335958024x226211831616957250,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/business_profile/slider-artworks-1744335958024x226211831616957250,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/slider-artworks-1744335958024x226211831616957250,profile,business_profile,1744335958024x226211831616957250,,,,,,,page
profile,f6c242c2-e47d-4319-af8f-e4a135d5b7f9,business_profile,,2026-03-03 00:11:57.869000+00:00,ajs-next-1772496717869-138bff2b-05ba-412c-9bb2-a888cca5e57a,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/verso-lalto-business-solutions-1743547621069x279645472884266780,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/verso-lalto-business-solutions-1743547621069x279645472884266780,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/business_profile/verso-lalto-business-solutions-1743547621069x279645472884266780,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/verso-lalto-business-solutions-1743547621069x279645472884266780,profile,business_profile,1743547621069x279645472884266780,,,,,,,page
start,f6c242c2-e47d-4319-af8f-e4a135d5b7f9,start,,2026-03-03 00:12:26.960000+00:00,ajs-next-1772496746960-944e23ef-08e4-4c0e-8b58-fe6ec771d1f5,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,start,start,,,,,,,,page
,29696bdb-5c2f-4920-a506-c95bc7305089,,1772482882558x843076024552954900,2026-03-03 00:22:32.445000+00:00,ajs-next-1772497352445-d32a7fd2-e7cf-45c8-b15e-38f7b2ad566e,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not:A-Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '145'}, {'brand': 'Chromium', 'version': '145'}]",False,Windows,,,,,,,,,search,,,,,,button_click
profile,f6c242c2-e47d-4319-af8f-e4a135d5b7f9,business_profile,,2026-03-03 00:11:59.917000+00:00,ajs-next-1772496719917-9580e9d5-edcc-4445-9cd7-28851358ea6e,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/wild-goose-music-1750436264420x989591292213482400,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/wild-goose-music-1750436264420x989591292213482400,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/business_profile/wild-goose-music-1750436264420x989591292213482400,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/wild-goose-music-1750436264420x989591292213482400,profile,business_profile,1750436264420x989591292213482400,,,,,,,page
index,29696bdb-5c2f-4920-a506-c95bc7305089,index,1772482882558x843076024552954900,2026-03-03 00:22:25.018000+00:00,ajs-next-1772497345018-42b9590f-d5da-432a-bfd2-e7cf75c8f15e,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not:A-Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '145'}, {'brand': 'Chromium', 'version': '145'}]",False,Windows,/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,,,page
,1eb6f159-aa8c-4e68-9bbe-09ac12d32655,,,2026-03-03 00:58:28.386000+00:00,ajs-next-1772499508386-f159aa8c-1e68-4bbe-89ac-12d326556164,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Linux,,,,,,,,"1743547621069x279645472884266780, 1750436264420x989591292213482400, 1744579851707x640487742075829500, 1753982403438x535213824960417500, 1752717497153x537286585580736960, 1770943484557x164806709481949200, 1753374338412x209529915103450200, 1771436045389x658317953644361100, 1744335958024x226211831616957250, 1743549178851x847080663521240200",,true,,,,,impression
,29696bdb-5c2f-4920-a506-c95bc7305089,,1772482882558x843076024552954900,2026-03-03 00:22:25.364000+00:00,ajs-next-1772497345364-d5dad32a-7fd2-47cf-b5c8-f15e38f7b2ad,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not:A-Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '145'}, {'brand': 'Chromium', 'version': '145'}]",False,Windows,,,,,,,,"1753374338412x209529915103450200, 1752717497153x537286585580736960, 1744335958024x226211831616957250, 1770943484557x164806709481949200, 1750436264420x989591292213482400, 1743547621069x279645472884266780, 1743549178851x847080663521240200, 1744579851707x640487742075829500, 1753982403438x535213824960417500, 1771436045389x658317953644361100",,true,,,,,impression
,29696bdb-5c2f-4920-a506-c95bc7305089,,1772482882558x843076024552954900,2026-03-03 00:22:34.775000+00:00,ajs-next-1772497354775-d6473742-7a92-49f2-84c5-256c9ca6f265,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Health%20%26%20Wellness,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Health%20%26%20Wellness,"[{'brand': 'Not:A-Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '145'}, {'brand': 'Chromium', 'version': '145'}]",False,Windows,,,,,,,,,,true,main_list,,,,impression
