category,name,userId,originalTimestamp,anonymousId,messageId,userAgent,page.path,page.referrer,page.search,page.title,page.url,path,referrer,search,title,url,business_id,category_properties,name_properties,userAgentData.brands,userAgentData.mobile,userAgentData.platform,sponsored_listing,button_name,city,search_text,location,parish,event_type
dashboard,dashboard,,2026-03-11 23:32:47.744000+00:00,33641e7e-82ea-4a0c-a67d-31a49a143b0b,ajs-next-1773271967744-3a33641e-7e82-4a8a-8ce6-7d31a49a143b,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15",/dashboard,,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,/dashboard,,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,1773258490007x383533710407710140,dashboard,dashboard,,,,,,,,,,page
start,start,,2026-03-11 23:39:33.837000+00:00,94de4516-f556-4cb1-82bf-de08497a8040,ajs-next-1773272373837-13446052-eb33-4b96-8ff5-1cd16157e2fb,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,,start,start,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,,,,,,,page
profile,business_profile,,2026-03-11 23:39:24.854000+00:00,94de4516-f556-4cb1-82bf-de08497a8040,ajs-next-1773272364854-8d6c24e5-0155-4069-8099-931adbd900b6,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/slider-artworks-1744335958024x226211831616957250,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/slider-artworks-1744335958024x226211831616957250,/business_profile/slider-artworks-1744335958024x226211831616957250,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/slider-artworks-1744335958024x226211831616957250,1744335958024x226211831616957250,profile,business_profile,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,,,,,,,page
profile,business_profile,,2026-03-11 23:39:29.840000+00:00,94de4516-f556-4cb1-82bf-de08497a8040,ajs-next-1773272369840-b615d555-25b9-44e6-a500-fbb2f50c3805,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/the-foote-group-keller-williams-aspire-1770943484557x164806709481949200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/the-foote-group-keller-williams-aspire-1770943484557x164806709481949200,/business_profile/the-foote-group-keller-williams-aspire-1770943484557x164806709481949200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/the-foote-group-keller-williams-aspire-1770943484557x164806709481949200,1770943484557x164806709481949200,profile,business_profile,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,,,,,,,page
profile,business_profile,,2026-03-11 23:39:18.856000+00:00,94de4516-f556-4cb1-82bf-de08497a8040,ajs-next-1773272358856-e594de45-16f5-463c-b142-bfde08497a80,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,1752717497153x537286585580736960,profile,business_profile,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,,,,,,,page
about_us,about_us,,2026-03-12 00:28:18.550000+00:00,bfaa4812-e9e9-49a0-9a55-c5cf8d0f15ab,ajs-next-1773275298550-edbfaa48-12e9-49a9-a09a-55c5cf8d0f15,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/about_us/1773076484272x809146258836648300,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1773076484272x809146258836648300,/about_us/1773076484272x809146258836648300,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1773076484272x809146258836648300,,about_us,about_us,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'HeadlessChrome', 'version': '146'}]",False,Windows,,,,,,,page
how_it_works,how_it_works,,2026-03-12 00:36:49.363000+00:00,6fa982be-864f-42e9-bbfc-e3d16f9ef062,ajs-next-1773275809363-866fa982-be86-4f82-a93b-fce3d16f9ef0,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/how_it_works/1773118107851x323434757129895900,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1773118107851x323434757129895900,/how_it_works/1773118107851x323434757129895900,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1773118107851x323434757129895900,,how_it_works,how_it_works,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'HeadlessChrome', 'version': '146'}]",False,Windows,,,,,,,page
how_it_works,how_it_works,,2026-03-12 01:26:08.207000+00:00,23b55e6d-cf3d-4908-9671-b0b090e946bd,ajs-next-1773278768207-d523b55e-6dcf-4dc9-8856-71b0b090e946,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/how_it_works/1773275807058x146259734389420960,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1773275807058x146259734389420960,/how_it_works/1773275807058x146259734389420960,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1773275807058x146259734389420960,,how_it_works,how_it_works,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'HeadlessChrome', 'version': '146'}]",False,Windows,,,,,,,page
terms,terms_of_service,,2026-03-12 02:28:34.102000+00:00,749ee484-91b7-4fff-a0e7-32e486ac4dee,ajs-next-1773282514102-0d749ee4-8491-479f-bf60-e732e486ac4d,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/terms_of_service/aspire-building-services-1768844277981x664142917381285000,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/terms_of_service/aspire-building-services-1768844277981x664142917381285000,/terms_of_service/aspire-building-services-1768844277981x664142917381285000,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/terms_of_service/aspire-building-services-1768844277981x664142917381285000,,terms,terms_of_service,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'HeadlessChrome', 'version': '146'}]",False,Windows,,,,,,,page
about_us,about_us,,2026-03-12 02:50:52.042000+00:00,63c8d499-be23-438b-a95c-12b65a5ee691,ajs-next-1773283852042-ba63c8d4-99be-4303-8b29-5c12b65a5ee6,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/about_us/1773275807058x146259734389420960,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1773275807058x146259734389420960,/about_us/1773275807058x146259734389420960,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1773275807058x146259734389420960,,about_us,about_us,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'HeadlessChrome', 'version': '146'}]",False,Windows,,,,,,,page
profile,business_profile,,2026-03-12 10:46:36.133000+00:00,4fa22a11-0fd8-4332-bbd3-401415afd5da,ajs-next-1773312396133-db4fa22a-110f-4883-b23b-d3401415afd5,"Mozilla/5.0 (Linux; Android 11; moto g power (2022)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",/business_profile/house-of-carmel-religious-gifts--books-1748365021326x105262688542451250,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/house-of-carmel-religious-gifts--books-1748365021326x105262688542451250,/business_profile/house-of-carmel-religious-gifts--books-1748365021326x105262688542451250,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/house-of-carmel-religious-gifts--books-1748365021326x105262688542451250,1748365021326x105262688542451250,profile,business_profile,"[{'brand': 'Chromium', 'version': '145'}, {'brand': 'Google Chrome', 'version': '145'}]",True,Android,,,,,,,page
profile,business_profile,,2026-03-12 12:09:13.061000+00:00,384b3313-cf6c-41fb-851f-4c15bba4ae64,ajs-next-1773317353061-5e8d7f0f-bb7d-49f1-978f-13f0901e1091,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,1752717497153x537286585580736960,profile,business_profile,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,,,,,,,page
profile,business_profile,,2026-03-12 12:09:06.083000+00:00,384b3313-cf6c-41fb-851f-4c15bba4ae64,ajs-next-1773317346083-3e384b33-13cf-4c71-bbc5-1f4c15bba4ae,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/talitha-koum-sourdough-1743549178851x847080663521240200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/talitha-koum-sourdough-1743549178851x847080663521240200,/business_profile/talitha-koum-sourdough-1743549178851x847080663521240200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/talitha-koum-sourdough-1743549178851x847080663521240200,1743549178851x847080663521240200,profile,business_profile,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,,,,,,,page
profile,business_profile,,2026-03-12 12:09:16.480000+00:00,384b3313-cf6c-41fb-851f-4c15bba4ae64,ajs-next-1773317356480-cd98a3c4-5995-41cf-803a-a26beed8acd9,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/spark-marketing--consulting-llc-1753374338412x209529915103450200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/spark-marketing--consulting-llc-1753374338412x209529915103450200,/business_profile/spark-marketing--consulting-llc-1753374338412x209529915103450200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/spark-marketing--consulting-llc-1753374338412x209529915103450200,1753374338412x209529915103450200,profile,business_profile,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,,,,,,,page
,,,2026-03-12 15:15:27.906000+00:00,9b9f3d72-bfa2-4257-b58f-f42c63ca8a5b,ajs-next-1773328527906-3d72bfa2-6257-458f-b42c-63ca8a5b3f92,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.7444.163 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,"1753374338412x209529915103450200, 1770943484557x164806709481949200, 1753982403438x535213824960417500, 1743547621069x279645472884266780, 1771436045389x658317953644361100, 1750436264420x989591292213482400, 1752717497153x537286585580736960, 1744579851707x640487742075829500, 1743549178851x847080663521240200, 1744335958024x226211831616957250",,,"[{'brand': 'Chromium', 'version': '141'}, {'brand': 'Not?A_Brand', 'version': '8'}]",False,Windows,true,,,,,,impression
,,,2026-03-12 15:15:32.697000+00:00,a704de92-ef03-4660-b8e3-27406dc7d0e0,ajs-next-1773328532697-ef037660-b8e3-4740-adc7-d0e0a729c849,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.7444.163 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,"1752717497153x537286585580736960, 1770943484557x164806709481949200, 1753982403438x535213824960417500, 1750436264420x989591292213482400, 1744335958024x226211831616957250, 1771436045389x658317953644361100, 1743549178851x847080663521240200, 1744579851707x640487742075829500, 1743547621069x279645472884266780, 1753374338412x209529915103450200",,,"[{'brand': 'Chromium', 'version': '141'}, {'brand': 'Not?A_Brand', 'version': '8'}]",False,Windows,true,,,,,,impression
