category,originalTimestamp,messageId,userId,anonymousId,name,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,category_properties,name_properties,button_name,business_id,sponsored_listing,search_text,location,event_type
terms,2026-03-14 02:15:39.359000+00:00,ajs-next-1773454539359-24ccb683-fb7a-44d1-a597-8298690d4d87,,ccb683fb-7ab4-41e5-9782-98690d4d87c2,terms_of_service,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/terms_of_service/test-business-1771517879190x523242735258870900,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/terms_of_service/test-business-1771517879190x523242735258870900,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'HeadlessChrome', 'version': '146'}]",False,Windows,/terms_of_service/test-business-1771517879190x523242735258870900,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/terms_of_service/test-business-1771517879190x523242735258870900,terms,terms_of_service,,,,,,page
,2026-03-14 04:08:35.885000+00:00,ajs-next-1773461315885-6da0499e-37f0-47f9-9e03-5a393724c968,,0d1e4c1b-83a1-4da0-899e-37f097f91e03,,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/411.0.879111500 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,search,,,,,button_click
,2026-03-14 04:09:04.685000+00:00,ajs-next-1773461344685-d82d6435-4ac9-4b4b-88ed-80d92e431982,,0d1e4c1b-83a1-4da0-899e-37f097f91e03,,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/411.0.879111500 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Marketing%2FB2B,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Marketing%2FB2B,,,,,,,,,,,,"1768426055630x579798080961828200, 1744643921578x315333816253624100, 1765399408996x262641226191956400, 1757438153395x416809556103947500, 1744397288473x909294892772270800, 1753374338412x209529915103450200, 1754081360962x724252535884739300, 1757437593796x460281345015416640, 1754084205128x675147807630683600, 1752717497153x537286585580736960, 1743547621069x279645472884266780",false,,,impression
profile,2026-03-14 04:10:13.057000+00:00,ajs-next-1773461413057-fd9dbe46-6072-4edf-b2a3-fa111bb28b44,,0d1e4c1b-83a1-4da0-899e-37f097f91e03,business_profile,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/411.0.879111500 Mobile/15E148 Safari/604.1",/business_profile/the-revenue-partner-1744643921578x315333816253624100,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/the-revenue-partner-1744643921578x315333816253624100,,,,/business_profile/the-revenue-partner-1744643921578x315333816253624100,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/the-revenue-partner-1744643921578x315333816253624100,profile,business_profile,,1744643921578x315333816253624100,,,,page
,2026-03-14 04:23:42.858000+00:00,ajs-next-1773462222858-388c66f1-15f1-471a-a828-96609f37ac58,,0d1e4c1b-83a1-4da0-899e-37f097f91e03,,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/411.0.879111500 Mobile/15E148 Safari/604.1",/business_profile/longbowman-services-llc-1765399408996x262641226191956400,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/longbowman-services-llc-1765399408996x262641226191956400,,,,,,,,,,,visit_website,1765399408996x262641226191956400,,,,button_click
,2026-03-14 04:09:04.686000+00:00,ajs-next-1773461344686-64354ac9-0b4b-48ed-80d9-2e431982994a,,0d1e4c1b-83a1-4da0-899e-37f097f91e03,,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/411.0.879111500 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Marketing%2FB2B,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Marketing%2FB2B,,,,,,,,,,,,"1768426055630x579798080961828200, 1744643921578x315333816253624100, 1765399408996x262641226191956400, 1757438153395x416809556103947500, 1744397288473x909294892772270800, 1753374338412x209529915103450200, 1754081360962x724252535884739300, 1757437593796x460281345015416640, 1754084205128x675147807630683600, 1752717497153x537286585580736960, 1743547621069x279645472884266780",false,,,impression
Marketing/B2B,2026-03-14 04:08:36.191000+00:00,ajs-next-1773461316191-499e37f0-97f9-4e03-9a39-3724c968d939,,0d1e4c1b-83a1-4da0-899e-37f097f91e03,,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/411.0.879111500 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,,,,,,search
,2026-03-14 04:08:54.008000+00:00,ajs-next-1773461334008-ebe9ed61-152b-40d6-af1f-17f3f864d82d,,0d1e4c1b-83a1-4da0-899e-37f097f91e03,,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/411.0.879111500 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Marketing%2FB2B,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Marketing%2FB2B,,,,,,,,,,,,1753374338412x209529915103450200,true,,main_list,impression
,2026-03-14 04:09:04.676000+00:00,ajs-next-1773461344676-152b70d6-af1f-47f3-b864-d82d64354ac9,,0d1e4c1b-83a1-4da0-899e-37f097f91e03,,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/411.0.879111500 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Marketing%2FB2B,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Marketing%2FB2B,,,,,,,,,,,,"1768426055630x579798080961828200, 1744643921578x315333816253624100, 1765399408996x262641226191956400, 1757438153395x416809556103947500, 1744397288473x909294892772270800, 1753374338412x209529915103450200, 1754081360962x724252535884739300, 1757437593796x460281345015416640, 1754084205128x675147807630683600, 1752717497153x537286585580736960, 1743547621069x279645472884266780",false,,,impression
,2026-03-14 04:08:52.493000+00:00,ajs-next-1773461332493-1f13ebe9-ed61-452b-b0d6-af1f17f3f864,,0d1e4c1b-83a1-4da0-899e-37f097f91e03,,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/411.0.879111500 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Marketing%2FB2B,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Marketing%2FB2B,,,,,,,,,,,,1753374338412x209529915103450200,true,,main_list,impression
