userId,messageId,originalTimestamp,anonymousId,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,business_id,sponsored_listing,name,category,path,referrer,search,title,url,category_properties,name_properties,city,search_text,location,parish,button_name,event_type
,ajs-next-1773705421419-49165d09-c7cb-4243-b0b3-744d0699fd51,2026-03-16 23:57:01.419000+00:00,fb0bc90d-4916-4d09-87cb-b243b0b3744d,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Linux,"1771436045389x658317953644361100, 1743549178851x847080663521240200, 1744335958024x226211831616957250, 1750436264420x989591292213482400, 1753374338412x209529915103450200, 1752717497153x537286585580736960, 1744579851707x640487742075829500, 1743547621069x279645472884266780, 1753982403438x535213824960417500, 1770943484557x164806709481949200",true,,,,,,,,,,,,,,,impression
,ajs-next-1773705420015-a7fb0bc9-0d49-465d-89c7-cbb243b0b374,2026-03-16 23:57:00.015000+00:00,fb0bc90d-4916-4d09-87cb-b243b0b3744d,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Linux,,,index,index,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,page
,ajs-next-1773705420976-c90d4916-5d09-47cb-b243-b0b3744d0699,2026-03-16 23:57:00.976000+00:00,fb0bc90d-4916-4d09-87cb-b243b0b3744d,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Linux,"1771436045389x658317953644361100, 1743549178851x847080663521240200, 1744335958024x226211831616957250, 1750436264420x989591292213482400, 1753374338412x209529915103450200, 1752717497153x537286585580736960, 1744579851707x640487742075829500, 1743547621069x279645472884266780, 1753982403438x535213824960417500, 1770943484557x164806709481949200",true,,,,,,,,,,,,,,,impression
,ajs-next-1773706335009-30d40e7c-c1d1-4348-b9ed-7d1ec4cce909,2026-03-17 00:12:15.009000+00:00,7564281d-ddfe-4f1e-afa4-32de34f92ba8,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,1752717497153x537286585580736960,,business_profile,profile,/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/office-rebel-freelance-secretary-1752717497153x537286585580736960,profile,business_profile,,,,,,page
,ajs-next-1773706346774-2301f06f-b361-4258-84cd-536a2d89a379,2026-03-17 00:12:26.774000+00:00,7564281d-ddfe-4f1e-afa4-32de34f92ba8,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,,,start,start,/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,start,start,,,,,,page
,ajs-next-1773706328717-d08c4570-944a-4a1f-80bc-4eebd35d7313,2026-03-17 00:12:08.717000+00:00,7564281d-ddfe-4f1e-afa4-32de34f92ba8,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/roof-technologies-llc-1744579851707x640487742075829500,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/roof-technologies-llc-1744579851707x640487742075829500,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,1744579851707x640487742075829500,,business_profile,profile,/business_profile/roof-technologies-llc-1744579851707x640487742075829500,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/roof-technologies-llc-1744579851707x640487742075829500,profile,business_profile,,,,,,page
,ajs-next-1773706325090-4a756428-1ddd-4e9f-9eaf-a432de34f92b,2026-03-17 00:12:05.090000+00:00,7564281d-ddfe-4f1e-afa4-32de34f92ba8,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/the-foote-group-keller-williams-aspire-1770943484557x164806709481949200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/the-foote-group-keller-williams-aspire-1770943484557x164806709481949200,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,1770943484557x164806709481949200,,business_profile,profile,/business_profile/the-foote-group-keller-williams-aspire-1770943484557x164806709481949200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/the-foote-group-keller-williams-aspire-1770943484557x164806709481949200,profile,business_profile,,,,,,page
,ajs-next-1773710936509-a9c5d4eb-beb3-48ec-b50f-26063d0f399a,2026-03-17 01:28:56.509000+00:00,d918f347-eb14-4eb2-a18e-6f5e1d834b86,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",/business_profile/donnelly-construction--1771021914207x198452557005754900,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/donnelly-construction--1771021914207x198452557005754900,"[{'brand': 'Not:A-Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '145'}, {'brand': 'Chromium', 'version': '145'}]",False,Windows,1771021914207x198452557005754900,,business_profile,profile,/business_profile/donnelly-construction--1771021914207x198452557005754900,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/donnelly-construction--1771021914207x198452557005754900,profile,business_profile,,,,,,page
,ajs-next-1773712960758-ece865b8-a72a-4d2f-86c5-674e277a2694,2026-03-17 02:02:40.758000+00:00,e865b8a7-2a4d-4fc6-8567-4e277a2694e3,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,,,start,start,/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,start,start,,,,,,page
,ajs-next-1773713238650-f3f6e595-1475-4683-b111-d43158c68619,2026-03-17 02:07:18.650000+00:00,d918f347-eb14-4eb2-a18e-6f5e1d834b86,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",/business_profile/alstone-exceptional-masonry-1762889659042x996969350831174300,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/alstone-exceptional-masonry-1762889659042x996969350831174300,"[{'brand': 'Not:A-Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '145'}, {'brand': 'Chromium', 'version': '145'}]",False,Windows,1762889659042x996969350831174300,,business_profile,profile,/business_profile/alstone-exceptional-masonry-1762889659042x996969350831174300,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/alstone-exceptional-masonry-1762889659042x996969350831174300,profile,business_profile,,,,,,page
