category,name,messageId,anonymousId,originalTimestamp,userId,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,category_properties,name_properties,business_id,location,sponsored_listing,button_name,search_text,city,parish,event_type
start,start,ajs-next-1774569065467-1a127870-bc06-48a2-bc7d-d59502b2acb6,127870bc-0688-42fc-bdd5-9502b2acb6a3,2026-03-26 23:51:05.467000+00:00,,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,start,start,,,,,,,,page
,,ajs-next-1774575475464-7c302f44-e58e-4618-a747-123201eaa777,79cf7095-59d6-4e00-97f2-271124473631,2026-03-27 01:37:55.464000+00:00,,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_4_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/146.0.7680.151 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,,,,,,,,,,,1744579851707x640487742075829500,main_list,true,,,,,impression
index,index,ajs-next-1774575988181-68997cee-e175-48f4-b09f-bfe29f545226,997ceee1-7598-4430-9fbf-e29f54522683,2026-03-27 01:46:28.181000+00:00,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Mobile Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '134'}, {'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '134'}]",True,Android,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,,,page
,,ajs-next-1774575472219-fe00d7f2-2711-4447-b631-bc4f6b666dc0,79cf7095-59d6-4e00-97f2-271124473631,2026-03-27 01:37:52.219000+00:00,,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_4_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/146.0.7680.151 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,,,,search,,,,button_click
search,search,ajs-next-1774575474853-767c31f5-7c30-4f44-a58e-b61867471232,79cf7095-59d6-4e00-97f2-271124473631,2026-03-27 01:37:54.853000+00:00,,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_4_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/146.0.7680.151 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,,,,/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,search,search,,,,,,,,page
,,ajs-next-1774575507267-e58eb618-6747-4232-81ea-a7775540df1d,79cf7095-59d6-4e00-97f2-271124473631,2026-03-27 01:38:27.267000+00:00,,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_4_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/146.0.7680.151 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,,,,,,,,,,,1763408145585x201322720695875870,,false,more_info_text,,,,button_click
,,ajs-next-1774575944944-84f7bf54-a136-4745-afc6-59744f31e9cd,08472863-302e-4eba-8bda-12134e790ade,2026-03-27 01:45:44.944000+00:00,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '146'}]",True,Android,,,,,,,,"1752717497153x537286585580736960, 1743549178851x847080663521240200, 1744579851707x640487742075829500, 1771436045389x658317953644361100, 1743547621069x279645472884266780, 1753982403438x535213824960417500, 1750436264420x989591292213482400, 1753374338412x209529915103450200, 1744335958024x226211831616957250, 1770943484557x164806709481949200",,true,,,,,impression
index,index,ajs-next-1774575467382-5779cf70-9559-46fe-80d7-f22711244736,79cf7095-59d6-4e00-97f2-271124473631,2026-03-27 01:37:47.382000+00:00,,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_4_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/146.0.7680.151 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,,,page
profile,business_profile,ajs-next-1774576462732-72809b27-086c-4d2d-adf6-b6db10ddd778,a0c3a1e8-29dd-4651-9156-1a5cca4f969d,2026-03-27 01:54:22.732000+00:00,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/business_profile/purple-sage-bodywork-1764893879099x465248075524681500,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/purple-sage-bodywork-1764893879099x465248075524681500,,,,/business_profile/purple-sage-bodywork-1764893879099x465248075524681500,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/purple-sage-bodywork-1764893879099x465248075524681500,profile,business_profile,1764893879099x465248075524681500,,,,,,,page
Home Services,,ajs-next-1774575472523-d7f22711-2447-4631-bc4f-6b666dc037f2,79cf7095-59d6-4e00-97f2-271124473631,2026-03-27 01:37:52.523000+00:00,,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_4_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/146.0.7680.151 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,,,,,,,,search
index,index,ajs-next-1774575944936-7f1784f7-bf54-4136-a745-6fc659744f31,08472863-302e-4eba-8bda-12134e790ade,2026-03-27 01:45:44.936000+00:00,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '146'}]",True,Android,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,,,page
,,ajs-next-1774575467384-709559d6-fe00-47f2-a711-24473631bc4f,79cf7095-59d6-4e00-97f2-271124473631,2026-03-27 01:37:47.384000+00:00,,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_4_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/146.0.7680.151 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,"1753982403438x535213824960417500, 1750436264420x989591292213482400, 1752717497153x537286585580736960, 1744579851707x640487742075829500, 1771436045389x658317953644361100, 1743547621069x279645472884266780, 1753374338412x209529915103450200, 1744335958024x226211831616957250, 1770943484557x164806709481949200, 1743549178851x847080663521240200",,true,,,,,impression
,,ajs-next-1774576396684-e5dd8646-82fa-4ede-978d-98f33f70a370,a0c3a1e8-29dd-4651-9156-1a5cca4f969d,2026-03-27 01:53:16.684000+00:00,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/business_profile/talitha-koum-sourdough-1743549178851x847080663521240200,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/talitha-koum-sourdough-1743549178851x847080663521240200,,,,,,,,,,,1743549178851x847080663521240200,,,visit_website,,,,button_click
,,ajs-next-1774576429370-0f62dfe9-50d3-411d-8b6d-6fbdda3d295c,a0c3a1e8-29dd-4651-9156-1a5cca4f969d,2026-03-27 01:53:49.370000+00:00,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,,,,,,,,,,1752717497153x537286585580736960,main_list,true,,,,,impression
,,ajs-next-1774576471210-9b27086c-cd2d-4df6-b6db-10ddd77833d1,a0c3a1e8-29dd-4651-9156-1a5cca4f969d,2026-03-27 01:54:31.210000+00:00,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/business_profile/purple-sage-bodywork-1764893879099x465248075524681500,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/purple-sage-bodywork-1764893879099x465248075524681500,,,,,,,,,,,1764893879099x465248075524681500,,,visit_website,,,,button_click
,,ajs-next-1774577179101-507e7fdc-d399-4712-a32f-8c40ea342562,29e2e757-a832-415f-8b77-0227bc89102c,2026-03-27 02:06:19.101000+00:00,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15",/search,https://coloradocatholicbusinessdirectory.com/,?query=wedding%20planner&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=wedding%20planner&category=,,,,,,,,,,,,sidebar,true,,,,,impression
,,ajs-next-1774577179406-7fdcd399-7712-432f-8c40-ea3425620f76,29e2e757-a832-415f-8b77-0227bc89102c,2026-03-27 02:06:19.406000+00:00,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15",/search,https://coloradocatholicbusinessdirectory.com/,?query=wedding%20planner&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=wedding%20planner&category=,,,,,,,,,,,1770943484557x164806709481949200,main_list,true,,,,,impression
,,ajs-next-1774575475774-2f44e58e-b618-4747-9232-01eaa7775540,79cf7095-59d6-4e00-97f2-271124473631,2026-03-27 01:37:55.774000+00:00,,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_4_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/146.0.7680.151 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,,,,,,,,,,,"1754505203290x671062062407191900, 1768581853937x610498789092930300, 1747864432460x772931238395911000, 1755621956288x571897163769246900, 1754927931120x470668069008822300, 1770943484557x164806709481949200, 1747216018889x770977089491677400, 1751319669665x621437589169731200, 1755533063776x956164571796881400, 1746855895334x711816173120128000, 1744398484109x785674167096991400, 1759153763139x433792388290277000, 1750783674403x491887953737125700, 1759930025997x126109694575208930, 1744579851707x640487742075829500, 1745273541628x945470626229355500, 1763148950401x545361905340972600, 1763255155587x707008769292458900, 1753911193017x504194995643152640, 1747398900475x598159844147748100, 1744748222708x779656090283929300, 1744751205492x235134337285239230, 1744335958024x226211831616957250, 1763408145585x201322720695875870, 1749742920378x965836759111504900, 1759423986281x805514757919405700",,false,,,,,impression
profile,business_profile,ajs-next-1774575508474-ada264b3-8d93-4518-917a-c03e883aad56,79cf7095-59d6-4e00-97f2-271124473631,2026-03-27 01:38:28.474000+00:00,,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_4_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/146.0.7680.151 Mobile/15E148 Safari/604.1",/business_profile/treeline-roofing--construction-1763408145585x201322720695875870,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/treeline-roofing--construction-1763408145585x201322720695875870,,,,/business_profile/treeline-roofing--construction-1763408145585x201322720695875870,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/treeline-roofing--construction-1763408145585x201322720695875870,profile,business_profile,1763408145585x201322720695875870,,,,,,,page
index,index,ajs-next-1774577207095-6fb94d24-3e5e-4ff6-85d0-18721942a570,29e2e757-a832-415f-8b77-0227bc89102c,2026-03-27 02:06:47.095000+00:00,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,,,page
,,ajs-next-1774575945255-bf54a136-a745-4fc6-9974-4f31e9cdb047,08472863-302e-4eba-8bda-12134e790ade,2026-03-27 01:45:45.255000+00:00,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '146'}]",True,Android,,,,,,,,"1752717497153x537286585580736960, 1743549178851x847080663521240200, 1744579851707x640487742075829500, 1771436045389x658317953644361100, 1743547621069x279645472884266780, 1753982403438x535213824960417500, 1750436264420x989591292213482400, 1753374338412x209529915103450200, 1744335958024x226211831616957250, 1770943484557x164806709481949200",,true,,,,,impression
index,index,ajs-next-1774576526385-97ee5465-8ec2-42b9-a4c8-e3b711951774,a0c3a1e8-29dd-4651-9156-1a5cca4f969d,2026-03-27 01:55:26.385000+00:00,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,,,page
,,ajs-next-1774575467688-59d6fe00-d7f2-4711-a447-3631bc4f6b66,79cf7095-59d6-4e00-97f2-271124473631,2026-03-27 01:37:47.688000+00:00,,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_4_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/146.0.7680.151 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,"1753982403438x535213824960417500, 1750436264420x989591292213482400, 1752717497153x537286585580736960, 1744579851707x640487742075829500, 1771436045389x658317953644361100, 1743547621069x279645472884266780, 1753374338412x209529915103450200, 1744335958024x226211831616957250, 1770943484557x164806709481949200, 1743549178851x847080663521240200",,true,,,,,impression
search,search,ajs-next-1774576428689-9a6ce9e4-0f62-4fe9-90d3-211d8b6d6fbd,a0c3a1e8-29dd-4651-9156-1a5cca4f969d,2026-03-27 01:53:48.689000+00:00,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,,,/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,search,search,,,,,,,,page
,,ajs-next-1774575475156-31f57c30-2f44-458e-b618-6747123201ea,79cf7095-59d6-4e00-97f2-271124473631,2026-03-27 01:37:55.156000+00:00,,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_4_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/146.0.7680.151 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,,,,,,,,,,,,sidebar,true,,,,,impression
,,ajs-next-1774576393061-86519156-1a5c-4a4f-969d-15e120ecd6be,a0c3a1e8-29dd-4651-9156-1a5cca4f969d,2026-03-27 01:53:13.061000+00:00,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,1743549178851x847080663521240200,,true,more_info,,,,button_click
,,ajs-next-1774576461756-50d3211d-8b6d-4fbd-9a3d-295cfc75023f,a0c3a1e8-29dd-4651-9156-1a5cca4f969d,2026-03-27 01:54:21.756000+00:00,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,,,,,,,,,,1764893879099x465248075524681500,,false,profile_arrow,,,,button_click
,,ajs-next-1774576429675-dfe950d3-211d-4b6d-afbd-da3d295cfc75,a0c3a1e8-29dd-4651-9156-1a5cca4f969d,2026-03-27 01:53:49.675000+00:00,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,,,,,,,,,,"1771433486472x495156137805681660, 1747216018889x770977089491677400, 1746631267951x741803061642879500, 1755271286521x378031808974615550, 1754084205128x675147807630683600, 1759423986281x805514757919405700, 1744398484109x785674167096991400, 1771538218470x758525499484679000, 1751224250248x539537516841198200, 1744260813114x505427712482621440, 1750423781412x480534435350699700, 1746548006831x128230088489826860, 1757720364741x595714121363069200, 1759153763139x433792388290277000, 1762271200864x775090106640580500, 1758147388607x898014240790697700, 1744134674881x127285411168640110, 1766070455303x639821695383855700, 1753465897836x101289632151690960, 1744760380914x558772773612561600, 1764893879099x465248075524681500, 1768427614253x929508274229176300, 1770152894907x464897480736850900, 1755621956288x571897163769246900, 1743547621069x279645472884266780, 1747864432460x772931238395911000, 1763305551668x997299018011994600, 1758120880051x675194275556497400, 1755533063776x956164571796881400, 1751749348389x952656707958261400, 1771545376609x752763268373144000, 1753985929691x853149258569598100, 1748365021326x105262688542451250, 1757369121056x350487849823425600, 1744643921578x315333816253624100, 1744397288473x909294892772270800, 1765001972595x338020444395840100, 1744157592334x292550965261606100, 1747398900475x598159844147748100, 1768426055630x579798080961828200, 1744335958024x226211831616957250, 1757355028996x505189727810192200, 1769635123521x385801932800474700, 1768581853937x610498789092930300, 1771003581692x955050931630977700, 1752182630575x854371423894944000, 1760458225389x690604949380638100, 1751744301621x758526182685981300, 1752717497153x537286585580736960, 1744751205492x235134337285239230, 1747183179554x540122160625888100, 1750784029587x963255839088365200, 1744737250347x219277345743008400, 1759930025997x126109694575208930, 1764963280733x431041418968701760, 1753909381745x872991521395046100, 1747221865162x703532834449508000, 1754505203290x671062062407191900, 1766011883106x917993758751800300, 1746827109704x963221719337950200, 1749057953945x756346430245684600, 1774573166178x561429420668618400, 1754624056001x759184470890143000, 1747185390251x665604546429507900, 1768844277981x664142917381285000, 1749580724532x760028975589297300, 1752687366861x422755081931784260, 1745533127765x291393362647413700, 1744319857648x144922844539837200, 1761919898226x928695665795906700, 1751402056748x637551618886434600, 1754941249648x796792188496967000, 1744579851707x640487742075829500, 1746635677548x343522492232585660, 1753911193017x504194995643152640, 1750784475796x702583457937545900, 1765991015203x350068785849064760, 1772482882558x843076024552954900, 1764711530894x480989914892320700, 1760118921086x941497076227920600, 1763672237927x725969385673238800, 1748389292320x918627677903932400, 1745597587022x519433479989605000, 1746765568691x979794717919274100, 1753982403438x535213824960417500, 1751319669665x621437589169731200, 1744282156200x727555159743162000, 1749742920378x965836759111504900, 1763148950401x545361905340972600, 1769719058268x843927058977011000, 1771021914207x198452557005754900, 1758312173588x895819358343598700, 1746843461447x686795565273950000, 1750783674403x491887953737125700, 1761762406893x958878656538368500, 1750783679107x801419812763124500, 1750785338983x949958887494882000, 1754949567759x639105313824555300, 1763408145585x201322720695875870, 1747848709032x210920410073364830, 1745273541628x945470626229355500, 1747415704843x665338483592092500, 1763509156539x144450665564595840, 1747420152884x437771544876149700, 1744748222708x779656090283929300, 1747827548541x313848517899538500, 1754081360962x724252535884739300, 1746467711533x453074785848415400, 1747594874125x270237571814453630, 1765399408996x262641226191956400, 1748581534531x956271769254002200, 1761044854709x307607562836745150, 1744391553368x301043576290850300, 1753135741395x558904608479141570, 1772982809798x739419868972941400, 1761762460002x434978052003146300, 1770943484557x164806709481949200, 1768238584049x399775147114029200, 1744175271939x575064790204550460, 1762889659042x996969350831174300, 1749068120323x412920063824988600, 1771436045389x658317953644361100, 1771517879190x523242735258870900, 1750436264420x989591292213482400, 1763569204895x378265538177280400, 1757437593796x460281345015416640, 1763255155587x707008769292458900, 1744743906400x631087870982087000, 1745528732739x896561533370513300, 1744907031541x119079844893356540, 1747184079669x994211808429350800, 1768584016102x834619843946063900, 1747165674437x491901038958021200, 1743549178851x847080663521240200, 1749173974503x736079030141835600, 1747170561218x640297169073643000, 1744740154739x566945822952470660, 1754927931120x470668069008822300, 1746938798847x931997689495082400, 1761930377989x951815782791809400, 1762364811793x796217509980630800, 1747163465846x476237095610093000, 1746855895334x711816173120128000, 1753374338412x209529915103450200, 1762957766158x632118084948257900, 1764342295066x618134664283571500, 1757438153395x416809556103947500, 1744736810207x919925185055488400, 1758568877707x715638242996164100, 1751425811600x127124815802215140, 1764781838221x716772635359430500, 1770755356265x111382421474427680",,false,,,,,impression
profile,business_profile,ajs-next-1774576394135-3c88e5dd-8646-42fa-9ede-178d98f33f70,a0c3a1e8-29dd-4651-9156-1a5cca4f969d,2026-03-27 01:53:14.135000+00:00,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/business_profile/talitha-koum-sourdough-1743549178851x847080663521240200,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/talitha-koum-sourdough-1743549178851x847080663521240200,,,,/business_profile/talitha-koum-sourdough-1743549178851x847080663521240200,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/talitha-koum-sourdough-1743549178851x847080663521240200,profile,business_profile,1743549178851x847080663521240200,,,,,,,page
index,index,ajs-next-1774576412306-f361cfc7-e5c8-47aa-88ca-98907bb85d08,a0c3a1e8-29dd-4651-9156-1a5cca4f969d,2026-03-27 01:53:32.306000+00:00,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,,,page
,,ajs-next-1774576378375-29dd8651-9156-4a5c-8a4f-969d15e120ec,a0c3a1e8-29dd-4651-9156-1a5cca4f969d,2026-03-27 01:52:58.375000+00:00,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,"1744579851707x640487742075829500, 1750436264420x989591292213482400, 1743549178851x847080663521240200, 1743547621069x279645472884266780, 1771436045389x658317953644361100, 1753982403438x535213824960417500, 1744335958024x226211831616957250, 1753374338412x209529915103450200, 1770943484557x164806709481949200, 1752717497153x537286585580736960",,true,,,,,impression
,,ajs-next-1774576412837-cfc7e5c8-b7aa-48ca-9890-7bb85d0822b9,a0c3a1e8-29dd-4651-9156-1a5cca4f969d,2026-03-27 01:53:32.837000+00:00,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,"1771436045389x658317953644361100, 1743549178851x847080663521240200, 1744335958024x226211831616957250, 1743547621069x279645472884266780, 1750436264420x989591292213482400, 1753374338412x209529915103450200, 1744579851707x640487742075829500, 1752717497153x537286585580736960, 1770943484557x164806709481949200, 1753982403438x535213824960417500",,true,,,,,impression
,,ajs-next-1774576526879-54658ec2-32b9-44c8-a3b7-1195177499d6,a0c3a1e8-29dd-4651-9156-1a5cca4f969d,2026-03-27 01:55:26.879000+00:00,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,"1752717497153x537286585580736960, 1743549178851x847080663521240200, 1753374338412x209529915103450200, 1744579851707x640487742075829500, 1770943484557x164806709481949200, 1743547621069x279645472884266780, 1753982403438x535213824960417500, 1750436264420x989591292213482400, 1771436045389x658317953644361100, 1744335958024x226211831616957250",,true,,,,,impression
