category,messageId,userId,originalTimestamp,anonymousId,name,userAgent,page.path,page.referrer,page.search,page.title,page.url,path,referrer,search,title,url,business_id,category_properties,name_properties,sponsored_listing,userAgentData.brands,userAgentData.mobile,userAgentData.platform,button_name,location,search_text,email,traits,city,parish,event_type
profile,ajs-next-1774832472604-75963484-34f9-454e-b22c-fc445fb95a98,,2026-03-30 01:01:12.604000+00:00,efa323c9-a6e0-4571-8e9c-5a19d643a8de,business_profile,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [FBAN/FBIOS;FBAV/554.0.0.40.109;FBBV/917678550;FBDV/iPhone15,4;FBMD/iPhone;FBSN/iOS;FBSV/26.3.1;FBSS/3;FBCR/;FBID/phone;FBLC/en_US;FBOP/80]",/business_profile/spark-marketing--consulting-llc-1753374338412x209529915103450200,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/spark-marketing--consulting-llc-1753374338412x209529915103450200,/business_profile/spark-marketing--consulting-llc-1753374338412x209529915103450200,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/spark-marketing--consulting-llc-1753374338412x209529915103450200,1753374338412x209529915103450200,profile,business_profile,,,,,,,,,,,,page
,ajs-next-1774832456867-a6e01571-ce9c-4a19-9643-a8de791ee956,,2026-03-30 01:00:56.867000+00:00,efa323c9-a6e0-4571-8e9c-5a19d643a8de,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [FBAN/FBIOS;FBAV/554.0.0.40.109;FBBV/917678550;FBDV/iPhone15,4;FBMD/iPhone;FBSN/iOS;FBSV/26.3.1;FBSS/3;FBCR/;FBID/phone;FBLC/en_US;FBOP/80]",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,"1753374338412x209529915103450200, 1744579851707x640487742075829500, 1750436264420x989591292213482400, 1753982403438x535213824960417500, 1771436045389x658317953644361100, 1770943484557x164806709481949200, 1744335958024x226211831616957250, 1752717497153x537286585580736960, 1743547621069x279645472884266780, 1743549178851x847080663521240200",,,true,,,,,,,,,,,impression
index,ajs-next-1774832456563-74efa323-c9a6-4015-b1ce-9c5a19d643a8,,2026-03-30 01:00:56.563000+00:00,efa323c9-a6e0-4571-8e9c-5a19d643a8de,index,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [FBAN/FBIOS;FBAV/554.0.0.40.109;FBBV/917678550;FBDV/iPhone15,4;FBMD/iPhone;FBSN/iOS;FBSV/26.3.1;FBSS/3;FBCR/;FBID/phone;FBLC/en_US;FBOP/80]",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,index,index,,,,,,,,,,,,page
,ajs-next-1774832456600-23c9a6e0-1571-4e9c-9a19-d643a8de791e,,2026-03-30 01:00:56.600000+00:00,efa323c9-a6e0-4571-8e9c-5a19d643a8de,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [FBAN/FBIOS;FBAV/554.0.0.40.109;FBBV/917678550;FBDV/iPhone15,4;FBMD/iPhone;FBSN/iOS;FBSV/26.3.1;FBSS/3;FBCR/;FBID/phone;FBLC/en_US;FBOP/80]",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,"1753374338412x209529915103450200, 1744579851707x640487742075829500, 1750436264420x989591292213482400, 1753982403438x535213824960417500, 1771436045389x658317953644361100, 1770943484557x164806709481949200, 1744335958024x226211831616957250, 1752717497153x537286585580736960, 1743547621069x279645472884266780, 1743549178851x847080663521240200",,,true,,,,,,,,,,,impression
,ajs-next-1774842805966-d43dddd3-53af-489a-aa03-022ee0ead38e,,2026-03-30 03:53:25.966000+00:00,cf353a97-4e26-4a5f-854d-d52bad7c9b6c,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,"1771436045389x658317953644361100, 1752717497153x537286585580736960, 1743547621069x279645472884266780, 1743549178851x847080663521240200, 1753982403438x535213824960417500, 1744335958024x226211831616957250, 1750436264420x989591292213482400, 1770943484557x164806709481949200, 1753374338412x209529915103450200, 1744579851707x640487742075829500",,,true,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '146'}]",True,Android,,,,,,,,impression
,ajs-next-1774842718069-0a5f054d-d52b-4d7c-9b6c-cfa52223aa01,,2026-03-30 03:51:58.069000+00:00,cf353a97-4e26-4a5f-854d-d52bad7c9b6c,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '146'}]",True,Android,search,,,,,,,button_click
how_it_works,ajs-next-1774842838391-f0213128-c298-40fb-823e-c4203f62c19b,,2026-03-30 03:53:58.391000+00:00,cf353a97-4e26-4a5f-854d-d52bad7c9b6c,how_it_works,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",/how_it_works/1774822359753x195426309118684100,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1774822359753x195426309118684100,/how_it_works/1774822359753x195426309118684100,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1774822359753x195426309118684100,,how_it_works,how_it_works,,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '146'}]",True,Android,,,,,,,,page
index,ajs-next-1774842878068-f53d0d27-23e5-424b-ab0d-91c38addfd40,,2026-03-30 03:54:38.068000+00:00,cf353a97-4e26-4a5f-854d-d52bad7c9b6c,index,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,index,index,,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '146'}]",True,Android,,,,,,,,page
,ajs-next-1774842722612-a4f2a878-2821-43f0-b912-f40bd1cd7f34,,2026-03-30 03:52:02.612000+00:00,cf353a97-4e26-4a5f-854d-d52bad7c9b6c,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=Colorado%20Springs%20&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Colorado%20Springs%20&category=,,,,,,"1764963280733x431041418968701760, 1763255155587x707008769292458900, 1749057953945x756346430245684600, 1770943484557x164806709481949200, 1762364811793x796217509980630800, 1744397288473x909294892772270800, 1746765568691x979794717919274100, 1766011883106x917993758751800300, 1770152894907x464897480736850900, 1774573166178x561429420668618400",,,false,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '146'}]",True,Android,,,,,,,,impression
,ajs-next-1774842721979-fcebbdaf-a4f2-4878-a821-f3f0f912f40b,,2026-03-30 03:52:01.979000+00:00,cf353a97-4e26-4a5f-854d-d52bad7c9b6c,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=Colorado%20Springs%20&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Colorado%20Springs%20&category=,,,,,,,,,true,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '146'}]",True,Android,,sidebar,,,,,,impression
