messageId,name,userId,category,originalTimestamp,anonymousId,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,category_properties,name_properties,business_id,location,sponsored_listing,button_name,search_text,event_type
ajs-next-1775865503204-5068f9e3-95ef-430b-b4d4-f6b00784522b,search,,search,2026-04-10 23:58:23.203000+00:00,68f9e395-ef73-4bb4-94f6-b00784522b2c,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Mobile Safari/537.36 (compatible; Google-Read-Aloud; +https://support.google.com/webmasters/answer/1061943)",/search,,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,[],False,,/search,,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,search,search,,,,,,page
ajs-next-1775865503442-ef730bb4-d4f6-4007-8452-2b2cacb326f7,,,,2026-04-10 23:58:23.441000+00:00,68f9e395-ef73-4bb4-94f6-b00784522b2c,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Mobile Safari/537.36 (compatible; Google-Read-Aloud; +https://support.google.com/webmasters/answer/1061943)",/search,,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,[],False,,,,,,,,,1753374338412x209529915103450200,main_list,true,,,impression
ajs-next-1775865547206-eb26db44-3929-4d5f-ba57-ef8194599841,,,,2026-04-10 23:59:07.206000+00:00,0d1e4c1b-83a1-4da0-899e-37f097f91e03,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/414.0.890628820 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,,,,,,,,,,1753982403438x535213824960417500,main_list,true,,,impression
ajs-next-1775865576399-39299d5f-fa57-4f81-9459-984184baf962,,,,2026-04-10 23:59:36.399000+00:00,0d1e4c1b-83a1-4da0-899e-37f097f91e03,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/414.0.890628820 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,,,,,,,,,,1751744301621x758526182685981300,,false,more_info_text,,button_click
ajs-next-1775865480126-a08eba5e-998b-4fbd-8a09-42c0c85cde08,index,,index,2026-04-10 23:58:00.126000+00:00,0d1e4c1b-83a1-4da0-899e-37f097f91e03,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/414.0.890628820 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,page
ajs-next-1775865540405-d5e7a42b-dd15-4147-9a01-7f17dbddbc94,,,,2026-04-10 23:59:00.405000+00:00,0d1e4c1b-83a1-4da0-899e-37f097f91e03,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/414.0.890628820 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,,,,,,,,,,,sidebar,true,,,impression
ajs-next-1775865581591-fcfc1d35-c8bf-46c1-8c54-1b5aaaaf07ba,business_profile,,profile,2026-04-10 23:59:41.590000+00:00,fc1d35c8-bfa6-41cc-941b-5aaaaf07ba18,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Mobile Safari/537.36 (compatible; Google-Read-Aloud; +https://support.google.com/webmasters/answer/1061943)",/business_profile/laymans-flame-1751744301621x758526182685981300,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/laymans-flame-1751744301621x758526182685981300,[],False,,/business_profile/laymans-flame-1751744301621x758526182685981300,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/laymans-flame-1751744301621x758526182685981300,profile,business_profile,1751744301621x758526182685981300,,,,,page
ajs-next-1775865536200-ecb47d4e-38a4-4de8-9cf2-a7a0bd7a20cf,business_profile,,profile,2026-04-10 23:58:56.200000+00:00,0d1e4c1b-83a1-4da0-899e-37f097f91e03,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/414.0.890628820 Mobile/15E148 Safari/604.1",/business_profile/multiwave-rf-llc-1763509156539x144450665564595840,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/multiwave-rf-llc-1763509156539x144450665564595840,,,,/business_profile/multiwave-rf-llc-1763509156539x144450665564595840,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/multiwave-rf-llc-1763509156539x144450665564595840,profile,business_profile,1763509156539x144450665564595840,,,,,page
ajs-next-1775865503386-e395ef73-0bb4-44f6-b007-84522b2cacb3,,,,2026-04-10 23:58:23.385000+00:00,68f9e395-ef73-4bb4-94f6-b00784522b2c,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Mobile Safari/537.36 (compatible; Google-Read-Aloud; +https://support.google.com/webmasters/answer/1061943)",/search,,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,[],False,,,,,,,,,,sidebar,true,,,impression
ajs-next-1775865541019-dd15b147-5a01-4f17-9bdd-bc940232f64a,,,,2026-04-10 23:59:01.019000+00:00,0d1e4c1b-83a1-4da0-899e-37f097f91e03,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/414.0.890628820 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,,,,,,,,,,"1747864432460x772931238395911000, 1744743906400x631087870982087000, 1754949567759x639105313824555300, 1771021914207x198452557005754900, 1744157592334x292550965261606100, 1752717497153x537286585580736960, 1744319857648x144922844539837200, 1751749348389x952656707958261400, 1752182630575x854371423894944000, 1768581853937x610498789092930300, 1748389292320x918627677903932400, 1753374338412x209529915103450200, 1768427614253x929508274229176300, 1764963280733x431041418968701760, 1749580724532x760028975589297300, 1750784475796x702583457937545900, 1747221865162x703532834449508000, 1754927931120x470668069008822300, 1758147388607x898014240790697700, 1775058462201x523059865418210800, 1755621956288x571897163769246900, 1747848709032x210920410073364830, 1746635677548x343522492232585660, 1762364811793x796217509980630800, 1747163465846x476237095610093000, 1747216018889x770977089491677400, 1747185390251x665604546429507900, 1766011883106x917993758751800300, 1763569204895x378265538177280400, 1761762406893x958878656538368500, 1747183179554x540122160625888100, 1761044854709x307607562836745150, 1747420152884x437771544876149700, 1746843461447x686795565273950000, 1771538218470x758525499484679000, 1765001972595x338020444395840100, 1747170561218x640297169073643000, 1746938798847x931997689495082400, 1769635123521x385801932800474700, 1764711530894x480989914892320700, 1747594874125x270237571814453630, 1750436264420x989591292213482400, 1745528732739x896561533370513300, 1744751205492x235134337285239230, 1754941249648x796792188496967000, 1762889659042x996969350831174300, 1757369121056x350487849823425600, 1744907031541x119079844893356540, 1768584016102x834619843946063900, 1744175271939x575064790204550460, 1751744301621x758526182685981300, 1757438153395x416809556103947500, 1757437593796x460281345015416640, 1759930025997x126109694575208930, 1747398900475x598159844147748100, 1758120880051x675194275556497400, 1765399408996x262641226191956400, 1746855895334x711816173120128000, 1763148950401x545361905340972600, 1758312173588x895819358343598700, 1744282156200x727555159743162000, 1744260813114x505427712482621440, 1755271286521x378031808974615550, 1749173974503x736079030141835600, 1761762460002x434978052003146300, 1760118921086x941497076227920600, 1753465897836x101289632151690960, 1763305551668x997299018011994600, 1748365021326x105262688542451250, 1753911193017x504194995643152640, 1749068120323x412920063824988600, 1759153763139x433792388290277000, 1772982809798x739419868972941400, 1771003581692x955050931630977700, 1747827548541x313848517899538500, 1746631267951x741803061642879500, 1747184079669x994211808429350800, 1770755356265x111382421474427680, 1765991015203x350068785849064760, 1751425811600x127124815802215140, 1769719058268x843927058977011000, 1753982403438x535213824960417500, 1763255155587x707008769292458900, 1770943484557x164806709481949200, 1744737250347x219277345743008400, 1744398484109x785674167096991400, 1746467711533x453074785848415400, 1744748222708x779656090283929300, 1751402056748x637551618886434600, 1768238584049x399775147114029200, 1745273541628x945470626229355500, 1771517879190x523242735258870900, 1764781838221x716772635359430500, 1743547621069x279645472884266780, 1761919898226x928695665795906700, 1753909381745x872991521395046100, 1747415704843x665338483592092500, 1763509156539x144450665564595840, 1761930377989x951815782791809400, 1762957766158x632118084948257900, 1762271200864x775090106640580500, 1749742920378x965836759111504900, 1754505203290x671062062407191900, 1748581534531x956271769254002200, 1750423781412x480534435350699700, 1743549178851x847080663521240200, 1764342295066x618134664283571500, 1750783679107x801419812763124500, 1754624056001x759184470890143000, 1753135741395x558904608479141570, 1755533063776x956164571796881400, 1758568877707x715638242996164100, 1772482882558x843076024552954900, 1757355028996x505189727810192200, 1744579851707x640487742075829500, 1746827109704x963221719337950200, 1744760380914x558772773612561600, 1775244057768x699511577684581800, 1744736810207x919925185055488400, 1745533127765x291393362647413700, 1753985929691x853149258569598100, 1774573166178x561429420668618400, 1750783674403x491887953737125700, 1751319669665x621437589169731200, 1749057953945x756346430245684600, 1745597587022x519433479989605000, 1750784029587x963255839088365200, 1757720364741x595714121363069200, 1744335958024x226211831616957250, 1746765568691x979794717919274100, 1766070455303x639821695383855700, 1744391553368x301043576290850300, 1744134674881x127285411168640110, 1771545376609x752763268373144000, 1760458225389x690604949380638100, 1750785338983x949958887494882000, 1771433486472x495156137805681660, 1768844277981x664142917381285000, 1746548006831x128230088489826860, 1751224250248x539537516841198200, 1754084205128x675147807630683600, 1770152894907x464897480736850900, 1754081360962x724252535884739300, 1771436045389x658317953644361100, 1752687366861x422755081931784260, 1744397288473x909294892772270800, 1764893879099x465248075524681500, 1744643921578x315333816253624100, 1763408145585x201322720695875870, 1759423986281x805514757919405700, 1747165674437x491901038958021200, 1768426055630x579798080961828200, 1763672237927x725969385673238800, 1744740154739x566945822952470660",,false,,,impression
