anonymousId,userId,messageId,originalTimestamp,userAgent,page.path,page.referrer,page.search,page.title,page.url,business_id,sponsored_listing,search_text,category,name,path,referrer,search,title,url,category_properties,name_properties,button_name,location,userAgentData.brands,userAgentData.mobile,userAgentData.platform,city,parish,event_type
a669d771-67b7-4b9b-b5c1-e04700f61ef1,,ajs-next-1775958980892-6e7c6d21-e25c-4c49-a7ee-fe7b6ad892a0,2026-04-12 01:56:20.892000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"1744335958024x226211831616957250, 1753374338412x209529915103450200, 1753982403438x535213824960417500, 1744579851707x640487742075829500, 1771436045389x658317953644361100, 1752717497153x537286585580736960, 1770943484557x164806709481949200, 1750436264420x989591292213482400",true,,,,,,,,,,,,,,,,,,impression
a669d771-67b7-4b9b-b5c1-e04700f61ef1,,ajs-next-1775958989139-0c49e7ee-fe7b-4ad8-92a0-0789ab62af6c,2026-04-12 01:56:29.139000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,Home inspection,,,,,,,,,,,,,,,,,search
a669d771-67b7-4b9b-b5c1-e04700f61ef1,,ajs-next-1775959002080-901f9705-e61b-4a20-9415-1dd5024045ca,2026-04-12 01:56:42.080000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",/business_profile/v%C3%A9deni-property-inspections-llc-1775058462201x523059865418210800,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/v%C3%A9deni-property-inspections-llc-1775058462201x523059865418210800,1775058462201x523059865418210800,,,profile,business_profile,/business_profile/v%C3%A9deni-property-inspections-llc-1775058462201x523059865418210800,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/v%C3%A9deni-property-inspections-llc-1775058462201x523059865418210800,profile,business_profile,,,,,,,,page
a669d771-67b7-4b9b-b5c1-e04700f61ef1,,ajs-next-1775958980886-87a36e7c-6d21-425c-8c49-e7eefe7b6ad8,2026-04-12 01:56:20.886000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,index,index,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,,,page
a669d771-67b7-4b9b-b5c1-e04700f61ef1,,ajs-next-1775958981387-6d21e25c-0c49-47ee-be7b-6ad892a00789,2026-04-12 01:56:21.387000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"1744335958024x226211831616957250, 1753374338412x209529915103450200, 1753982403438x535213824960417500, 1744579851707x640487742075829500, 1771436045389x658317953644361100, 1752717497153x537286585580736960, 1770943484557x164806709481949200, 1750436264420x989591292213482400",true,,,,,,,,,,,,,,,,,,impression
a669d771-67b7-4b9b-b5c1-e04700f61ef1,,ajs-next-1775958988834-e25c0c49-e7ee-4e7b-aad8-92a00789ab62,2026-04-12 01:56:28.834000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,,,search,,,,,,,button_click
a669d771-67b7-4b9b-b5c1-e04700f61ef1,,ajs-next-1775959001082-04487476-2da0-4a8f-b10e-4136f0d7dd5c,2026-04-12 01:56:41.082000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Home%20inspection&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Home%20inspection&category=,1775058462201x523059865418210800,false,,,,,,,,,,,more_info_text,,,,,,,button_click
a669d771-67b7-4b9b-b5c1-e04700f61ef1,,ajs-next-1775958991022-31659df7-0dcb-4567-8448-74762da0ca8f,2026-04-12 01:56:31.022000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Home%20inspection&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Home%20inspection&category=,,,,search,search,/search,https://coloradocatholicbusinessdirectory.com/,?query=Home%20inspection&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Home%20inspection&category=,search,search,,,,,,,,page
a669d771-67b7-4b9b-b5c1-e04700f61ef1,,ajs-next-1775958991324-9df70dcb-6567-4448-b476-2da0ca8ff10e,2026-04-12 01:56:31.324000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Home%20inspection&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Home%20inspection&category=,,true,,,,,,,,,,,,sidebar,,,,,,impression
a669d771-67b7-4b9b-b5c1-e04700f61ef1,,ajs-next-1775958991626-0dcb6567-0448-4476-ada0-ca8ff10e4136,2026-04-12 01:56:31.626000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Home%20inspection&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Home%20inspection&category=,1771436045389x658317953644361100,true,,,,,,,,,,,,main_list,,,,,,impression
a669d771-67b7-4b9b-b5c1-e04700f61ef1,,ajs-next-1775958991930-65670448-7476-4da0-8a8f-f10e4136f0d7,2026-04-12 01:56:31.930000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Home%20inspection&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Home%20inspection&category=,"1775058462201x523059865418210800, 1759153763139x433792388290277000",false,,,,,,,,,,,,,,,,,,impression
a669d771-67b7-4b9b-b5c1-e04700f61ef1,,ajs-next-1775997404890-6d4ae7c2-1064-4d38-9c62-9f464354a796,2026-04-12 12:36:44.889000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",/business_profile/v%C3%A9deni-property-inspections-llc-1775058462201x523059865418210800,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/v%C3%A9deni-property-inspections-llc-1775058462201x523059865418210800,1775058462201x523059865418210800,,,profile,business_profile,/business_profile/v%C3%A9deni-property-inspections-llc-1775058462201x523059865418210800,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/v%C3%A9deni-property-inspections-llc-1775058462201x523059865418210800,profile,business_profile,,,,,,,,page
