category,name,anonymousId,userId,messageId,originalTimestamp,userAgent,page.path,page.referrer,page.search,page.title,page.url,path,referrer,search,title,url,category_properties,name_properties,business_id,location,sponsored_listing,button_name,search_text,userAgentData.brands,userAgentData.mobile,userAgentData.platform,traits,event_type
search,search,f463dc01-9a15-4cf0-9c53-4aace527f3b6,,ajs-next-1777508728899-c9cb3011-1c83-4c89-bf02-6d8881f166cf,2026-04-30 00:25:28.899000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Other,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Other,/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Other,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Other,search,search,,,,,,,,,,page
,,f463dc01-9a15-4cf0-9c53-4aace527f3b6,,ajs-next-1777508935234-ebc84f66-f597-4e21-9c83-26ab23cd6fbd,2026-04-30 00:28:55.234000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,,,,,,,,sidebar,true,,,,,,,impression
,,f463dc01-9a15-4cf0-9c53-4aace527f3b6,,ajs-next-1777508729572-1c835c89-3f02-4d88-81f1-66cfe5889275,2026-04-30 00:25:29.572000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Other,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Other,,,,,,,,1751744301621x758526182685981300,main_list,true,,,,,,,impression
,,f463dc01-9a15-4cf0-9c53-4aace527f3b6,,ajs-next-1777508746227-ced00323-381c-4649-acc9-ee5268f9789e,2026-04-30 00:25:46.227000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,,,,,,,"1765001972595x338020444395840100, 1752717497153x537286585580736960, 1763509156539x144450665564595840, 1776102250538x198432379819539760, 1777042895042x187867473484191420, 1744282156200x727555159743162000, 1762957766158x632118084948257900, 1747848709032x210920410073364830, 1753982403438x535213824960417500, 1772982809798x739419868972941400, 1748389292320x918627677903932400, 1747221865162x703532834449508000, 1746635677548x343522492232585660, 1771517879190x523242735258870900, 1743549178851x847080663521240200, 1757369121056x350487849823425600, 1749173974503x736079030141835600, 1753465897836x101289632151690960, 1753909381745x872991521395046100, 1761044854709x307607562836745150, 1751425811600x127124815802215140, 1744134674881x127285411168640110, 1749057953945x756346430245684600, 1744743906400x631087870982087000, 1758120880051x675194275556497400, 1744157592334x292550965261606100, 1766070455303x639821695383855700, 1762889659042x996969350831174300, 1747184079669x994211808429350800, 1771436045389x658317953644361100, 1765991015203x350068785849064760, 1759423986281x805514757919405700, 1745597587022x519433479989605000, 1775244057768x699511577684581800, 1763569204895x378265538177280400, 1761919898226x928695665795906700, 1771021914207x198452557005754900, 1757355028996x505189727810192200, 1763255155587x707008769292458900, 1751749348389x952656707958261400, 1763305551668x997299018011994600, 1765399408996x262641226191956400, 1753985929691x853149258569598100, 1749580724532x760028975589297300, 1758147388607x898014240790697700, 1758568877707x715638242996164100, 1757720364741x595714121363069200, 1771433486472x495156137805681660, 1755271286521x378031808974615550, 1775058462201x523059865418210800, 1751224250248x539537516841198200, 1744751205492x235134337285239230, 1750784029587x963255839088365200, 1744748222708x779656090283929300, 1763148950401x545361905340972600, 1744737250347x219277345743008400, 1743547621069x279645472884266780, 1747185390251x665604546429507900, 1748365021326x105262688542451250, 1754081360962x724252535884739300, 1777405836126x277715594249416060, 1768238584049x399775147114029200, 1750423781412x480534435350699700, 1747398900475x598159844147748100, 1772482882558x843076024552954900, 1776210729408x448410210135887360, 1744760380914x558772773612561600, 1745533127765x291393362647413700, 1744335958024x226211831616957250, 1768427614253x929508274229176300, 1764711530894x480989914892320700, 1768844277981x664142917381285000, 1750783679107x801419812763124500, 1744907031541x119079844893356540, 1776360466250x658348247885801300, 1744736810207x919925185055488400, 1750784475796x702583457937545900, 1749068120323x412920063824988600, 1759930025997x126109694575208930, 1744391553368x301043576290850300, 1769635123521x385801932800474700, 1746765568691x979794717919274100, 1751744301621x758526182685981300, 1747827548541x313848517899538500, 1744643921578x315333816253624100, 1746548006831x128230088489826860, 1750785338983x949958887494882000, 1764963280733x431041418968701760, 1744740154739x566945822952470660, 1746467711533x453074785848415400, 1770152894907x464897480736850900, 1754505203290x671062062407191900, 1746938798847x931997689495082400, 1761930377989x951815782791809400, 1745273541628x945470626229355500, 1754084205128x675147807630683600, 1776360294100x840938158936498600, 1764781838221x716772635359430500, 1777042863057x294476376362385400, 1747864432460x772931238395911000, 1761762460002x434978052003146300, 1768584016102x834619843946063900, 1751319669665x621437589169731200, 1746631267951x741803061642879500, 1744319857648x144922844539837200, 1762364811793x796217509980630800, 1763672237927x725969385673238800, 1754927931120x470668069008822300, 1757438153395x416809556103947500, 1771545376609x752763268373144000, 1760458225389x690604949380638100, 1774573166178x561429420668618400, 1746855895334x711816173120128000, 1777321143190x321072500270616060, 1747183179554x540122160625888100, 1750436264420x989591292213482400, 1753374338412x209529915103450200, 1747163465846x476237095610093000, 1747170561218x640297169073643000, 1753911193017x504194995643152640, 1754949567759x639105313824555300, 1747165674437x491901038958021200, 1762271200864x775090106640580500, 1747594874125x270237571814453630, 1747415704843x665338483592092500, 1757437593796x460281345015416640, 1748581534531x956271769254002200, 1746827109704x963221719337950200, 1752687366861x422755081931784260, 1747216018889x770977089491677400, 1764893879099x465248075524681500, 1759153763139x433792388290277000, 1744175271939x575064790204550460, 1752182630575x854371423894944000, 1771538218470x758525499484679000, 1753135741395x558904608479141570, 1744397288473x909294892772270800, 1744579851707x640487742075829500, 1744398484109x785674167096991400, 1771003581692x955050931630977700, 1751402056748x637551618886434600, 1761762406893x958878656538368500, 1749742920378x965836759111504900, 1745528732739x896561533370513300, 1747420152884x437771544876149700, 1746843461447x686795565273950000, 1758312173588x895819358343598700, 1769719058268x843927058977011000, 1768581853937x610498789092930300, 1755533063776x956164571796881400, 1744260813114x505427712482621440, 1763408145585x201322720695875870, 1750783674403x491887953737125700, 1770755356265x111382421474427680, 1764342295066x618134664283571500, 1776373432940x530737443814194940, 1760118921086x941497076227920600, 1776552489781x780158200693874000, 1770943484557x164806709481949200, 1766011883106x917993758751800300, 1755621956288x571897163769246900, 1754624056001x759184470890143000, 1777052217878x935579896985562900, 1768426055630x579798080961828200, 1754941249648x796792188496967000",,false,,,,,,,impression
index,index,f463dc01-9a15-4cf0-9c53-4aace527f3b6,,ajs-next-1777508713622-ccf463dc-019a-45dc-b01c-534aace527f3,2026-04-30 00:25:13.622000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,,,,,page
,,f463dc01-9a15-4cf0-9c53-4aace527f3b6,,ajs-next-1777508729877-5c893f02-6d88-41f1-a6cf-e58892750656,2026-04-30 00:25:29.877000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Other,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Other,,,,,,,,"1746843461447x686795565273950000, 1747165674437x491901038958021200, 1754941249648x796792188496967000, 1751402056748x637551618886434600, 1755271286521x378031808974615550, 1757720364741x595714121363069200, 1762271200864x775090106640580500, 1754949567759x639105313824555300, 1751744301621x758526182685981300, 1744282156200x727555159743162000, 1757355028996x505189727810192200, 1752687366861x422755081931784260, 1750436264420x989591292213482400, 1758147388607x898014240790697700, 1761044854709x307607562836745150, 1771545376609x752763268373144000, 1747170561218x640297169073643000, 1744319857648x144922844539837200, 1758568877707x715638242996164100, 1744736810207x919925185055488400, 1746467711533x453074785848415400, 1763569204895x378265538177280400, 1760118921086x941497076227920600, 1768427614253x929508274229176300, 1749580724532x760028975589297300, 1771538218470x758525499484679000, 1746548006831x128230088489826860, 1758120880051x675194275556497400, 1748581534531x956271769254002200, 1748365021326x105262688542451250, 1768844277981x664142917381285000, 1744907031541x119079844893356540, 1764342295066x618134664283571500, 1753985929691x853149258569598100, 1763305551668x997299018011994600, 1744737250347x219277345743008400, 1747221865162x703532834449508000, 1769635123521x385801932800474700, 1747163465846x476237095610093000, 1777042895042x187867473484191420, 1748389292320x918627677903932400, 1771021914207x198452557005754900, 1766070455303x639821695383855700, 1762889659042x996969350831174300, 1776210729408x448410210135887360, 1750423781412x480534435350699700, 1749068120323x412920063824988600, 1745533127765x291393362647413700, 1745597587022x519433479989605000, 1770755356265x111382421474427680, 1753465897836x101289632151690960, 1752182630575x854371423894944000, 1762364811793x796217509980630800, 1774573166178x561429420668618400, 1747184079669x994211808429350800, 1764711530894x480989914892320700, 1769719058268x843927058977011000, 1750784475796x702583457937545900, 1750783679107x801419812763124500, 1744260813114x505427712482621440, 1744743906400x631087870982087000, 1763509156539x144450665564595840, 1765001972595x338020444395840100",,false,,,,,,,impression
index,index,f463dc01-9a15-4cf0-9c53-4aace527f3b6,,ajs-next-1777508738274-f3b22e07-d1b9-458f-95c4-ec0466169b9b,2026-04-30 00:25:38.274000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,,,,,page
search,search,f463dc01-9a15-4cf0-9c53-4aace527f3b6,,ajs-next-1777508745295-b2a21cc4-509e-4ed0-8323-381c0649ecc9,2026-04-30 00:25:45.295000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,search,search,,,,,,,,,,page
profile,business_profile,f463dc01-9a15-4cf0-9c53-4aace527f3b6,,ajs-next-1777508975166-f39362f2-42ea-461a-af32-c132bb2f43d3,2026-04-30 00:29:35.166000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1",/business_profile/the-catholic-foundation-of-northern-colorado-1753985929691x853149258569598100,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/the-catholic-foundation-of-northern-colorado-1753985929691x853149258569598100,/business_profile/the-catholic-foundation-of-northern-colorado-1753985929691x853149258569598100,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/the-catholic-foundation-of-northern-colorado-1753985929691x853149258569598100,profile,business_profile,1753985929691x853149258569598100,,,,,,,,,page
,,f463dc01-9a15-4cf0-9c53-4aace527f3b6,,ajs-next-1777508714048-9a15dcf0-1c53-4aac-a527-f3b68484c95c,2026-04-30 00:25:14.048000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,"1744335958024x226211831616957250, 1752717497153x537286585580736960, 1744579851707x640487742075829500, 1753982403438x535213824960417500, 1750436264420x989591292213482400, 1753374338412x209529915103450200, 1751744301621x758526182685981300, 1771436045389x658317953644361100, 1770943484557x164806709481949200",,true,,,,,,,impression
