messageId,userId,anonymousId,originalTimestamp,category,name,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,business_id,sponsored_listing,path,referrer,search,title,url,category_properties,name_properties,location,button_name,search_text,event_type
ajs-next-1777600088708-403dcb03-0ab6-46b3-a83b-b843c996a7d9,,ac09b7e1-0d81-4ffb-9f8b-da22572b7a79,2026-05-01 01:48:08.708000+00:00,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",/search,,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",False,macOS,"1750783674403x491887953737125700, 1755621956288x571897163769246900, 1749742920378x965836759111504900, 1747864432460x772931238395911000, 1755533063776x956164571796881400, 1768581853937x610498789092930300, 1753911193017x504194995643152640, 1744335958024x226211831616957250, 1747216018889x770977089491677400, 1744751205492x235134337285239230, 1744579851707x640487742075829500, 1776552489781x780158200693874000, 1763255155587x707008769292458900, 1745273541628x945470626229355500, 1751319669665x621437589169731200, 1759423986281x805514757919405700, 1763408145585x201322720695875870, 1746855895334x711816173120128000, 1754505203290x671062062407191900, 1754927931120x470668069008822300, 1777042863057x294476376362385400, 1775058462201x523059865418210800, 1759153763139x433792388290277000, 1759930025997x126109694575208930, 1763148950401x545361905340972600, 1744748222708x779656090283929300, 1744398484109x785674167096991400, 1770943484557x164806709481949200, 1747398900475x598159844147748100",false,,,,,,,,,,,impression
ajs-next-1777602970423-89c70e8e-1ac8-49e4-a54d-3b4e6da44f65,,ac09b7e1-0d81-4ffb-9f8b-da22572b7a79,2026-05-01 02:36:10.423000+00:00,search,search,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",/search,,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",False,macOS,,,/search,,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,search,search,,,,page
ajs-next-1777600085064-277adfe9-69a7-4194-be18-403dcb030ab6,,ac09b7e1-0d81-4ffb-9f8b-da22572b7a79,2026-05-01 01:48:05.064000+00:00,search,search,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",/search,,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",False,macOS,,,/search,,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,search,search,,,,page
ajs-next-1777600091149-4b08a67b-60b5-462f-8bd2-7c661b6e2fd1,,ac09b7e1-0d81-4ffb-9f8b-da22572b7a79,2026-05-01 01:48:11.149000+00:00,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",/search,,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",False,macOS,"1750783674403x491887953737125700, 1755621956288x571897163769246900, 1749742920378x965836759111504900, 1747864432460x772931238395911000, 1755533063776x956164571796881400, 1768581853937x610498789092930300, 1753911193017x504194995643152640, 1744335958024x226211831616957250, 1747216018889x770977089491677400, 1744751205492x235134337285239230, 1744579851707x640487742075829500, 1776552489781x780158200693874000, 1763255155587x707008769292458900, 1745273541628x945470626229355500, 1751319669665x621437589169731200, 1759423986281x805514757919405700, 1763408145585x201322720695875870, 1746855895334x711816173120128000, 1754505203290x671062062407191900, 1754927931120x470668069008822300, 1777042863057x294476376362385400, 1775058462201x523059865418210800, 1759153763139x433792388290277000, 1759930025997x126109694575208930, 1763148950401x545361905340972600, 1744748222708x779656090283929300, 1744398484109x785674167096991400, 1770943484557x164806709481949200, 1747398900475x598159844147748100",false,,,,,,,,,,,impression
ajs-next-1777600090949-b843c996-a7d9-4b08-a67b-60b5962f8bd2,,ac09b7e1-0d81-4ffb-9f8b-da22572b7a79,2026-05-01 01:48:10.949000+00:00,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",/search,,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",False,macOS,"1750783674403x491887953737125700, 1755621956288x571897163769246900, 1749742920378x965836759111504900, 1747864432460x772931238395911000, 1755533063776x956164571796881400, 1768581853937x610498789092930300, 1753911193017x504194995643152640, 1744335958024x226211831616957250, 1747216018889x770977089491677400, 1744751205492x235134337285239230, 1744579851707x640487742075829500, 1776552489781x780158200693874000, 1763255155587x707008769292458900, 1745273541628x945470626229355500, 1751319669665x621437589169731200, 1759423986281x805514757919405700, 1763408145585x201322720695875870, 1746855895334x711816173120128000, 1754505203290x671062062407191900, 1754927931120x470668069008822300, 1777042863057x294476376362385400, 1775058462201x523059865418210800, 1759153763139x433792388290277000, 1759930025997x126109694575208930, 1763148950401x545361905340972600, 1744748222708x779656090283929300, 1744398484109x785674167096991400, 1770943484557x164806709481949200, 1747398900475x598159844147748100",false,,,,,,,,,,,impression
ajs-next-1777602971366-29e4254d-3b4e-4da4-8f65-676106df707c,,ac09b7e1-0d81-4ffb-9f8b-da22572b7a79,2026-05-01 02:36:11.366000+00:00,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",/search,,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",False,macOS,"1759423986281x805514757919405700, 1747216018889x770977089491677400, 1747864432460x772931238395911000, 1744748222708x779656090283929300, 1770943484557x164806709481949200, 1775058462201x523059865418210800, 1749742920378x965836759111504900, 1746855895334x711816173120128000, 1754505203290x671062062407191900, 1753911193017x504194995643152640, 1744335958024x226211831616957250, 1744751205492x235134337285239230, 1759930025997x126109694575208930, 1763255155587x707008769292458900, 1751319669665x621437589169731200, 1776552489781x780158200693874000, 1777042863057x294476376362385400, 1744398484109x785674167096991400, 1755621956288x571897163769246900, 1763148950401x545361905340972600, 1747398900475x598159844147748100, 1763408145585x201322720695875870, 1750783674403x491887953737125700, 1755533063776x956164571796881400, 1744579851707x640487742075829500, 1759153763139x433792388290277000, 1768581853937x610498789092930300, 1745273541628x945470626229355500, 1754927931120x470668069008822300",false,,,,,,,,,,,impression
ajs-next-1777600085100-dfe969a7-f194-4e18-803d-cb030ab696b3,,ac09b7e1-0d81-4ffb-9f8b-da22572b7a79,2026-05-01 01:48:05.100000+00:00,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",/search,,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",False,macOS,,true,,,,,,,,sidebar,,,impression
ajs-next-1777600091127-a7d94b08-a67b-40b5-962f-8bd27c661b6e,,ac09b7e1-0d81-4ffb-9f8b-da22572b7a79,2026-05-01 01:48:11.127000+00:00,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",/search,,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",False,macOS,"1750783674403x491887953737125700, 1755621956288x571897163769246900, 1749742920378x965836759111504900, 1747864432460x772931238395911000, 1755533063776x956164571796881400, 1768581853937x610498789092930300, 1753911193017x504194995643152640, 1744335958024x226211831616957250, 1747216018889x770977089491677400, 1744751205492x235134337285239230, 1744579851707x640487742075829500, 1776552489781x780158200693874000, 1763255155587x707008769292458900, 1745273541628x945470626229355500, 1751319669665x621437589169731200, 1759423986281x805514757919405700, 1763408145585x201322720695875870, 1746855895334x711816173120128000, 1754505203290x671062062407191900, 1754927931120x470668069008822300, 1777042863057x294476376362385400, 1775058462201x523059865418210800, 1759153763139x433792388290277000, 1759930025997x126109694575208930, 1763148950401x545361905340972600, 1744748222708x779656090283929300, 1744398484109x785674167096991400, 1770943484557x164806709481949200, 1747398900475x598159844147748100",false,,,,,,,,,,,impression
ajs-next-1777600088735-cb030ab6-96b3-483b-b843-c996a7d94b08,,ac09b7e1-0d81-4ffb-9f8b-da22572b7a79,2026-05-01 01:48:08.735000+00:00,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",/search,,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",False,macOS,,true,,,,,,,,sidebar,,,impression
ajs-next-1777600085121-69a7f194-7e18-403d-8b03-0ab696b3a83b,,ac09b7e1-0d81-4ffb-9f8b-da22572b7a79,2026-05-01 01:48:05.121000+00:00,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",/search,,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",False,macOS,1744335958024x226211831616957250,true,,,,,,,,main_list,,,impression
