messageId,originalTimestamp,userId,anonymousId,userAgent,page.path,page.referrer,page.search,page.title,page.url,business_id,sponsored_listing,name,category,path,referrer,search,title,url,category_properties,name_properties,userAgentData.brands,userAgentData.mobile,userAgentData.platform,location,event_type
ajs-next-1778022476975-d6a4e97e-e5b4-4912-a6b7-00a6bfe5f1f6,2026-05-05 23:07:56.975000+00:00,,920350c2-1d51-4997-9ccb-501c643214d7,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"1753982403438x535213824960417500, 1751744301621x758526182685981300, 1753374338412x209529915103450200, 1744335958024x226211831616957250, 1750436264420x989591292213482400, 1770943484557x164806709481949200, 1752717497153x537286585580736960, 1744579851707x640487742075829500, 1771436045389x658317953644361100",true,,,,,,,,,,,,,,impression
ajs-next-1778022476973-f93fd6a4-e97e-45b4-b912-a6b700a6bfe5,2026-05-05 23:07:56.973000+00:00,,920350c2-1d51-4997-9ccb-501c643214d7,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"1753982403438x535213824960417500, 1751744301621x758526182685981300, 1753374338412x209529915103450200, 1744335958024x226211831616957250, 1750436264420x989591292213482400, 1770943484557x164806709481949200, 1752717497153x537286585580736960, 1744579851707x640487742075829500, 1771436045389x658317953644361100",true,,,,,,,,,,,,,,impression
ajs-next-1778022476559-c633f93f-d6a4-497e-a5b4-3912a6b700a6,2026-05-05 23:07:56.559000+00:00,,920350c2-1d51-4997-9ccb-501c643214d7,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,index,index,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,page
ajs-next-1778032280672-571f2876-6a7c-4f42-abe1-924c94e9bc5b,2026-05-06 01:51:20.672000+00:00,,3dc7f98c-0d8e-4e88-b5cb-5d35905115f9,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_7_15 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6.2 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,index,index,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,page
ajs-next-1778032281337-28766a7c-6f42-4be1-924c-94e9bc5bcb33,2026-05-06 01:51:21.337000+00:00,,3dc7f98c-0d8e-4e88-b5cb-5d35905115f9,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_7_15 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6.2 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"1753374338412x209529915103450200, 1753982403438x535213824960417500, 1751744301621x758526182685981300, 1752717497153x537286585580736960, 1744579851707x640487742075829500, 1744335958024x226211831616957250, 1770943484557x164806709481949200, 1771436045389x658317953644361100, 1750436264420x989591292213482400",true,,,,,,,,,,,,,,impression
ajs-next-1778090588030-87421074-e2f2-4b5b-9015-1d5d87e6a2a0,2026-05-06 18:03:08.030000+00:00,,52957383-8742-4074-a2f2-0b5b90151d5d,"Mozilla/5.0 (Linux; Android 14; HUAWEI Mate 60 Pro) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Mobile Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"1753982403438x535213824960417500, 1752717497153x537286585580736960, 1771436045389x658317953644361100, 1744335958024x226211831616957250, 1744579851707x640487742075829500, 1750436264420x989591292213482400, 1753374338412x209529915103450200, 1751744301621x758526182685981300, 1770943484557x164806709481949200",true,,,,,,,,,,"[{'brand': 'Chromium', 'version': '140'}, {'brand': 'Not=A?Brand', 'version': '24'}, {'brand': 'HeadlessChrome', 'version': '140'}]",True,Android,,impression
ajs-next-1778090587411-ff529573-8387-4210-b4e2-f20b5b90151d,2026-05-06 18:03:07.411000+00:00,,52957383-8742-4074-a2f2-0b5b90151d5d,"Mozilla/5.0 (Linux; Android 14; HUAWEI Mate 60 Pro) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Mobile Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,index,index,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,"[{'brand': 'Chromium', 'version': '140'}, {'brand': 'Not=A?Brand', 'version': '24'}, {'brand': 'HeadlessChrome', 'version': '140'}]",True,Android,,page
ajs-next-1778090587418-73838742-1074-42f2-8b5b-90151d5d87e6,2026-05-06 18:03:07.418000+00:00,,52957383-8742-4074-a2f2-0b5b90151d5d,"Mozilla/5.0 (Linux; Android 14; HUAWEI Mate 60 Pro) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Mobile Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"1753982403438x535213824960417500, 1752717497153x537286585580736960, 1771436045389x658317953644361100, 1744335958024x226211831616957250, 1744579851707x640487742075829500, 1750436264420x989591292213482400, 1753374338412x209529915103450200, 1751744301621x758526182685981300, 1770943484557x164806709481949200",true,,,,,,,,,,"[{'brand': 'Chromium', 'version': '140'}, {'brand': 'Not=A?Brand', 'version': '24'}, {'brand': 'HeadlessChrome', 'version': '140'}]",True,Android,,impression
ajs-next-1778093670663-600afb78-8eea-439e-a540-24ddff33ac24,2026-05-06 18:54:30.663000+00:00,,920350c2-1d51-4997-9ccb-501c643214d7,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"1753982403438x535213824960417500, 1744579851707x640487742075829500, 1744335958024x226211831616957250, 1771436045389x658317953644361100, 1751744301621x758526182685981300, 1752717497153x537286585580736960, 1750436264420x989591292213482400, 1753374338412x209529915103450200, 1770943484557x164806709481949200",true,,,,,,,,,,,,,,impression
ajs-next-1778093670333-ee3feb66-600a-4b78-8eea-339e254024dd,2026-05-06 18:54:30.333000+00:00,,920350c2-1d51-4997-9ccb-501c643214d7,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,index,index,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,page
