messageId,name,originalTimestamp,anonymousId,category,userId,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,business_id,category_properties,name_properties,input_value,input_num,input_name,sponsored_listing,traits,button_name,email,address,other_category,city,description,display_email,business_name,main_category,parish,phone,sub_category,website,search_text,location,event_type
ajs-next-1778658453439-c36dcd25-5926-4e01-910d-9e4ea3b73a9a,business_profile,2026-05-13 07:47:33.439000+00:00,6dcd2559-262e-4111-8d9e-4ea3b73a9a70,profile,,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/136.0.0.0 Safari/537.36",/business_profile/grants-handy-work-1747398900475x598159844147748100,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/grants-handy-work-1747398900475x598159844147748100,[],False,,/business_profile/grants-handy-work-1747398900475x598159844147748100,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/grants-handy-work-1747398900475x598159844147748100,1747398900475x598159844147748100,profile,business_profile,,,,,,,,,,,,,,,,,,,,,page
ajs-next-1778662019078-9210fd52-1bdd-4d24-9454-f2ccb8643acf,start,2026-05-13 08:46:59.078000+00:00,10fd521b-dd1d-4454-94f2-ccb8643acf3a,start,,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,,start,start,,,,,,,,,,,,,,,,,,,,,page
ajs-next-1778678530632-a62859d1-40a6-47ac-acf7-aeee78b9d3fb,start,2026-05-13 13:22:10.632000+00:00,2859d140-a647-4c2c-b7ae-ee78b9d3fbf2,start,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",False,Windows,/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,,start,start,,,,,,,,,,,,,,,,,,,,,page
ajs-next-1778678594354-cfc34f28-696e-4719-8e20-28f98e659126,,2026-05-13 13:23:14.354000+00:00,2859d140-a647-4c2c-b7ae-ee78b9d3fbf2,,1778678470875x691076180629588500,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",False,Windows,,,,,,1778678470875x691076180629588500,,,3148885233 ext. 1197,5,phone,,,,,,,,,,,,,,,,,,input_changed
ajs-next-1778678601063-4f28696e-8719-4e20-a8f9-8e659126e84a,,2026-05-13 13:23:21.063000+00:00,2859d140-a647-4c2c-b7ae-ee78b9d3fbf2,,1778678470875x691076180629588500,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",False,Windows,,,,,,1778678470875x691076180629588500,,,314-888-5233 ext. 1197,5,phone,,,,,,,,,,,,,,,,,,input_changed
ajs-next-1778679343596-fc8f6915-3b5e-4d0c-b042-af2b4dbf420e,index,2026-05-13 13:35:43.596000+00:00,8f69153b-5efd-4cf0-82af-2b4dbf420eb4,index,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",False,Windows,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,index,index,,,,,,,,,,,,,,,,,,,,,page
ajs-next-1778679344312-5efd0cf0-42af-4b4d-bf42-0eb44a02a45d,,2026-05-13 13:35:44.312000+00:00,8f69153b-5efd-4cf0-82af-2b4dbf420eb4,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",False,Windows,,,,,,"1771436045389x658317953644361100, 1744579851707x640487742075829500, 1753374338412x209529915103450200, 1744335958024x226211831616957250, 1753982403438x535213824960417500, 1751744301621x758526182685981300, 1750436264420x989591292213482400, 1770943484557x164806709481949200, 1752717497153x537286585580736960",,,,,,true,,,,,,,,,,,,,,,,,impression
ajs-next-1778678560817-83207e88-cfc3-4f28-a96e-87198e2028f9,,2026-05-13 13:22:40.817000+00:00,2859d140-a647-4c2c-b7ae-ee78b9d3fbf2,,1778678470875x691076180629588500,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",False,Windows,,,,,,,,,,,,,"{'business_id': '1778678470875x691076180629588500', 'email': 'jean.kenkel@mycatholicdoctor.com', 'is_logged_in': True}",,,,,,,,,,,,,,,,identify
ajs-next-1778678605094-696e8719-8e20-48f9-8e65-9126e84ad883,,2026-05-13 13:23:25.094000+00:00,2859d140-a647-4c2c-b7ae-ee78b9d3fbf2,,1778678470875x691076180629588500,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",False,Windows,,,,,,1778678470875x691076180629588500,,,,6,website,,,,,,,,,,,,,,,,,,input_changed
ajs-next-1778678558507-a647ac2c-f7ae-4e78-b9d3-fbf2c95b0de8,,2026-05-13 13:22:38.507000+00:00,2859d140-a647-4c2c-b7ae-ee78b9d3fbf2,,1778678470875x691076180629588500,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",False,Windows,,,,,,,,,,,,,"{'business_id': '1778678470875x691076180629588500', 'email': 'jean.kenkel@mycatholicdoctor.com'}",,,,,,,,,,,,,,,,identify
ajs-next-1778678556738-d140a647-ac2c-47ae-ae78-b9d3fbf2c95b,,2026-05-13 13:22:36.738000+00:00,2859d140-a647-4c2c-b7ae-ee78b9d3fbf2,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",False,Windows,,,,,,,,,,,,,,sign_up,JEAN.KENKEL@MYCATHOLICDOCTOR.COM,,,,,,,,,,,,,,button_click
ajs-next-1778678866134-9126e84a-d883-46b5-a473-3d46a2201147,,2026-05-13 13:27:46.134000+00:00,2859d140-a647-4c2c-b7ae-ee78b9d3fbf2,,1778678470875x691076180629588500,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",False,Windows,,,,,,1778678470875x691076180629588500,,,"Jeanie Kenkel is a psychiatric nurse practitioner with board certification by the American Nurses Credentialing Center. She has been a registered nurse in mental health for 18 years, and continues to enjoy this. She has worked on inpatient youth, adult, senior, and mental health triage units. Her psychiatric nurse practitioner experience has been in emergency rooms. She completed an accelerated Bachelor of Science in Nursing program at the University of Nebraska Medical Center, and a Master of Science in Nursing degree at Walden University. She also has a bachelor’s degree in Creative Arts and Communications from College of Saint Mary. She cares deeply about each person she sees, with a thoughtful approach to determination of correct diagnosis and appropriate treatment options. Jeanie is a native of Lincoln, Nebraska.",11,description,,,,,,,,,,,,,,,,,,input_changed
ajs-next-1778678651677-8e2028f9-8e65-4126-a84a-d88346b56473,,2026-05-13 13:24:11.677000+00:00,2859d140-a647-4c2c-b7ae-ee78b9d3fbf2,,1778678470875x691076180629588500,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",False,Windows,,,,,,1778678470875x691076180629588500,,,Health & Wellness,8,main_category,,,,,,,,,,,,,,,,,,input_changed
ajs-next-1778678646560-87198e20-28f9-4e65-9126-e84ad88346b5,,2026-05-13 13:24:06.560000+00:00,2859d140-a647-4c2c-b7ae-ee78b9d3fbf2,,1778678470875x691076180629588500,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",False,Windows,,,,,,1778678470875x691076180629588500,,,https://mycatholicdoctor.com/resources/doctors/jeanie-kenkel-pmhnpbc/,6,website,,,,,,,,,,,,,,,,,,input_changed
ajs-next-1778678657525-28f98e65-9126-484a-9883-46b564733d46,,2026-05-13 13:24:17.525000+00:00,2859d140-a647-4c2c-b7ae-ee78b9d3fbf2,,1778678470875x691076180629588500,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",False,Windows,,,,,,1778678470875x691076180629588500,,,Psychiatry,9,sub_category,,,,,,,,,,,,,,,,,,input_changed
ajs-next-1778678754676-8e659126-e84a-4883-86b5-64733d46a220,,2026-05-13 13:25:54.676000+00:00,2859d140-a647-4c2c-b7ae-ee78b9d3fbf2,,1778678470875x691076180629588500,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",False,Windows,,,,,,1778678470875x691076180629588500,,,,2,logo,,,,,,,,,,,,,,,,,,input_changed
ajs-next-1778678909688-64733d46-a220-4147-a87f-e49f0de680f6,,2026-05-13 13:28:29.688000+00:00,2859d140-a647-4c2c-b7ae-ee78b9d3fbf2,,1778678470875x691076180629588500,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,"[{'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Not.A/Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '147'}]",False,Windows,,,,,,1778678470875x691076180629588500,,,,,,,,,jean.kenkel@mycatholicdoctor.com,,,,"Jeanie Kenkel is a psychiatric nurse practitioner with board certification by the American Nurses Credentialing Center. She has been a registered nurse in mental health for 18 years, and continues to enjoy this. She has worked on inpatient youth, adult, senior, and mental health triage units. Her psychiatric nurse practitioner experience has been in corrections and emergency rooms. She completed an accelerated Bachelor of Science in Nursing program at the University of Nebraska Medical Center, and a Master of Science in Nursing degree at Walden University. She also has a bachelor’s degree in Creative Arts and Communications from College of Saint Mary. She cares deeply about each person she sees, with a thoughtful approach to determination of correct diagnosis and appropriate treatment options. Jeanie is a native of Lincoln, Nebraska.",jean.kenkel@mycatholicdoctor.com,Jeanie Kenkel - Psychiatric Nurse Practitioner,Health & Wellness,,314-888-5233 ext. 1197,Psychiatry,https://mycatholicdoctor.com/resources/doctors/jeanie-kenkel-pmhnpbc/,,,db_update
