messageId,anonymousId,userId,originalTimestamp,category,name,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,business_id,category_properties,name_properties,sponsored_listing,button_name,location,event_type
ajs-next-1778715001780-07f1f228-4d6a-462d-a518-c78b87632c4c,3adc07ac-bcb5-4c10-a7b0-1f35699a2819,,2026-05-13 23:30:01.780000+00:00,profile,business_profile,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/fidelis-catholic-credit-union-1753982403438x535213824960417500,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/fidelis-catholic-credit-union-1753982403438x535213824960417500,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/business_profile/fidelis-catholic-credit-union-1753982403438x535213824960417500,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/fidelis-catholic-credit-union-1753982403438x535213824960417500,1753982403438x535213824960417500,profile,business_profile,,,,page
ajs-next-1778714991833-29ce1f36-57fd-41a2-a448-a2af2100e54c,3adc07ac-bcb5-4c10-a7b0-1f35699a2819,,2026-05-13 23:29:51.833000+00:00,profile,business_profile,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/laymans-flame-1751744301621x758526182685981300,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/laymans-flame-1751744301621x758526182685981300,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/business_profile/laymans-flame-1751744301621x758526182685981300,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/laymans-flame-1751744301621x758526182685981300,1751744301621x758526182685981300,profile,business_profile,,,,page
ajs-next-1778714985444-303adc07-acbc-453c-9067-b01f35699a28,3adc07ac-bcb5-4c10-a7b0-1f35699a2819,,2026-05-13 23:29:45.444000+00:00,start,start,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,,start,start,,,,page
ajs-next-1778714996785-609ab823-0f5d-4490-ba4e-7198cdbe3738,3adc07ac-bcb5-4c10-a7b0-1f35699a2819,,2026-05-13 23:29:56.785000+00:00,profile,business_profile,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/spark-marketing--consulting-llc-1753374338412x209529915103450200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/spark-marketing--consulting-llc-1753374338412x209529915103450200,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/business_profile/spark-marketing--consulting-llc-1753374338412x209529915103450200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/spark-marketing--consulting-llc-1753374338412x209529915103450200,1753374338412x209529915103450200,profile,business_profile,,,,page
ajs-next-1778720491773-8be4088a-d261-40f6-bdd7-fa746fe8059f,37f148f7-020a-4f2a-bd88-8c6b2857c0e5,,2026-05-14 01:01:31.773000+00:00,profile,business_profile,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/roof-technologies-llc-1744579851707x640487742075829500,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/roof-technologies-llc-1744579851707x640487742075829500,"[{'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Linux,/business_profile/roof-technologies-llc-1744579851707x640487742075829500,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/roof-technologies-llc-1744579851707x640487742075829500,1744579851707x640487742075829500,profile,business_profile,,,,page
ajs-next-1778720501962-9dfef8d2-8345-4293-8830-12106906887a,37f148f7-020a-4f2a-bd88-8c6b2857c0e5,,2026-05-14 01:01:41.962000+00:00,profile,business_profile,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/the-foote-group-keller-williams-aspire-1770943484557x164806709481949200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/the-foote-group-keller-williams-aspire-1770943484557x164806709481949200,"[{'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Linux,/business_profile/the-foote-group-keller-williams-aspire-1770943484557x164806709481949200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/the-foote-group-keller-williams-aspire-1770943484557x164806709481949200,1770943484557x164806709481949200,profile,business_profile,,,,page
ajs-next-1778720488057-9d221cec-bf98-42f8-999d-ca15828349cb,37f148f7-020a-4f2a-bd88-8c6b2857c0e5,,2026-05-14 01:01:28.057000+00:00,,,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Linux,,,,,,"1744579851707x640487742075829500, 1770943484557x164806709481949200, 1744335958024x226211831616957250, 1752717497153x537286585580736960, 1771436045389x658317953644361100, 1753982403438x535213824960417500, 1751744301621x758526182685981300, 1750436264420x989591292213482400, 1753374338412x209529915103450200",,,true,,,impression
ajs-next-1778720497085-786aca9f-9c2f-4bbe-809d-e04d514ce59b,37f148f7-020a-4f2a-bd88-8c6b2857c0e5,,2026-05-14 01:01:37.085000+00:00,profile,business_profile,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/slider-artworks-1744335958024x226211831616957250,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/slider-artworks-1744335958024x226211831616957250,"[{'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Linux,/business_profile/slider-artworks-1744335958024x226211831616957250,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/slider-artworks-1744335958024x226211831616957250,1744335958024x226211831616957250,profile,business_profile,,,,page
ajs-next-1778720486893-93409d22-1cec-4f98-92f8-999dca158283,37f148f7-020a-4f2a-bd88-8c6b2857c0e5,,2026-05-14 01:01:26.893000+00:00,index,index,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Linux,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,index,index,,,,page
ajs-next-1778720486014-4d37f148-f702-4aaf-aa7d-888c6b2857c0,37f148f7-020a-4f2a-bd88-8c6b2857c0e5,,2026-05-14 01:01:26.014000+00:00,start,start,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,"[{'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Linux,/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,,start,start,,,,page
