messageId,userId,originalTimestamp,anonymousId,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,business_id,location,sponsored_listing,name,category,path,referrer,search,title,url,category_properties,name_properties,city,search_text,parish,button_name,event_type
ajs-next-1778979567899-1ccbaf9c-b502-45e2-98d7-d2ff2f8ebffa,,2026-05-17 00:59:27.899000+00:00,0c5a1ccb-af9c-4502-a5e2-18d7d2ff2f8e,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/136.0.0.0 Safari/537.36",/search,,?category=Other,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?category=Other,[],False,,,sidebar,true,,,,,,,,,,,,,,impression
ajs-next-1778988655349-9c59e4ab-5907-4c0b-b5f5-f7f11bfdc3fb,,2026-05-17 03:30:55.349000+00:00,59e4ab59-072c-4b75-b5f7-f11bfdc3fb7e,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/terms_of_service/low-cost-mortgage-loans-1778185404695x597979725335827200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/terms_of_service/low-cost-mortgage-loans-1778185404695x597979725335827200,[],False,,,,,terms_of_service,terms,/terms_of_service/low-cost-mortgage-loans-1778185404695x597979725335827200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/terms_of_service/low-cost-mortgage-loans-1778185404695x597979725335827200,terms,terms_of_service,,,,,page
ajs-next-1778996935819-d3cbe6c1-24dc-430e-8673-55823c1e9d78,,2026-05-17 05:48:55.819000+00:00,5658b8f7-f364-43cb-a6c1-24dc730e8673,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/136.0.0.0 Safari/537.36",/search,,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,[],False,,,main_list,true,,,,,,,,,,,,,,impression
ajs-next-1778999844508-ce1e9d29-05af-42c8-94a6-e857d0722942,,2026-05-17 06:37:24.507000+00:00,1e9d2905-afb2-4814-a6e8-57d0722942fd,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/how_it_works/trusty-toolbox-1750436264420x989591292213482400,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/trusty-toolbox-1750436264420x989591292213482400,[],False,,,,,how_it_works,how_it_works,/how_it_works/trusty-toolbox-1750436264420x989591292213482400,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/trusty-toolbox-1750436264420x989591292213482400,how_it_works,how_it_works,,,,,page
ajs-next-1779028557202-3ab0d747-3cad-44e0-a8b8-086127ac26dc,,2026-05-17 14:35:57.201000+00:00,d2e1aced-0dbb-4fd7-aaf3-ea1fe501abfb,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/slider-artworks-1744335958024x226211831616957250,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/slider-artworks-1744335958024x226211831616957250,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}]",False,Linux,1744335958024x226211831616957250,,,business_profile,profile,/business_profile/slider-artworks-1744335958024x226211831616957250,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/slider-artworks-1744335958024x226211831616957250,profile,business_profile,,,,,page
ajs-next-1779028594754-4942bede-ac0b-40ea-8ea7-4edaf442c4ab,,2026-05-17 14:36:34.754000+00:00,d2e1aced-0dbb-4fd7-aaf3-ea1fe501abfb,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}]",False,Linux,,,,start,start,/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,start,start,,,,,page
ajs-next-1779030668879-2926a0d7-065c-4916-9dce-84a015806171,,2026-05-17 15:11:08.879000+00:00,26a0d706-5c49-469d-8e84-a0158061714c,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,,,,start,start,/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,start,start,,,,,page
ajs-next-1779028553366-f4a9cfd8-f1a1-4472-ad77-06e44a3aa527,,2026-05-17 14:35:53.366000+00:00,d2e1aced-0dbb-4fd7-aaf3-ea1fe501abfb,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/laymans-flame-1751744301621x758526182685981300,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/laymans-flame-1751744301621x758526182685981300,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}]",False,Linux,1751744301621x758526182685981300,,,business_profile,profile,/business_profile/laymans-flame-1751744301621x758526182685981300,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/laymans-flame-1751744301621x758526182685981300,profile,business_profile,,,,,page
ajs-next-1779028548773-fbd2e1ac-ed0d-4bff-976a-f3ea1fe501ab,,2026-05-17 14:35:48.773000+00:00,d2e1aced-0dbb-4fd7-aaf3-ea1fe501abfb,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/paolucci-financial-services-1771436045389x658317953644361100,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/paolucci-financial-services-1771436045389x658317953644361100,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}]",False,Linux,1771436045389x658317953644361100,,,business_profile,profile,/business_profile/paolucci-financial-services-1771436045389x658317953644361100,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/paolucci-financial-services-1771436045389x658317953644361100,profile,business_profile,,,,,page
ajs-next-1779034858804-827e082c-2e60-4106-b297-9b45d54a1f1c,,2026-05-17 16:20:58.804000+00:00,7e082c2e-6061-46f2-979b-45d54a1f1ccd,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,,,,start,start,/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,start,start,,,,,page
