messageId,userId,originalTimestamp,anonymousId,userAgent,page.path,page.referrer,page.search,page.title,page.url,business_id,location,sponsored_listing,category,city,search_text,parish,name,path,referrer,search,title,url,category_properties,name_properties,button_name,userAgentData.brands,userAgentData.mobile,userAgentData.platform,event_type
ajs-next-1781312018574-5badf4cf-e215-4c78-8154-cda4839452b9,,2026-06-13 00:53:38.574000+00:00,73f3a958-9e78-4da4-b078-3500264e105f,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Health%20%26%20Wellness,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Health%20%26%20Wellness,,sidebar,true,,,,,,,,,,,,,,,,,impression
ajs-next-1781312083560-f8e66201-e7e2-4d28-b0fd-c6ccf01bd335,,2026-06-13 00:54:43.560000+00:00,73f3a958-9e78-4da4-b078-3500264e105f,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Finance,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Finance,,sidebar,true,,,,,,,,,,,,,,,,,impression
ajs-next-1781312101517-a52d0b0e-f433-4f6f-b7da-08abbead5487,,2026-06-13 00:55:01.517000+00:00,73f3a958-9e78-4da4-b078-3500264e105f,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Marketing%2FB2B,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Marketing%2FB2B,,main_search,,Other,,,,,,,,,,,,,,,,search
ajs-next-1781312083257-bda4f8e6-6201-47e2-9d28-b0fdc6ccf01b,,2026-06-13 00:54:43.257000+00:00,73f3a958-9e78-4da4-b078-3500264e105f,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Finance,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Finance,,,,search,,,,search,/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Finance,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Finance,search,search,,,,,page
ajs-next-1781312093067-d33518f3-5e83-452d-8b0e-f4332f6f77da,,2026-06-13 00:54:53.067000+00:00,73f3a958-9e78-4da4-b078-3500264e105f,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Marketing%2FB2B,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Marketing%2FB2B,1753374338412x209529915103450200,main_list,true,,,,,,,,,,,,,,,,,impression
ajs-next-1781311915356-8ed47aa7-2aca-42fb-8e33-0d315badf4cf,,2026-06-13 00:51:55.356000+00:00,73f3a958-9e78-4da4-b078-3500264e105f,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,,sidebar,true,,,,,,,,,,,,,,,,,impression
ajs-next-1781312017947-0e330d31-5bad-44cf-a215-9c784154cda4,,2026-06-13 00:53:37.947000+00:00,73f3a958-9e78-4da4-b078-3500264e105f,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,,main_search,,Health & Wellness,,,,,,,,,,,,,,,,search
ajs-next-1781311915665-7aa72aca-02fb-4e33-8d31-5badf4cfe215,,2026-06-13 00:51:55.665000+00:00,73f3a958-9e78-4da4-b078-3500264e105f,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,1744579851707x640487742075829500,main_list,true,,,,,,,,,,,,,,,,,impression
ajs-next-1781312082630-735c0e5d-bda4-48e6-a201-e7e29d28b0fd,,2026-06-13 00:54:42.630000+00:00,73f3a958-9e78-4da4-b078-3500264e105f,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Food%20%26%20Restaurants,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Food%20%26%20Restaurants,,,,,,,,,,,,,,,,search,,,,button_click
ajs-next-1781312091835-9d28b0fd-c6cc-401b-9335-18f35e83a52d,,2026-06-13 00:54:51.835000+00:00,73f3a958-9e78-4da4-b078-3500264e105f,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Finance,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Finance,,,,,,,,,,,,,,,,search,,,,button_click
