userId,messageId,originalTimestamp,anonymousId,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,business_id,sponsored_listing,name,category,path,referrer,search,title,url,category_properties,name_properties,location,city,search_text,parish,button_name,event_type
,ajs-next-1781395867665-2f5278ed-cd3a-41c4-8a53-e98bd260f6a9,2026-06-14 00:11:07.665000+00:00,a3a72f52-78ed-4d3a-81c4-8a53e98bd260,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.5938.132 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,[],False,,"1744579851707x640487742075829500, 1753374338412x209529915103450200, 1771436045389x658317953644361100, 1744335958024x226211831616957250, 1753982403438x535213824960417500, 1752717497153x537286585580736960, 1750436264420x989591292213482400, 1770943484557x164806709481949200",true,,,,,,,,,,,,,,,impression
,ajs-next-1781395868131-78edcd3a-c1c4-4a53-a98b-d260f6a98bcf,2026-06-14 00:11:08.131000+00:00,a3a72f52-78ed-4d3a-81c4-8a53e98bd260,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.5938.132 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,[],False,,"1744579851707x640487742075829500, 1753374338412x209529915103450200, 1771436045389x658317953644361100, 1744335958024x226211831616957250, 1753982403438x535213824960417500, 1752717497153x537286585580736960, 1750436264420x989591292213482400, 1770943484557x164806709481949200",true,,,,,,,,,,,,,,,impression
,ajs-next-1781395867658-b9a3a72f-5278-4dcd-bac1-c48a53e98bd2,2026-06-14 00:11:07.658000+00:00,a3a72f52-78ed-4d3a-81c4-8a53e98bd260,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.5938.132 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,[],False,,,,index,index,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,page
,ajs-next-1781413677593-f1d47b84-031f-43ff-b458-3c0f7dc7f764,2026-06-14 05:07:57.593000+00:00,6e26c3e4-c5b7-4dd1-9980-99843eaa7d46,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1",/search,,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,,,,"1755621956288x571897163769246900, 1754927931120x470668069008822300, 1770943484557x164806709481949200, 1754505203290x671062062407191900, 1775058462201x523059865418210800, 1746855895334x711816173120128000, 1755533063776x956164571796881400, 1763255155587x707008769292458900, 1744579851707x640487742075829500, 1768581853937x610498789092930300, 1750783674403x491887953737125700, 1745273541628x945470626229355500, 1751319669665x621437589169731200, 1763148950401x545361905340972600, 1747216018889x770977089491677400, 1750436264420x989591292213482400, 1777042863057x294476376362385400, 1759930025997x126109694575208930, 1749742920378x965836759111504900, 1744335958024x226211831616957250, 1753911193017x504194995643152640, 1763408145585x201322720695875870, 1747398900475x598159844147748100, 1776552489781x780158200693874000, 1744398484109x785674167096991400, 1744751205492x235134337285239230, 1747864432460x772931238395911000, 1759153763139x433792388290277000, 1759423986281x805514757919405700, 1744748222708x779656090283929300",false,,,,,,,,,,,,,,,impression
,ajs-next-1781414284451-3a0ed6c7-78ff-4873-9954-ecb8b6f8ad58,2026-06-14 05:18:04.451000+00:00,6e26c3e4-c5b7-4dd1-9980-99843eaa7d46,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1",/search,,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,,,,,true,,,,,,,,,,sidebar,,,,,impression
,ajs-next-1781413680393-031f03ff-b458-4c0f-bdc7-f764bb693a45,2026-06-14 05:08:00.393000+00:00,6e26c3e4-c5b7-4dd1-9980-99843eaa7d46,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1",/search,,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,,,,,,,Home Services,,,,,,,,main_search,,,,,search
,ajs-next-1781413889963-8c985694-9afe-4d1d-99ee-e8f578bcd378,2026-06-14 05:11:29.963000+00:00,6e26c3e4-c5b7-4dd1-9980-99843eaa7d46,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1",/business_profile/portam-interiors-1753911193017x504194995643152640,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/portam-interiors-1753911193017x504194995643152640,,,,1753911193017x504194995643152640,,business_profile,profile,/business_profile/portam-interiors-1753911193017x504194995643152640,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/portam-interiors-1753911193017x504194995643152640,profile,business_profile,,,,,,page
,ajs-next-1781414285067-78ff3873-5954-4cb8-b6f8-ad58d7856f38,2026-06-14 05:18:05.067000+00:00,6e26c3e4-c5b7-4dd1-9980-99843eaa7d46,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1",/search,,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,,,,"1777042863057x294476376362385400, 1759423986281x805514757919405700, 1770943484557x164806709481949200, 1744751205492x235134337285239230, 1747864432460x772931238395911000, 1746855895334x711816173120128000, 1755621956288x571897163769246900, 1750436264420x989591292213482400, 1750783674403x491887953737125700, 1759153763139x433792388290277000, 1744579851707x640487742075829500, 1754927931120x470668069008822300, 1744335958024x226211831616957250, 1747398900475x598159844147748100, 1744398484109x785674167096991400, 1763255155587x707008769292458900, 1759930025997x126109694575208930, 1768581853937x610498789092930300, 1744748222708x779656090283929300, 1755533063776x956164571796881400, 1763408145585x201322720695875870, 1751319669665x621437589169731200, 1776552489781x780158200693874000, 1753911193017x504194995643152640, 1763148950401x545361905340972600, 1754505203290x671062062407191900, 1745273541628x945470626229355500, 1747216018889x770977089491677400, 1749742920378x965836759111504900, 1775058462201x523059865418210800",false,,,,,,,,,,,,,,,impression
,ajs-next-1781413676978-078904e9-f1d4-4b84-831f-03ffb4583c0f,2026-06-14 05:07:56.978000+00:00,6e26c3e4-c5b7-4dd1-9980-99843eaa7d46,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1",/search,,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,,,,,true,,,,,,,,,,sidebar,,,,,impression
,ajs-next-1781413973016-e3b2f9db-97e8-4191-b7e1-b9cf24d7d0c2,2026-06-14 05:12:53.016000+00:00,6e26c3e4-c5b7-4dd1-9980-99843eaa7d46,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1",/business_profile/roof-technologies-llc-1744579851707x640487742075829500,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/roof-technologies-llc-1744579851707x640487742075829500,,,,1744579851707x640487742075829500,,business_profile,profile,/business_profile/roof-technologies-llc-1744579851707x640487742075829500,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/roof-technologies-llc-1744579851707x640487742075829500,profile,business_profile,,,,,,page
