anonymousId,userId,originalTimestamp,messageId,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,business_id,location,sponsored_listing,category,name,path,referrer,search,title,url,category_properties,name_properties,button_name,search_text,city,parish,event_type
342df1a2-e90f-4975-9ccf-26aad5972ece,,2026-06-15 00:06:52.637000+00:00,ajs-next-1781482012637-f1a2e90f-e975-4ccf-a6aa-d5972ece5ed3,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/136.0.0.0 Safari/537.36",/search,,?category=Other,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?category=Other,[],False,,,sidebar,true,,,,,,,,,,,,,,impression
cc8cf4b3-0f4c-40f1-9dfd-6a38e92ee96f,,2026-06-15 05:29:05.959000+00:00,ajs-next-1781501345959-16cc8cf4-b30f-4c10-b19d-fd6a38e92ee9,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/136.0.0.0 Safari/537.36",/business_profile/matthew-cain-with-wealthwave-1763672237927x725969385673238800,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/matthew-cain-with-wealthwave-1763672237927x725969385673238800,[],False,,1763672237927x725969385673238800,,,profile,business_profile,/business_profile/matthew-cain-with-wealthwave-1763672237927x725969385673238800,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/matthew-cain-with-wealthwave-1763672237927x725969385673238800,profile,business_profile,,,,,page
62eed809-ee79-4380-ab5d-781edbd037c5,,2026-06-15 12:06:15.306000+00:00,ajs-next-1781525175306-ee79d380-eb5d-481e-9bd0-37c5b8e070ac,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.7444.163 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '145'}, {'brand': 'Not:A-Brand', 'version': '99'}]",False,Windows,"1771436045389x658317953644361100, 1744335958024x226211831616957250, 1770943484557x164806709481949200, 1753982403438x535213824960417500, 1753374338412x209529915103450200, 1750436264420x989591292213482400, 1744579851707x640487742075829500, 1752717497153x537286585580736960",,true,,,,,,,,,,,,,,impression
62eed809-ee79-4380-ab5d-781edbd037c5,,2026-06-15 12:06:14.940000+00:00,ajs-next-1781525174940-d809ee79-d380-4b5d-b81e-dbd037c5b8e0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.7444.163 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '145'}, {'brand': 'Not:A-Brand', 'version': '99'}]",False,Windows,"1771436045389x658317953644361100, 1744335958024x226211831616957250, 1770943484557x164806709481949200, 1753982403438x535213824960417500, 1753374338412x209529915103450200, 1750436264420x989591292213482400, 1744579851707x640487742075829500, 1752717497153x537286585580736960",,true,,,,,,,,,,,,,,impression
9afef7b0-731d-4e82-9433-8e84b4ec694a,,2026-06-15 12:03:07.772000+00:00,ajs-next-1781524987772-f7b0731d-ee82-4433-8e84-b4ec694afe28,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.7444.162 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '145'}, {'brand': 'Not:A-Brand', 'version': '99'}]",False,Windows,"1744579851707x640487742075829500, 1750436264420x989591292213482400, 1753374338412x209529915103450200, 1770943484557x164806709481949200, 1752717497153x537286585580736960, 1771436045389x658317953644361100, 1744335958024x226211831616957250, 1753982403438x535213824960417500",,true,,,,,,,,,,,,,,impression
9afef7b0-731d-4e82-9433-8e84b4ec694a,,2026-06-15 12:03:08.060000+00:00,ajs-next-1781524988060-731dee82-5433-4e84-b4ec-694afe2847dc,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.7444.162 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '145'}, {'brand': 'Not:A-Brand', 'version': '99'}]",False,Windows,"1744579851707x640487742075829500, 1750436264420x989591292213482400, 1753374338412x209529915103450200, 1770943484557x164806709481949200, 1752717497153x537286585580736960, 1771436045389x658317953644361100, 1744335958024x226211831616957250, 1753982403438x535213824960417500",,true,,,,,,,,,,,,,,impression
9afef7b0-731d-4e82-9433-8e84b4ec694a,,2026-06-15 12:03:07.742000+00:00,ajs-next-1781524987742-2e9afef7-b073-4dee-8254-338e84b4ec69,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.7444.162 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '145'}, {'brand': 'Not:A-Brand', 'version': '99'}]",False,Windows,,,,index,index,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,page
62eed809-ee79-4380-ab5d-781edbd037c5,,2026-06-15 12:06:14.924000+00:00,ajs-next-1781525174924-1962eed8-09ee-49d3-80eb-5d781edbd037,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.7444.163 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '145'}, {'brand': 'Not:A-Brand', 'version': '99'}]",False,Windows,,,,index,index,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,page
ba733db9-92e7-4b43-8103-f3ce0081d4a4,,2026-06-15 12:08:21.294000+00:00,ajs-next-1781525301294-92e7ab43-4103-43ce-8081-d4a4f3ba674e,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.7444.163 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '145'}, {'brand': 'Not:A-Brand', 'version': '99'}]",False,Windows,"1744579851707x640487742075829500, 1753374338412x209529915103450200, 1770943484557x164806709481949200, 1744335958024x226211831616957250, 1750436264420x989591292213482400, 1753982403438x535213824960417500, 1771436045389x658317953644361100, 1752717497153x537286585580736960",,true,,,,,,,,,,,,,,impression
ba733db9-92e7-4b43-8103-f3ce0081d4a4,,2026-06-15 12:08:20.997000+00:00,ajs-next-1781525300997-3db992e7-ab43-4103-b3ce-0081d4a4f3ba,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.7444.163 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '145'}, {'brand': 'Not:A-Brand', 'version': '99'}]",False,Windows,"1744579851707x640487742075829500, 1753374338412x209529915103450200, 1770943484557x164806709481949200, 1744335958024x226211831616957250, 1750436264420x989591292213482400, 1753982403438x535213824960417500, 1771436045389x658317953644361100, 1752717497153x537286585580736960",,true,,,,,,,,,,,,,,impression
ba733db9-92e7-4b43-8103-f3ce0081d4a4,,2026-06-15 12:08:20.809000+00:00,ajs-next-1781525300809-21ba733d-b992-47ab-8341-03f3ce0081d4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.7444.163 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '145'}, {'brand': 'Not:A-Brand', 'version': '99'}]",False,Windows,,,,index,index,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,page
41b10675-c0a7-42ae-be95-1d6e73159077,,2026-06-15 14:26:12.739000+00:00,ajs-next-1781533572739-4441b106-75c0-4712-ae7e-951d6e731590,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.7444.163 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '145'}, {'brand': 'Not:A-Brand', 'version': '99'}]",False,Windows,,,,index,index,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,page
41b10675-c0a7-42ae-be95-1d6e73159077,,2026-06-15 14:26:13.060000+00:00,ajs-next-1781533573060-c0a712ae-7e95-4d6e-b315-90772b96d403,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.7444.163 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '145'}, {'brand': 'Not:A-Brand', 'version': '99'}]",False,Windows,"1771436045389x658317953644361100, 1753982403438x535213824960417500, 1770943484557x164806709481949200, 1744579851707x640487742075829500, 1750436264420x989591292213482400, 1752717497153x537286585580736960, 1753374338412x209529915103450200, 1744335958024x226211831616957250",,true,,,,,,,,,,,,,,impression
41b10675-c0a7-42ae-be95-1d6e73159077,,2026-06-15 14:26:12.751000+00:00,ajs-next-1781533572751-0675c0a7-12ae-4e95-9d6e-731590772b96,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.7444.163 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '145'}, {'brand': 'Not:A-Brand', 'version': '99'}]",False,Windows,"1771436045389x658317953644361100, 1753982403438x535213824960417500, 1770943484557x164806709481949200, 1744579851707x640487742075829500, 1750436264420x989591292213482400, 1752717497153x537286585580736960, 1753374338412x209529915103450200, 1744335958024x226211831616957250",,true,,,,,,,,,,,,,,impression
03d4091b-adbd-43ca-b044-65baf9665948,,2026-06-15 15:43:56.559000+00:00,ajs-next-1781538236559-3335eebc-a6d1-4145-8ee6-597a2701602f,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Safari/605.1.15",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Finance,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Finance,,,,1753982403438x535213824960417500,main_list,true,,,,,,,,,,,,,,impression
03d4091b-adbd-43ca-b044-65baf9665948,,2026-06-15 16:07:47.714000+00:00,ajs-next-1781539667714-f7c7924e-ad44-4291-aa4b-f980c08304ec,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Safari/605.1.15",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Finance,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Finance,,,,"1771436045389x658317953644361100, 1761919898226x928695665795906700, 1765991015203x350068785849064760, 1761762406893x958878656538368500, 1750784029587x963255839088365200, 1768584016102x834619843946063900, 1770152894907x464897480736850900, 1744134674881x127285411168640110, 1757369121056x350487849823425600, 1753982403438x535213824960417500, 1750785338983x949958887494882000, 1766011883106x917993758751800300, 1758312173588x895819358343598700, 1764963280733x431041418968701760, 1771003581692x955050931630977700, 1779207002005x542183775914824900, 1777405836126x277715594249416060, 1746827109704x963221719337950200, 1763672237927x725969385673238800, 1744391553368x301043576290850300, 1760458225389x690604949380638100, 1775244057768x699511577684581800, 1753135741395x558904608479141570, 1776360466250x658348247885801300, 1746635677548x343522492232585660",,false,,,,,,,,,,,,,,impression
03d4091b-adbd-43ca-b044-65baf9665948,,2026-06-15 15:42:44.605000+00:00,ajs-next-1781538164605-7a401e89-7c8a-4993-800b-28d0cc2e2725,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Safari/605.1.15",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Marketing%2FB2B,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Marketing%2FB2B,,,,1752717497153x537286585580736960,main_list,true,,,,,,,,,,,,,,impression
03d4091b-adbd-43ca-b044-65baf9665948,,2026-06-15 15:44:04.418000+00:00,ajs-next-1781538244418-bbf2ca07-34be-49cf-8b30-2c1aae9d9510,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Safari/605.1.15",/business_profile/gerwitz-consulting-llc-1753135741395x558904608479141570,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/gerwitz-consulting-llc-1753135741395x558904608479141570,,,,1753135741395x558904608479141570,,,profile,business_profile,/business_profile/gerwitz-consulting-llc-1753135741395x558904608479141570,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/gerwitz-consulting-llc-1753135741395x558904608479141570,profile,business_profile,,,,,page
03d4091b-adbd-43ca-b044-65baf9665948,,2026-06-15 16:04:09.860000+00:00,ajs-next-1781539449860-890fedd5-2b01-426c-a1a7-bd6658e08009,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Safari/605.1.15",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Finance,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Finance,,,,"1744391553368x301043576290850300, 1764963280733x431041418968701760, 1771003581692x955050931630977700, 1768584016102x834619843946063900, 1777405836126x277715594249416060, 1761919898226x928695665795906700, 1750784029587x963255839088365200, 1771436045389x658317953644361100, 1770152894907x464897480736850900, 1753982403438x535213824960417500, 1775244057768x699511577684581800, 1765991015203x350068785849064760, 1750785338983x949958887494882000, 1753135741395x558904608479141570, 1763672237927x725969385673238800, 1746827109704x963221719337950200, 1779207002005x542183775914824900, 1746635677548x343522492232585660, 1761762406893x958878656538368500, 1766011883106x917993758751800300, 1760458225389x690604949380638100, 1757369121056x350487849823425600, 1776360466250x658348247885801300, 1758312173588x895819358343598700, 1744134674881x127285411168640110",,false,,,,,,,,,,,,,,impression
03d4091b-adbd-43ca-b044-65baf9665948,,2026-06-15 16:04:19.764000+00:00,ajs-next-1781539459764-5d1cfa1c-acec-455e-b159-25dfe41524e4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Safari/605.1.15",/business_profile/gerwitz-consulting-llc-1753135741395x558904608479141570,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/gerwitz-consulting-llc-1753135741395x558904608479141570,,,,1753135741395x558904608479141570,,,profile,business_profile,/business_profile/gerwitz-consulting-llc-1753135741395x558904608479141570,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/gerwitz-consulting-llc-1753135741395x558904608479141570,profile,business_profile,,,,,page
03d4091b-adbd-43ca-b044-65baf9665948,,2026-06-15 16:15:19.385000+00:00,ajs-next-1781540119385-0c3042b2-a270-4325-bcef-83285bba6f52,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Safari/605.1.15",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Finance,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Finance,,,,"1768584016102x834619843946063900, 1771003581692x955050931630977700, 1770152894907x464897480736850900, 1766011883106x917993758751800300, 1750785338983x949958887494882000, 1775244057768x699511577684581800, 1779207002005x542183775914824900, 1746635677548x343522492232585660, 1753135741395x558904608479141570, 1744391553368x301043576290850300, 1763672237927x725969385673238800, 1765991015203x350068785849064760, 1771436045389x658317953644361100, 1750784029587x963255839088365200, 1757369121056x350487849823425600, 1758312173588x895819358343598700, 1753982403438x535213824960417500, 1761762406893x958878656538368500, 1764963280733x431041418968701760, 1744134674881x127285411168640110, 1760458225389x690604949380638100, 1746827109704x963221719337950200, 1761919898226x928695665795906700, 1777405836126x277715594249416060, 1776360466250x658348247885801300",,false,,,,,,,,,,,,,,impression
03d4091b-adbd-43ca-b044-65baf9665948,,2026-06-15 16:19:07.609000+00:00,ajs-next-1781540347609-5bba6f52-88fa-4263-bee2-75f7e24b3b14,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Safari/605.1.15",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,,,,"1777042863057x294476376362385400, 1770943484557x164806709481949200, 1755533063776x956164571796881400, 1759153763139x433792388290277000, 1755621956288x571897163769246900, 1775058462201x523059865418210800, 1754927931120x470668069008822300, 1745273541628x945470626229355500, 1759930025997x126109694575208930, 1763408145585x201322720695875870, 1744579851707x640487742075829500, 1768581853937x610498789092930300, 1776552489781x780158200693874000, 1746855895334x711816173120128000, 1744398484109x785674167096991400, 1751319669665x621437589169731200, 1754505203290x671062062407191900, 1759423986281x805514757919405700, 1744751205492x235134337285239230, 1747398900475x598159844147748100, 1747864432460x772931238395911000, 1747216018889x770977089491677400, 1750436264420x989591292213482400, 1753911193017x504194995643152640, 1744335958024x226211831616957250, 1749742920378x965836759111504900, 1744748222708x779656090283929300, 1750783674403x491887953737125700, 1763255155587x707008769292458900, 1763148950401x545361905340972600",,false,,,,,,,,,,,,,,impression
