messageId,userId,originalTimestamp,anonymousId,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,business_id,sponsored_listing,category,name,path,referrer,search,title,url,category_properties,name_properties,button_name,search_text,location,event_type
ajs-next-1781748880809-eb5aa1cf-cfce-4f64-a2cb-9992b95bed77,,2026-06-18 02:14:40.809000+00:00,d918f347-eb14-4eb2-a18e-6f5e1d834b86,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '146'}]",False,Windows,"1744335958024x226211831616957250, 1744579851707x640487742075829500, 1752717497153x537286585580736960, 1770943484557x164806709481949200, 1753982403438x535213824960417500, 1771436045389x658317953644361100, 1750436264420x989591292213482400, 1753374338412x209529915103450200",true,,,,,,,,,,,,,impression
ajs-next-1781748895189-c211e9f4-2e40-4905-9b66-ba063048b898,,2026-06-18 02:14:55.189000+00:00,d918f347-eb14-4eb2-a18e-6f5e1d834b86,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=electrical&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=electrical&category=,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '146'}]",False,Windows,1763148950401x545361905340972600,false,,,,,,,,,,,,,impression
ajs-next-1781748906648-75a2e18c-9330-4475-aec0-ead463ff12b7,,2026-06-18 02:15:06.648000+00:00,d918f347-eb14-4eb2-a18e-6f5e1d834b86,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",/business_profile/mfm-electrical-services--1763148950401x545361905340972600,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/mfm-electrical-services--1763148950401x545361905340972600,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '146'}]",False,Windows,1763148950401x545361905340972600,,profile,business_profile,/business_profile/mfm-electrical-services--1763148950401x545361905340972600,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/mfm-electrical-services--1763148950401x545361905340972600,profile,business_profile,,,,page
ajs-next-1781748880668-3b74eb5a-a1cf-4fce-bf64-e2cb9992b95b,,2026-06-18 02:14:40.668000+00:00,d918f347-eb14-4eb2-a18e-6f5e1d834b86,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '146'}]",False,Windows,,,index,index,/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,page
ajs-next-1781748880981-a1cfcfce-bf64-42cb-9992-b95bed77f465,,2026-06-18 02:14:40.981000+00:00,d918f347-eb14-4eb2-a18e-6f5e1d834b86,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '146'}]",False,Windows,"1744335958024x226211831616957250, 1744579851707x640487742075829500, 1752717497153x537286585580736960, 1770943484557x164806709481949200, 1753982403438x535213824960417500, 1771436045389x658317953644361100, 1750436264420x989591292213482400, 1753374338412x209529915103450200",true,,,,,,,,,,,,,impression
ajs-next-1781748905058-e9f42e40-5905-4b66-ba06-3048b898de5b,,2026-06-18 02:15:05.058000+00:00,d918f347-eb14-4eb2-a18e-6f5e1d834b86,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=electrical&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=electrical&category=,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '146'}]",False,Windows,1763148950401x545361905340972600,false,,,,,,,,,,more_info_text,,,button_click
ajs-next-1781748892474-bf64e2cb-9992-495b-ad77-f465231e5f0c,,2026-06-18 02:14:52.474000+00:00,d918f347-eb14-4eb2-a18e-6f5e1d834b86,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '146'}]",False,Windows,,,,,,,,,,,,,electrical,,search
ajs-next-1781748894565-fb809e47-c211-49f4-ae40-59059b66ba06,,2026-06-18 02:14:54.564000+00:00,d918f347-eb14-4eb2-a18e-6f5e1d834b86,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=electrical&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=electrical&category=,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '146'}]",False,Windows,,true,,,,,,,,,,,,sidebar,impression
ajs-next-1781748894256-9266fb80-9e47-4211-a9f4-2e4059059b66,,2026-06-18 02:14:54.255000+00:00,d918f347-eb14-4eb2-a18e-6f5e1d834b86,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=electrical&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=electrical&category=,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '146'}]",False,Windows,,,search,search,/search,https://coloradocatholicbusinessdirectory.com/,?query=electrical&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=electrical&category=,search,search,,,,page
ajs-next-1781748892164-cfcebf64-e2cb-4992-b95b-ed77f465231e,,2026-06-18 02:14:52.164000+00:00,d918f347-eb14-4eb2-a18e-6f5e1d834b86,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '146'}]",False,Windows,,,,,,,,,,,,search,,,button_click
