anonymousId,messageId,name,userId,category,originalTimestamp,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,business_id,category_properties,name_properties,sponsored_listing,location,button_name,search_text,traits,event_type
d918f347-eb14-4eb2-a18e-6f5e1d834b86,ajs-next-1782266099190-85fe0824-60af-43ea-9017-06e01c5dd35b,business_profile,,profile,2026-06-24 01:54:59.190000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",/business_profile/mfm-electrical-services--1763148950401x545361905340972600,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/mfm-electrical-services--1763148950401x545361905340972600,"[{'brand': 'Chromium', 'version': '146'}, {'brand': 'Not-A.Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '146'}]",False,Windows,/business_profile/mfm-electrical-services--1763148950401x545361905340972600,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/mfm-electrical-services--1763148950401x545361905340972600,1763148950401x545361905340972600,profile,business_profile,,,,,,page
22ffcff4-cd4c-4804-8131-a4100bb70b36,ajs-next-1782267506250-b922ffcf-f4cd-4c88-8401-31a4100bb70b,business_profile,,profile,2026-06-24 02:18:26.250000+00:00,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/136.0.0.0 Safari/537.36",/business_profile/asset-protection-services-of-colorado-1750785338983x949958887494882000,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/asset-protection-services-of-colorado-1750785338983x949958887494882000,[],False,,/business_profile/asset-protection-services-of-colorado-1750785338983x949958887494882000,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/asset-protection-services-of-colorado-1750785338983x949958887494882000,1750785338983x949958887494882000,profile,business_profile,,,,,,page
eae8663e-4120-473c-a196-9a68070d7d16,ajs-next-1782274350677-1deae866-3e41-4037-bce1-969a68070d7d,index,,index,2026-06-24 04:12:30.677000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_5_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/149.0.4022.68 Version/26.0 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,index,index,,,,,,page
eae8663e-4120-473c-a196-9a68070d7d16,ajs-next-1782274351201-663e4120-373c-4196-9a68-070d7d16a96a,,,,2026-06-24 04:12:31.201000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_5_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/149.0.4022.68 Version/26.0 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,"1744335958024x226211831616957250, 1752717497153x537286585580736960, 1770943484557x164806709481949200, 1750436264420x989591292213482400, 1753982403438x535213824960417500, 1781830336957x808577548450478500, 1744579851707x640487742075829500, 1771436045389x658317953644361100, 1753374338412x209529915103450200",,,true,,,,,impression
d918f347-eb14-4eb2-a18e-6f5e1d834b86,ajs-next-1782300881644-d60532a8-33d5-4ade-935f-fc5a88d8b29a,business_profile,,profile,2026-06-24 11:34:41.644000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",/business_profile/mfm-electrical-services--1763148950401x545361905340972600,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/mfm-electrical-services--1763148950401x545361905340972600,"[{'brand': 'Google Chrome', 'version': '149'}, {'brand': 'Chromium', 'version': '149'}, {'brand': 'Not)A;Brand', 'version': '24'}]",False,Windows,/business_profile/mfm-electrical-services--1763148950401x545361905340972600,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/mfm-electrical-services--1763148950401x545361905340972600,1763148950401x545361905340972600,profile,business_profile,,,,,,page
e9f3ad97-fd53-4824-9325-bd65f1b5dee8,ajs-next-1782302776637-ad97fd53-7824-4325-bd65-f1b5dee81a55,,,,2026-06-24 12:06:16.637000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_5_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/149.0.4022.80 Version/26.0 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,"1744579851707x640487742075829500, 1752717497153x537286585580736960, 1770943484557x164806709481949200, 1753982403438x535213824960417500, 1750436264420x989591292213482400, 1744335958024x226211831616957250, 1753374338412x209529915103450200, 1771436045389x658317953644361100, 1781830336957x808577548450478500",,,true,,,,,impression
e9f3ad97-fd53-4824-9325-bd65f1b5dee8,ajs-next-1782302776149-0de9f3ad-97fd-4378-a493-25bd65f1b5de,index,,index,2026-06-24 12:06:16.149000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_5_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/149.0.4022.80 Version/26.0 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,index,index,,,,,,page
737623c1-5a25-4794-b2f2-828a4fbec906,ajs-next-1782312102472-91737623-c15a-45f7-9432-f2828a4fbec9,business_profile,,profile,2026-06-24 14:41:42.472000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1",/business_profile/humble-energy-services-llc-1748581534531x956271769254002200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/humble-energy-services-llc-1748581534531x956271769254002200,,,,/business_profile/humble-energy-services-llc-1748581534531x956271769254002200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/humble-energy-services-llc-1748581534531x956271769254002200,1748581534531x956271769254002200,profile,business_profile,,,,,,page
b68cb3d4-19c7-46b8-972c-e9cf2d442dcf,ajs-next-1782316062407-a8094fe9-78ce-423a-b155-335a17a16d84,,,,2026-06-24 15:47:42.407000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,"[{'brand': 'Google Chrome', 'version': '149'}, {'brand': 'Chromium', 'version': '149'}, {'brand': 'Not)A;Brand', 'version': '24'}]",False,Windows,,,,,,,,,true,sidebar,,,,impression
b68cb3d4-19c7-46b8-972c-e9cf2d442dcf,ajs-next-1782316051966-8f1fac36-2599-4d4d-ae48-3f77c6cade83,,,,2026-06-24 15:47:31.966000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Google Chrome', 'version': '149'}, {'brand': 'Chromium', 'version': '149'}, {'brand': 'Not)A;Brand', 'version': '24'}]",False,Windows,,,,,,"1744579851707x640487742075829500, 1753374338412x209529915103450200, 1752717497153x537286585580736960, 1753982403438x535213824960417500, 1744335958024x226211831616957250, 1770943484557x164806709481949200, 1771436045389x658317953644361100, 1750436264420x989591292213482400, 1781830336957x808577548450478500",,,true,,,,,impression
b68cb3d4-19c7-46b8-972c-e9cf2d442dcf,ajs-next-1782316075381-335a17a1-6d84-4e14-8db6-7c92a4429bfe,,,,2026-06-24 15:47:55.381000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,"[{'brand': 'Google Chrome', 'version': '149'}, {'brand': 'Chromium', 'version': '149'}, {'brand': 'Not)A;Brand', 'version': '24'}]",False,Windows,,,,,,,,,,,map_maker,,,button_click
b68cb3d4-19c7-46b8-972c-e9cf2d442dcf,ajs-next-1782316081268-6d841e14-8db6-4c92-a442-9bfe59b0bb3b,,,,2026-06-24 15:48:01.268000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,"[{'brand': 'Google Chrome', 'version': '149'}, {'brand': 'Chromium', 'version': '149'}, {'brand': 'Not)A;Brand', 'version': '24'}]",False,Windows,,,,,,,,,,,map_maker,,,button_click
b68cb3d4-19c7-46b8-972c-e9cf2d442dcf,ajs-next-1782316062710-4fe978ce-a23a-4155-b35a-17a16d841e14,,,,2026-06-24 15:47:42.710000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,"[{'brand': 'Google Chrome', 'version': '149'}, {'brand': 'Chromium', 'version': '149'}, {'brand': 'Not)A;Brand', 'version': '24'}]",False,Windows,,,,,,1753374338412x209529915103450200,,,true,main_list,,,,impression
