messageId,name,userId,originalTimestamp,anonymousId,category,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,business_id,category_properties,name_properties,sponsored_listing,location,event_type
ajs-next-1782766796666-457a21e7-0c78-4ed5-bf4a-9d34500db04e,business_profile,,2026-06-29 20:59:56.666000+00:00,7a21e70c-781e-453f-8a9d-34500db04e35,profile,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",/business_profile/fidelis-catholic-credit-union-1753982403438x535213824960417500,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/fidelis-catholic-credit-union-1753982403438x535213824960417500,"[{'brand': 'Chromium', 'version': '148'}, {'brand': 'HeadlessChrome', 'version': '148'}, {'brand': 'Not/A)Brand', 'version': '99'}]",False,Linux,/business_profile/fidelis-catholic-credit-union-1753982403438x535213824960417500,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/fidelis-catholic-credit-union-1753982403438x535213824960417500,1753982403438x535213824960417500,profile,business_profile,,,page
ajs-next-1782772201807-c6f8e6a3-8707-44e4-816f-198e130eb5d2,,,2026-06-29 22:30:01.807000+00:00,ac09b7e1-0d81-4ffb-9f8b-da22572b7a79,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",/search,,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,"[{'brand': 'Google Chrome', 'version': '149'}, {'brand': 'Chromium', 'version': '149'}, {'brand': 'Not)A;Brand', 'version': '24'}]",False,macOS,,,,,,"1750436264420x989591292213482400, 1763408145585x201322720695875870, 1747398900475x598159844147748100, 1744748222708x779656090283929300, 1763148950401x545361905340972600, 1747216018889x770977089491677400, 1751319669665x621437589169731200, 1755621956288x571897163769246900, 1776552489781x780158200693874000, 1744751205492x235134337285239230, 1777042863057x294476376362385400, 1744579851707x640487742075829500, 1775058462201x523059865418210800, 1759423986281x805514757919405700, 1749742920378x965836759111504900, 1750783674403x491887953737125700, 1744335958024x226211831616957250, 1755533063776x956164571796881400, 1746855895334x711816173120128000, 1768581853937x610498789092930300, 1759153763139x433792388290277000, 1754927931120x470668069008822300, 1759930025997x126109694575208930, 1744398484109x785674167096991400, 1754505203290x671062062407191900, 1763255155587x707008769292458900, 1753911193017x504194995643152640, 1747864432460x772931238395911000, 1770943484557x164806709481949200, 1745273541628x945470626229355500",,,false,,impression
ajs-next-1782772201763-6bb4c6f8-e6a3-4707-84e4-c16f198e130e,,,2026-06-29 22:30:01.763000+00:00,ac09b7e1-0d81-4ffb-9f8b-da22572b7a79,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",/search,,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,"[{'brand': 'Google Chrome', 'version': '149'}, {'brand': 'Chromium', 'version': '149'}, {'brand': 'Not)A;Brand', 'version': '24'}]",False,macOS,,,,,,1750436264420x989591292213482400,,,true,main_list,impression
ajs-next-1782772197666-c8aad7d7-dec6-4035-a50e-71a637610706,search,,2026-06-29 22:29:57.666000+00:00,ac09b7e1-0d81-4ffb-9f8b-da22572b7a79,search,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",/search,,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,"[{'brand': 'Google Chrome', 'version': '149'}, {'brand': 'Chromium', 'version': '149'}, {'brand': 'Not)A;Brand', 'version': '24'}]",False,macOS,/search,,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,,search,search,,,page
ajs-next-1782772201967-e6a38707-84e4-416f-998e-130eb5d2da17,,,2026-06-29 22:30:01.967000+00:00,ac09b7e1-0d81-4ffb-9f8b-da22572b7a79,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",/search,,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,"[{'brand': 'Google Chrome', 'version': '149'}, {'brand': 'Chromium', 'version': '149'}, {'brand': 'Not)A;Brand', 'version': '24'}]",False,macOS,,,,,,"1750436264420x989591292213482400, 1763408145585x201322720695875870, 1747398900475x598159844147748100, 1744748222708x779656090283929300, 1763148950401x545361905340972600, 1747216018889x770977089491677400, 1751319669665x621437589169731200, 1755621956288x571897163769246900, 1776552489781x780158200693874000, 1744751205492x235134337285239230, 1777042863057x294476376362385400, 1744579851707x640487742075829500, 1775058462201x523059865418210800, 1759423986281x805514757919405700, 1749742920378x965836759111504900, 1750783674403x491887953737125700, 1744335958024x226211831616957250, 1755533063776x956164571796881400, 1746855895334x711816173120128000, 1768581853937x610498789092930300, 1759153763139x433792388290277000, 1754927931120x470668069008822300, 1759930025997x126109694575208930, 1744398484109x785674167096991400, 1754505203290x671062062407191900, 1763255155587x707008769292458900, 1753911193017x504194995643152640, 1747864432460x772931238395911000, 1770943484557x164806709481949200, 1745273541628x945470626229355500",,,false,,impression
ajs-next-1782772198324-d7d7dec6-b035-450e-b1a6-376107066bb4,,,2026-06-29 22:29:58.324000+00:00,ac09b7e1-0d81-4ffb-9f8b-da22572b7a79,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",/search,,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,"[{'brand': 'Google Chrome', 'version': '149'}, {'brand': 'Chromium', 'version': '149'}, {'brand': 'Not)A;Brand', 'version': '24'}]",False,macOS,,,,,,,,,true,sidebar,impression
ajs-next-1782772201322-37610706-6bb4-46f8-a6a3-870784e4c16f,,,2026-06-29 22:30:01.322000+00:00,ac09b7e1-0d81-4ffb-9f8b-da22572b7a79,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",/search,,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,"[{'brand': 'Google Chrome', 'version': '149'}, {'brand': 'Chromium', 'version': '149'}, {'brand': 'Not)A;Brand', 'version': '24'}]",False,macOS,,,,,,1750436264420x989591292213482400,,,true,main_list,impression
ajs-next-1782772202396-84e4c16f-198e-430e-b5d2-da1762df1a66,,,2026-06-29 22:30:02.396000+00:00,ac09b7e1-0d81-4ffb-9f8b-da22572b7a79,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",/search,,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,"[{'brand': 'Google Chrome', 'version': '149'}, {'brand': 'Chromium', 'version': '149'}, {'brand': 'Not)A;Brand', 'version': '24'}]",False,macOS,,,,,,"1750436264420x989591292213482400, 1763408145585x201322720695875870, 1747398900475x598159844147748100, 1744748222708x779656090283929300, 1763148950401x545361905340972600, 1747216018889x770977089491677400, 1751319669665x621437589169731200, 1755621956288x571897163769246900, 1776552489781x780158200693874000, 1744751205492x235134337285239230, 1777042863057x294476376362385400, 1744579851707x640487742075829500, 1775058462201x523059865418210800, 1759423986281x805514757919405700, 1749742920378x965836759111504900, 1750783674403x491887953737125700, 1744335958024x226211831616957250, 1755533063776x956164571796881400, 1746855895334x711816173120128000, 1768581853937x610498789092930300, 1759153763139x433792388290277000, 1754927931120x470668069008822300, 1759930025997x126109694575208930, 1744398484109x785674167096991400, 1754505203290x671062062407191900, 1763255155587x707008769292458900, 1753911193017x504194995643152640, 1747864432460x772931238395911000, 1770943484557x164806709481949200, 1745273541628x945470626229355500",,,false,,impression
ajs-next-1782772202323-870784e4-c16f-498e-930e-b5d2da1762df,,,2026-06-29 22:30:02.323000+00:00,ac09b7e1-0d81-4ffb-9f8b-da22572b7a79,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",/search,,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,"[{'brand': 'Google Chrome', 'version': '149'}, {'brand': 'Chromium', 'version': '149'}, {'brand': 'Not)A;Brand', 'version': '24'}]",False,macOS,,,,,,"1750436264420x989591292213482400, 1763408145585x201322720695875870, 1747398900475x598159844147748100, 1744748222708x779656090283929300, 1763148950401x545361905340972600, 1747216018889x770977089491677400, 1751319669665x621437589169731200, 1755621956288x571897163769246900, 1776552489781x780158200693874000, 1744751205492x235134337285239230, 1777042863057x294476376362385400, 1744579851707x640487742075829500, 1775058462201x523059865418210800, 1759423986281x805514757919405700, 1749742920378x965836759111504900, 1750783674403x491887953737125700, 1744335958024x226211831616957250, 1755533063776x956164571796881400, 1746855895334x711816173120128000, 1768581853937x610498789092930300, 1759153763139x433792388290277000, 1754927931120x470668069008822300, 1759930025997x126109694575208930, 1744398484109x785674167096991400, 1754505203290x671062062407191900, 1763255155587x707008769292458900, 1753911193017x504194995643152640, 1747864432460x772931238395911000, 1770943484557x164806709481949200, 1745273541628x945470626229355500",,,false,,impression
ajs-next-1782772200285-a50e71a6-3761-4706-abb4-c6f8e6a38707,,,2026-06-29 22:30:00.285000+00:00,ac09b7e1-0d81-4ffb-9f8b-da22572b7a79,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",/search,,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,"[{'brand': 'Google Chrome', 'version': '149'}, {'brand': 'Chromium', 'version': '149'}, {'brand': 'Not)A;Brand', 'version': '24'}]",False,macOS,,,,,,1750436264420x989591292213482400,,,true,main_list,impression
