userId,anonymousId,category,originalTimestamp,messageId,name,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,business_id,category_properties,name_properties,location,sponsored_listing,button_name,city,search_text,parish,event_type
,71001a6d-4bb7-4c88-a29a-859079956764,profile,2026-07-10 20:31:30.072000+00:00,ajs-next-1783715490072-179dd7a0-5ce9-4500-a086-65a130a25518,business_profile,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",/business_profile/solomons-toolbox-1750436264420x989591292213482400,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/solomons-toolbox-1750436264420x989591292213482400,"[{'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '150'}, {'brand': 'Google Chrome', 'version': '150'}]",False,macOS,/business_profile/solomons-toolbox-1750436264420x989591292213482400,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/solomons-toolbox-1750436264420x989591292213482400,1750436264420x989591292213482400,profile,business_profile,,,,,,,page
,71001a6d-4bb7-4c88-a29a-859079956764,search,2026-07-10 20:31:36.950000+00:00,ajs-next-1783715496950-a7261245-20fb-47c6-bff1-e915b9001c22,search,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,"[{'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '150'}, {'brand': 'Google Chrome', 'version': '150'}]",False,macOS,/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,search,search,,,,,,,page
,71001a6d-4bb7-4c88-a29a-859079956764,,2026-07-10 20:32:08.244000+00:00,ajs-next-1783715528244-74021c05-919b-4ac6-91bd-1f1f0d48c938,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Health%20%26%20Wellness,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Health%20%26%20Wellness,"[{'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '150'}, {'brand': 'Google Chrome', 'version': '150'}]",False,macOS,,,,,,,,,sidebar,true,,,,,impression
,71001a6d-4bb7-4c88-a29a-859079956764,,2026-07-10 20:31:51.599000+00:00,ajs-next-1783715511599-1c225b4b-3413-4d70-8852-474967df1cd4,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Food%20%26%20Restaurants,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Food%20%26%20Restaurants,"[{'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '150'}, {'brand': 'Google Chrome', 'version': '150'}]",False,macOS,,,,,,,,,sidebar,true,,,,,impression
,71001a6d-4bb7-4c88-a29a-859079956764,search,2026-07-10 20:31:51.296000+00:00,ajs-next-1783715511296-b9001c22-5b4b-4413-ad70-c852474967df,search,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Food%20%26%20Restaurants,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Food%20%26%20Restaurants,"[{'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '150'}, {'brand': 'Google Chrome', 'version': '150'}]",False,macOS,/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Food%20%26%20Restaurants,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Food%20%26%20Restaurants,,search,search,,,,,,,page
,71001a6d-4bb7-4c88-a29a-859079956764,,2026-07-10 20:31:55.271000+00:00,ajs-next-1783715515271-d02b1949-ccd2-4818-81c8-0f5774021c05,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Food%20%26%20Restaurants,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Food%20%26%20Restaurants,"[{'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '150'}, {'brand': 'Google Chrome', 'version': '150'}]",False,macOS,,,,,,,,,sidebar,true,,,,,impression
,71001a6d-4bb7-4c88-a29a-859079956764,,2026-07-10 20:30:49.694000+00:00,ajs-next-1783715449694-4bb7ec88-a29a-4590-b995-67641091bed5,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '150'}, {'brand': 'Google Chrome', 'version': '150'}]",False,macOS,,,,,,"1752717497153x537286585580736960, 1750436264420x989591292213482400, 1770943484557x164806709481949200, 1744643921578x315333816253624100, 1781830336957x808577548450478500, 1744579851707x640487742075829500, 1771436045389x658317953644361100, 1753374338412x209529915103450200, 1744335958024x226211831616957250, 1753982403438x535213824960417500",,,,true,,,,,impression
,71001a6d-4bb7-4c88-a29a-859079956764,,2026-07-10 20:32:08.545000+00:00,ajs-next-1783715528545-1c05919b-5ac6-41bd-9f1f-0d48c938490d,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Health%20%26%20Wellness,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Health%20%26%20Wellness,"[{'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '150'}, {'brand': 'Google Chrome', 'version': '150'}]",False,macOS,,,,,,,,,main_list,true,,,,,impression
,71001a6d-4bb7-4c88-a29a-859079956764,profile,2026-07-10 20:32:31.805000+00:00,ajs-next-1783715551805-9eb8ca71-67c9-4c85-81aa-fec857a156a3,business_profile,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",/business_profile/denver-catholic-counseling-1744740154739x566945822952470660,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/denver-catholic-counseling-1744740154739x566945822952470660,"[{'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '150'}, {'brand': 'Google Chrome', 'version': '150'}]",False,macOS,/business_profile/denver-catholic-counseling-1744740154739x566945822952470660,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/denver-catholic-counseling-1744740154739x566945822952470660,1744740154739x566945822952470660,profile,business_profile,,,,,,,page
,71001a6d-4bb7-4c88-a29a-859079956764,,2026-07-10 20:31:52.206000+00:00,ajs-next-1783715512206-3413ed70-c852-4749-a7df-1cd4f85ffcb0,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Food%20%26%20Restaurants,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Food%20%26%20Restaurants,"[{'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '150'}, {'brand': 'Google Chrome', 'version': '150'}]",False,macOS,,,,,,"1743549178851x847080663521240200, 1751749348389x952656707958261400, 1772982809798x739419868972941400",,,,false,,,,,impression
