messageId,originalTimestamp,anonymousId,userId,userAgent,page.path,page.referrer,page.search,page.title,page.url,business_id,sponsored_listing,category,city,search_text,location,parish,name,path,referrer,search,title,url,category_properties,name_properties,button_name,userAgentData.brands,userAgentData.mobile,userAgentData.platform,traits,email,event_type
ajs-next-1785457521768-adf5bd2f-bffe-4b72-acce-0535c4cb8d38,2026-07-31 00:25:21.768000+00:00,5864adf5-bd2f-4ffe-bb72-6cce0535c4cb,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5.2 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"1750436264420x989591292213482400, 1744579851707x640487742075829500, 1770943484557x164806709481949200, 1753982403438x535213824960417500, 1744335958024x226211831616957250, 1781830336957x808577548450478500, 1744643921578x315333816253624100, 1771436045389x658317953644361100, 1752717497153x537286585580736960, 1753374338412x209529915103450200",true,,,,,,,,,,,,,,,,,,,,impression
ajs-next-1785460270064-1686df0e-3d3d-4d70-843d-0909651fb8ca,2026-07-31 01:11:10.064000+00:00,5864adf5-bd2f-4ffe-bb72-6cce0535c4cb,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5.2 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Food%20%26%20Restaurants,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Food%20%26%20Restaurants,,,Health & Wellness,,,main_search,,,,,,,,,,,,,,,,search
ajs-next-1785457515301-341bff5b-24b6-474f-b027-527ada754f66,2026-07-31 00:25:15.301000+00:00,dbde341b-ff5b-44b6-a74f-f027527ada75,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/,https://www.google.com/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"1744579851707x640487742075829500, 1744335958024x226211831616957250, 1750436264420x989591292213482400, 1771436045389x658317953644361100, 1752717497153x537286585580736960, 1753982403438x535213824960417500, 1753374338412x209529915103450200, 1770943484557x164806709481949200, 1781830336957x808577548450478500, 1744643921578x315333816253624100",true,,,,,,,,,,,,,,,,,,,,impression
ajs-next-1785460270382-df0e3d3d-5d70-443d-8909-651fb8ca7e24,2026-07-31 01:11:10.382000+00:00,5864adf5-bd2f-4ffe-bb72-6cce0535c4cb,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5.2 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Health%20%26%20Wellness,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Health%20%26%20Wellness,,,search,,,,,search,/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Health%20%26%20Wellness,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Health%20%26%20Wellness,search,search,,,,,,,page
ajs-next-1785457515299-72dbde34-1bff-4b24-b6a7-4ff027527ada,2026-07-31 00:25:15.299000+00:00,dbde341b-ff5b-44b6-a74f-f027527ada75,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/,https://www.google.com/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,index,,,,,index,/,https://www.google.com/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,,page
ajs-next-1785457516003-ff5b24b6-a74f-4027-927a-da754f66eb68,2026-07-31 00:25:16.003000+00:00,dbde341b-ff5b-44b6-a74f-f027527ada75,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",/,https://www.google.com/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"1744579851707x640487742075829500, 1744335958024x226211831616957250, 1750436264420x989591292213482400, 1771436045389x658317953644361100, 1752717497153x537286585580736960, 1753982403438x535213824960417500, 1753374338412x209529915103450200, 1770943484557x164806709481949200, 1781830336957x808577548450478500, 1744643921578x315333816253624100",true,,,,,,,,,,,,,,,,,,,,impression
ajs-next-1785460199760-a5dc0d41-1ab2-46af-b3cd-1686df0e3d3d,2026-07-31 01:09:59.760000+00:00,5864adf5-bd2f-4ffe-bb72-6cce0535c4cb,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5.2 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Food%20%26%20Restaurants,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Food%20%26%20Restaurants,,,search,,,,,search,/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Food%20%26%20Restaurants,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Food%20%26%20Restaurants,search,search,,,,,,,page
ajs-next-1785457521771-bd2fbffe-3b72-4cce-8535-c4cb8d386f94,2026-07-31 00:25:21.771000+00:00,5864adf5-bd2f-4ffe-bb72-6cce0535c4cb,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5.2 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"1750436264420x989591292213482400, 1744579851707x640487742075829500, 1770943484557x164806709481949200, 1753982403438x535213824960417500, 1744335958024x226211831616957250, 1781830336957x808577548450478500, 1744643921578x315333816253624100, 1771436045389x658317953644361100, 1752717497153x537286585580736960, 1753374338412x209529915103450200",true,,,,,,,,,,,,,,,,,,,,impression
ajs-next-1785457521447-2e5864ad-f5bd-4fbf-be3b-726cce0535c4,2026-07-31 00:25:21.447000+00:00,5864adf5-bd2f-4ffe-bb72-6cce0535c4cb,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5.2 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,index,,,,,index,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,,page
ajs-next-1785460200366-1ab2f6af-f3cd-4686-9f0e-3d3d5d70843d,2026-07-31 01:10:00.366000+00:00,5864adf5-bd2f-4ffe-bb72-6cce0535c4cb,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5.2 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Food%20%26%20Restaurants,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Food%20%26%20Restaurants,,true,,,,main_list,,,,,,,,,,,,,,,,impression
