messageId,category,anonymousId,originalTimestamp,name,userId,userAgent,page.path,page.referrer,page.search,page.title,page.url,path,referrer,search,title,url,business_id,category_properties,name_properties,location,sponsored_listing,traits,button_name,input_value,input_num,input_name,email,city,search_text,parish,address,other_category,description,display_email,business_name,main_category,phone,sub_category,website,userAgentData.brands,userAgentData.mobile,userAgentData.platform,event_type
ajs-next-1786062651659-4d68a5e5-76cc-4382-b331-5a6d1de5a2aa,profile,8b22555e-1c9c-4460-8222-18026ddf5c87,2026-08-07 00:30:51.659000+00:00,business_profile,,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_5_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/150.0.7871.113 Mobile/15E148 Safari/604.1",/business_profile/og-health-1771433486472x495156137805681660,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/og-health-1771433486472x495156137805681660,/business_profile/og-health-1771433486472x495156137805681660,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/og-health-1771433486472x495156137805681660,1771433486472x495156137805681660,profile,business_profile,,,,,,,,,,,,,,,,,,,,,,,,page
ajs-next-1786065038757-dfca6bbe-cb5f-413e-874a-5acd6883e50e,,5e230864-4843-4bb8-9b61-9b5675fa45db,2026-08-07 01:10:38.757000+00:00,,1786064042259x692870208226282400,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,,,,,,,,sidebar,true,,,,,,,,,,,,,,,,,,,,,,impression
ajs-next-1786062612566-b40e0339-0b71-4bd8-886e-cbb52393f887,,8b22555e-1c9c-4460-8222-18026ddf5c87,2026-08-07 00:30:12.566000+00:00,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_5_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/150.0.7871.113 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,,,,,1781830336957x808577548450478500,,,main_list,true,,,,,,,,,,,,,,,,,,,,,,impression
ajs-next-1786062635412-886ecbb5-2393-4887-9414-4d32e26bd7dc,,8b22555e-1c9c-4460-8222-18026ddf5c87,2026-08-07 00:30:35.412000+00:00,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_5_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/150.0.7871.113 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,,,,,,,,,,,map_maker,,,,,,,,,,,,,,,,,,,,button_click
ajs-next-1786064758069-eb94cec2-6854-4c6c-9acc-4bd02a3f9f0c,dashboard,5e230864-4843-4bb8-9b61-9b5675fa45db,2026-08-07 01:05:58.069000+00:00,dashboard,1786064042259x692870208226282400,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6 Mobile/15E148 Safari/604.1",/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,1786064042259x692870208226282400,dashboard,dashboard,,,,,,,,,,,,,,,,,,,,,,,,page
ajs-next-1786064873368-9c12634a-6a28-4399-89d1-7977fda5a4bf,,5e230864-4843-4bb8-9b61-9b5675fa45db,2026-08-07 01:07:53.368000+00:00,,1786064042259x692870208226282400,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6 Mobile/15E148 Safari/604.1",/business_profile/mabel-liz-photography,https://coloradocatholicbusinessdirectory.com/,,Mabel Liz Photography | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/mabel-liz-photography,,,,,,,,,,,"{'business_id': '1786064042259x692870208226282400', 'email': 'mabellizphotography@gmail.com', 'is_logged_in': True}",,,,,,,,,,,,,,,,,,,,,identify
ajs-next-1786062624943-3bd8886e-cbb5-4393-b887-14144d32e26b,,8b22555e-1c9c-4460-8222-18026ddf5c87,2026-08-07 00:30:24.943000+00:00,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_5_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/150.0.7871.113 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,,,,,,,,,,,map_maker,,,,,,,,,,,,,,,,,,,,button_click
ajs-next-1786065024531-67218aba-2d71-4dc8-b613-65c58be3ca12,,5e230864-4843-4bb8-9b61-9b5675fa45db,2026-08-07 01:10:24.531000+00:00,,1786064042259x692870208226282400,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Gave%20fuerte&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Gave%20fuerte&category=,,,,,,,,,sidebar,true,,,,,,,,,,,,,,,,,,,,,,impression
ajs-next-1786065126584-faf151f2-b3a0-4270-af9f-3ae57ca80b1e,,5e230864-4843-4bb8-9b61-9b5675fa45db,2026-08-07 01:12:06.584000+00:00,,1786064042259x692870208226282400,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=Photographer%20&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Photographer%20&category=,,,,,,1781830336957x808577548450478500,,,main_list,true,,,,,,,,,,,,,,,,,,,,,,impression
ajs-next-1786062611959-b3b057c2-b40e-4339-8b71-3bd8886ecbb5,search,8b22555e-1c9c-4460-8222-18026ddf5c87,2026-08-07 00:30:11.959000+00:00,search,,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_5_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/150.0.7871.113 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,/search,https://coloradocatholicbusinessdirectory.com/,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,search,search,,,,,,,,,,,,,,,,,,,,,,,,page
ajs-next-1786064325564-9c6d31cf-43e9-4c84-8dce-6ed6d05e5846,,5e230864-4843-4bb8-9b61-9b5675fa45db,2026-08-07 00:58:45.564000+00:00,,1786064042259x692870208226282400,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6 Mobile/15E148 Safari/604.1",/dashboard,https://coloradocatholicbusinessdirectory.com/,?view=list,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/dashboard?view=list,,,,,,1786064042259x692870208226282400,,,,,,,mabellizphotography.com,6,website,,,,,,,,,,,,,,,,,input_changed
