messageId,originalTimestamp,name,category,userId,anonymousId,userAgent,page.path,page.referrer,page.search,page.title,page.url,path,referrer,search,title,url,category_properties,name_properties,business_id,sponsored_listing,userAgentData.brands,userAgentData.mobile,userAgentData.platform,location,search_text,button_name,traits,city,parish,email,event_type
ajs-next-1786589635332-1f679df0-66cc-4587-beb9-aa6fa6bae3a3,2026-08-13 02:53:55.332000+00:00,index,index,,679df066-cc85-477e-b9aa-6fa6bae3a3b2,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6 Safari/605.1.15",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,,,,,,,,page
ajs-next-1786589635662-f066cc85-877e-49aa-afa6-bae3a3b2be74,2026-08-13 02:53:55.662000+00:00,,,,679df066-cc85-477e-b9aa-6fa6bae3a3b2,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6 Safari/605.1.15",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,"1770943484557x164806709481949200, 1744579851707x640487742075829500, 1744643921578x315333816253624100, 1781830336957x808577548450478500, 1752717497153x537286585580736960, 1771436045389x658317953644361100",true,,,,,,,,,,,impression
ajs-next-1786589635667-cc85877e-b9aa-4fa6-bae3-a3b2be741475,2026-08-13 02:53:55.667000+00:00,,,,679df066-cc85-477e-b9aa-6fa6bae3a3b2,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6 Safari/605.1.15",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,"1770943484557x164806709481949200, 1744579851707x640487742075829500, 1744643921578x315333816253624100, 1781830336957x808577548450478500, 1752717497153x537286585580736960, 1771436045389x658317953644361100",true,,,,,,,,,,,impression
ajs-next-1786593698324-42ba34ec-534c-4241-988f-f28819a57fda,2026-08-13 04:01:38.324000+00:00,,,,a14c8142-42ba-44ec-934c-e241188ff288,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,"1781830336957x808577548450478500, 1744579851707x640487742075829500, 1744643921578x315333816253624100, 1770943484557x164806709481949200, 1752717497153x537286585580736960, 1771436045389x658317953644361100",true,"[{'brand': 'Not=A?Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '151'}, {'brand': 'Chromium', 'version': '151'}]",False,Windows,,,,,,,,impression
ajs-next-1786593698020-d0a14c81-4242-4a34-ac53-4ce241188ff2,2026-08-13 04:01:38.020000+00:00,index,index,,a14c8142-42ba-44ec-934c-e241188ff288,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,"[{'brand': 'Not=A?Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '151'}, {'brand': 'Chromium', 'version': '151'}]",False,Windows,,,,,,,,page
ajs-next-1786593698026-814242ba-34ec-434c-a241-188ff28819a5,2026-08-13 04:01:38.026000+00:00,,,,a14c8142-42ba-44ec-934c-e241188ff288,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,"1781830336957x808577548450478500, 1744579851707x640487742075829500, 1744643921578x315333816253624100, 1770943484557x164806709481949200, 1752717497153x537286585580736960, 1771436045389x658317953644361100",true,"[{'brand': 'Not=A?Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '151'}, {'brand': 'Chromium', 'version': '151'}]",False,Windows,,,,,,,,impression
ajs-next-1786606074930-b7d91a7a-ba58-4be7-bfb2-8b6f4c62a2d7,2026-08-13 07:27:54.930000+00:00,,,,70c9b7d9-1a7a-4a58-abe7-ffb28b6f4c62,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,"1744579851707x640487742075829500, 1771436045389x658317953644361100, 1781830336957x808577548450478500, 1744643921578x315333816253624100, 1752717497153x537286585580736960, 1770943484557x164806709481949200",true,"[{'brand': 'Not=A?Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '151'}, {'brand': 'Chromium', 'version': '151'}]",False,Windows,,,,,,,,impression
ajs-next-1786606074734-0d70c9b7-d91a-4aba-98eb-e7ffb28b6f4c,2026-08-13 07:27:54.734000+00:00,index,index,,70c9b7d9-1a7a-4a58-abe7-ffb28b6f4c62,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,"[{'brand': 'Not=A?Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '151'}, {'brand': 'Chromium', 'version': '151'}]",False,Windows,,,,,,,,page
ajs-next-1786606075037-1a7aba58-ebe7-4fb2-8b6f-4c62a2d7e378,2026-08-13 07:27:55.037000+00:00,,,,70c9b7d9-1a7a-4a58-abe7-ffb28b6f4c62,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,"1744579851707x640487742075829500, 1771436045389x658317953644361100, 1781830336957x808577548450478500, 1744643921578x315333816253624100, 1752717497153x537286585580736960, 1770943484557x164806709481949200",true,"[{'brand': 'Not=A?Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '151'}, {'brand': 'Chromium', 'version': '151'}]",False,Windows,,,,,,,,impression
ajs-next-1786628684615-dc48d9dc-2633-455e-8c92-7ed8949ad887,2026-08-13 13:44:44.615000+00:00,start,start,,48d9dc26-3315-4ecc-927e-d8949ad88762,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",/start,,,Login,https://coloradocatholicbusinessdirectory.com/start,/start,,,Login,https://coloradocatholicbusinessdirectory.com/start,start,start,,,"[{'brand': 'Not;A=Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '147'}, {'brand': 'Chromium', 'version': '147'}]",False,Windows,,,,,,,,page
