category,name,originalTimestamp,userId,anonymousId,messageId,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,category_properties,name_properties,business_id,button_name,sponsored_listing,city,search_text,location,parish,event_type
about_us,about_us,2026-08-17 03:56:27.142000+00:00,,844121fc-0c9c-4f99-a310-3e17052d762d,ajs-next-1786938987142-3d844121-fc0c-4c6f-9963-103e17052d76,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",/about_us/1760735885639x686646516440875900,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1760735885639x686646516440875900,"[{'brand': 'Google Chrome', 'version': '149'}, {'brand': 'Chromium', 'version': '149'}, {'brand': 'Not)A;Brand', 'version': '24'}]",False,Linux,/about_us/1760735885639x686646516440875900,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1760735885639x686646516440875900,about_us,about_us,,,,,,,,page
profile,business_profile,2026-08-17 14:34:14.410000+00:00,,56a6c813-dfbe-4bd7-8186-21fabf3d4c00,ajs-next-1786977254410-e856a6c8-13df-4e1b-9701-8621fabf3d4c,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5.2 Mobile/15E148 Safari/604.1",/business_profile/the-little-flower-market--1746855895334x711816173120128000,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/the-little-flower-market--1746855895334x711816173120128000,,,,/business_profile/the-little-flower-market--1746855895334x711816173120128000,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/the-little-flower-market--1746855895334x711816173120128000,profile,business_profile,1746855895334x711816173120128000,,,,,,,page
,,2026-08-17 14:35:09.800000+00:00,,56a6c813-dfbe-4bd7-8186-21fabf3d4c00,ajs-next-1786977309800-c813dfbe-1bd7-4186-a1fa-bf3d4c000b38,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5.2 Mobile/15E148 Safari/604.1",/business_profile/the-little-flower-market--1746855895334x711816173120128000,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/the-little-flower-market--1746855895334x711816173120128000,,,,,,,,,,,1746855895334x711816173120128000,visit_website,,,,,,button_click
about_us,about_us,2026-08-18 11:22:43.947000+00:00,,9f63b4b9-f674-4b0c-b62c-c6ce7a456067,ajs-next-1787052163947-8a9f63b4-b9f6-44eb-8cb6-2cc6ce7a4560,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0 (compatible; meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler))",/about_us/1786886639067x394152897173536200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1786886639067x394152897173536200,[],False,,/about_us/1786886639067x394152897173536200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1786886639067x394152897173536200,about_us,about_us,,,,,,,,page
,,2026-08-18 16:27:06.600000+00:00,,ef8ccfc9-4eef-46d8-ba22-d9a346d4662d,ajs-next-1787070426600-cfc94eef-d6d8-4a22-99a3-46d4662d0f9c,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/version-test,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/version-test,"[{'brand': 'Not=A?Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '151'}, {'brand': 'Chromium', 'version': '151'}]",False,Windows,,,,,,,,1760648653645x114408415368440820,,true,,,,,impression
,,2026-08-18 16:27:06.703000+00:00,,ef8ccfc9-4eef-46d8-ba22-d9a346d4662d,ajs-next-1787070426703-4eefd6d8-3a22-49a3-86d4-662d0f9c08ab,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/version-test,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/version-test,"[{'brand': 'Not=A?Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '151'}, {'brand': 'Chromium', 'version': '151'}]",False,Windows,,,,,,,,1760648653645x114408415368440820,,true,,,,,impression
,,2026-08-18 16:58:45.416000+00:00,,ef8ccfc9-4eef-46d8-ba22-d9a346d4662d,ajs-next-1787072325416-45cb9421-d40f-4596-acf1-522a875d6288,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/version-test/search,,?category=education-formation,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/version-test/search?category=education-formation,"[{'brand': 'Not=A?Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '151'}, {'brand': 'Chromium', 'version': '151'}]",False,Windows,,,,,,,,"1749068120323x412920063824988600, 1744743906400x631087870982087000, 1747165674437x491901038958021200, 1746765568691x979794717919274100, 1747221865162x703532834449508000",,false,,,,,impression
index,index,2026-08-18 16:27:06.389000+00:00,,ef8ccfc9-4eef-46d8-ba22-d9a346d4662d,ajs-next-1787070426389-f8ef8ccf-c94e-4fd6-983a-22d9a346d466,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/version-test,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/version-test,"[{'brand': 'Not=A?Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '151'}, {'brand': 'Chromium', 'version': '151'}]",False,Windows,/version-test,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/version-test,index,index,,,,,,,,page
,,2026-08-18 16:37:04.135000+00:00,,ef8ccfc9-4eef-46d8-ba22-d9a346d4662d,ajs-next-1787071024135-ec79b5a9-e1f5-4fbd-940c-c1797603012f,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/version-test/search,https://coloradocatholicbusinessdirectory.com/,?category=food-hospitality,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/version-test/search?category=food-hospitality,"[{'brand': 'Not=A?Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '151'}, {'brand': 'Chromium', 'version': '151'}]",False,Windows,,,,,,,,1743549178851x847080663521240200,,false,,,,,impression
,,2026-08-18 16:57:00.222000+00:00,,ef8ccfc9-4eef-46d8-ba22-d9a346d4662d,ajs-next-1787072220222-32a4e421-d1b7-4209-9573-05aaa6572ccc,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/version-test/search,,?category=food-hospitality,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/version-test/search?category=food-hospitality,"[{'brand': 'Not=A?Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '151'}, {'brand': 'Chromium', 'version': '151'}]",False,Windows,,,,,,,,,,false,,,,,impression
