messageId,anonymousId,originalTimestamp,userId,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,business_id,sponsored_listing,name,category,path,referrer,search,title,url,category_properties,name_properties,location,button_name,search_text,event_type
ajs-next-1787103664756-44f76241-6fe2-4933-b221-880aaaa00fc4,ef8ccfc9-4eef-46d8-ba22-d9a346d4662d,2026-08-19 01:41:04.756000+00:00,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/version-test,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/version-test,"[{'brand': 'Not=A?Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '151'}, {'brand': 'Chromium', 'version': '151'}]",False,Windows,1760648653645x114408415368440820,true,,,,,,,,,,,,,impression
ajs-next-1787103664436-399044f7-6241-4fe2-8933-7221880aaaa0,ef8ccfc9-4eef-46d8-ba22-d9a346d4662d,2026-08-19 01:41:04.436000+00:00,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/version-test,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/version-test,"[{'brand': 'Not=A?Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '151'}, {'brand': 'Chromium', 'version': '151'}]",False,Windows,,,index,index,/version-test,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/version-test,index,index,,,,page
ajs-next-1787104532348-1075e6e0-96c9-4927-b822-d2268ee4dfe9,ef8ccfc9-4eef-46d8-ba22-d9a346d4662d,2026-08-19 01:55:32.348000+00:00,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/version-test,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/version-test,"[{'brand': 'Not=A?Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '151'}, {'brand': 'Chromium', 'version': '151'}]",False,Windows,,,index,index,/version-test,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/version-test,index,index,,,,page
ajs-next-1787104534130-e6e096c9-c927-4822-9226-8ee4dfe91da0,ef8ccfc9-4eef-46d8-ba22-d9a346d4662d,2026-08-19 01:55:34.130000+00:00,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/version-test,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/version-test,"[{'brand': 'Not=A?Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '151'}, {'brand': 'Chromium', 'version': '151'}]",False,Windows,1760648653645x114408415368440820,true,,,,,,,,,,,,,impression
ajs-next-1787104591132-9de22f17-190c-45ae-a47e-9c34c7b48c45,ef8ccfc9-4eef-46d8-ba22-d9a346d4662d,2026-08-19 01:56:31.132000+00:00,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/version-test,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/version-test,"[{'brand': 'Not=A?Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '151'}, {'brand': 'Chromium', 'version': '151'}]",False,Windows,1760648653645x114408415368440820,true,,,,,,,,,,,,,impression
ajs-next-1787104589587-17229de2-2f17-490c-95ae-a47e9c34c7b4,ef8ccfc9-4eef-46d8-ba22-d9a346d4662d,2026-08-19 01:56:29.587000+00:00,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/version-test,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/version-test,"[{'brand': 'Not=A?Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '151'}, {'brand': 'Chromium', 'version': '151'}]",False,Windows,,,index,index,/version-test,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/version-test,index,index,,,,page
ajs-next-1787148178586-c6cedf7e-92d6-47cc-92bb-ce2069839358,82b3c6ce-df7e-42d6-a7cc-92bbce206983,2026-08-19 14:02:58.586000+00:00,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/,https://www.facebook.com/,?fbclid=IwcGRvZgRleHRuA2FlbQIxMQBzcnRjBmFwcF9pZAwyNTYyODEwNDA1NTgAAR5-_1uuzvF3gwKFoaRzkh89qTAQqoNLRo2r86lQX4z_3KBZNLLYatRXd4u0hA_aem_sYtR1hc5RA-dEJH4sL3gQQ,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/?fbclid=IwcGRvZgRleHRuA2FlbQIxMQBzcnRjBmFwcF9pZAwyNTYyODEwNDA1NTgAAR5-_1uuzvF3gwKFoaRzkh89qTAQqoNLRo2r86lQX4z_3KBZNLLYatRXd4u0hA_aem_sYtR1hc5RA-dEJH4sL3gQQ,"[{'brand': 'Not=A?Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '151'}, {'brand': 'Chromium', 'version': '151'}]",False,Linux,"1744643921578x315333816253624100, 1752717497153x537286585580736960, 1744579851707x640487742075829500, 1770943484557x164806709481949200, 1771436045389x658317953644361100, 1781830336957x808577548450478500",true,,,,,,,,,,,,,impression
ajs-next-1787148178589-df7e92d6-27cc-42bb-8e20-69839358f88e,82b3c6ce-df7e-42d6-a7cc-92bbce206983,2026-08-19 14:02:58.589000+00:00,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/,https://www.facebook.com/,?fbclid=IwcGRvZgRleHRuA2FlbQIxMQBzcnRjBmFwcF9pZAwyNTYyODEwNDA1NTgAAR5-_1uuzvF3gwKFoaRzkh89qTAQqoNLRo2r86lQX4z_3KBZNLLYatRXd4u0hA_aem_sYtR1hc5RA-dEJH4sL3gQQ,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/?fbclid=IwcGRvZgRleHRuA2FlbQIxMQBzcnRjBmFwcF9pZAwyNTYyODEwNDA1NTgAAR5-_1uuzvF3gwKFoaRzkh89qTAQqoNLRo2r86lQX4z_3KBZNLLYatRXd4u0hA_aem_sYtR1hc5RA-dEJH4sL3gQQ,"[{'brand': 'Not=A?Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '151'}, {'brand': 'Chromium', 'version': '151'}]",False,Linux,"1744643921578x315333816253624100, 1752717497153x537286585580736960, 1744579851707x640487742075829500, 1770943484557x164806709481949200, 1771436045389x658317953644361100, 1781830336957x808577548450478500",true,,,,,,,,,,,,,impression
ajs-next-1787148252951-2af9d626-008b-42f4-a6bc-41f3234d2012,f9d62600-8ba2-4466-bc41-f3234d20122d,2026-08-19 14:04:12.951000+00:00,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 (compatible; meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler))",/business_profile/mabel-liz-photography-1786064042259x692870208226282400,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/mabel-liz-photography-1786064042259x692870208226282400,[],False,,1786064042259x692870208226282400,,business_profile,profile,/business_profile/mabel-liz-photography-1786064042259x692870208226282400,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/mabel-liz-photography-1786064042259x692870208226282400,profile,business_profile,,,,page
ajs-next-1787148176777-7a82b3c6-cedf-4e92-9627-cc92bbce2069,82b3c6ce-df7e-42d6-a7cc-92bbce206983,2026-08-19 14:02:56.777000+00:00,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/,https://www.facebook.com/,?fbclid=IwcGRvZgRleHRuA2FlbQIxMQBzcnRjBmFwcF9pZAwyNTYyODEwNDA1NTgAAR5-_1uuzvF3gwKFoaRzkh89qTAQqoNLRo2r86lQX4z_3KBZNLLYatRXd4u0hA_aem_sYtR1hc5RA-dEJH4sL3gQQ,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/?fbclid=IwcGRvZgRleHRuA2FlbQIxMQBzcnRjBmFwcF9pZAwyNTYyODEwNDA1NTgAAR5-_1uuzvF3gwKFoaRzkh89qTAQqoNLRo2r86lQX4z_3KBZNLLYatRXd4u0hA_aem_sYtR1hc5RA-dEJH4sL3gQQ,"[{'brand': 'Not=A?Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '151'}, {'brand': 'Chromium', 'version': '151'}]",False,Linux,,,index,index,/,https://www.facebook.com/,?fbclid=IwcGRvZgRleHRuA2FlbQIxMQBzcnRjBmFwcF9pZAwyNTYyODEwNDA1NTgAAR5-_1uuzvF3gwKFoaRzkh89qTAQqoNLRo2r86lQX4z_3KBZNLLYatRXd4u0hA_aem_sYtR1hc5RA-dEJH4sL3gQQ,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/?fbclid=IwcGRvZgRleHRuA2FlbQIxMQBzcnRjBmFwcF9pZAwyNTYyODEwNDA1NTgAAR5-_1uuzvF3gwKFoaRzkh89qTAQqoNLRo2r86lQX4z_3KBZNLLYatRXd4u0hA_aem_sYtR1hc5RA-dEJH4sL3gQQ,index,index,,,,page
