category,name,userId,originalTimestamp,anonymousId,messageId,userAgent,page.path,page.referrer,page.search,page.title,page.url,path,referrer,search,title,url,business_id,category_properties,name_properties,userAgentData.brands,userAgentData.mobile,userAgentData.platform,sponsored_listing,event_type
profile,business_profile,,2026-08-28 23:40:26.655000+00:00,1d4f0f53-587c-455f-afab-fa52a6d94f45,ajs-next-1787960426655-12e19026-864b-4de6-8551-7a60b4b92608,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7.5 Mobile/15E148 Safari/604.1",/business_profile/mfm-electrical-services--1763148950401x545361905340972600,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/mfm-electrical-services--1763148950401x545361905340972600,/business_profile/mfm-electrical-services--1763148950401x545361905340972600,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/mfm-electrical-services--1763148950401x545361905340972600,1763148950401x545361905340972600,profile,business_profile,,,,,page
start,start,,2026-08-29 11:52:34.346000+00:00,c65cf8f5-7f97-4586-a76c-ec03c74a6466,ajs-next-1788004354346-a3c65cf8-f57f-4795-8667-6cec03c74a64,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,,start,start,"[{'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '150'}, {'brand': 'Google Chrome', 'version': '150'}]",False,Linux,,page
start,start,,2026-08-29 11:52:38.482000+00:00,77a68b67-e03e-4bd6-a8ea-204ffaeafed3,ajs-next-1788004358483-bf77a68b-67e0-4e2b-96a8-ea204ffaeafe,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,,start,start,"[{'brand': 'Not;A=Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '150'}, {'brand': 'Google Chrome', 'version': '150'}]",False,Linux,,page
,,,2026-08-29 14:32:19.258000+00:00,b94459b8-ee98-4241-86ad-fa4e547cf072,ajs-next-1788013939258-ee981241-86ad-4a4e-947c-f07266e6edc6,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.7444.163 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,"1771436045389x658317953644361100, 1744643921578x315333816253624100, 1781830336957x808577548450478500, 1770943484557x164806709481949200",,,"[{'brand': 'Chromium', 'version': '145'}, {'brand': 'Not:A-Brand', 'version': '99'}]",False,Windows,true,impression
,,,2026-08-29 14:31:16.694000+00:00,31d7e331-31a2-474c-902d-1bca47433d4d,ajs-next-1788013876694-e33131a2-f74c-402d-9bca-47433d4d9a07,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.7390.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,"1771436045389x658317953644361100, 1781830336957x808577548450478500, 1744643921578x315333816253624100, 1770943484557x164806709481949200",,,"[{'brand': 'Chromium', 'version': '145'}, {'brand': 'Not:A-Brand', 'version': '99'}]",False,Windows,true,impression
index,index,,2026-08-29 14:32:18.928000+00:00,b94459b8-ee98-4241-86ad-fa4e547cf072,ajs-next-1788013938928-ccb94459-b8ee-4812-8186-adfa4e547cf0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.7444.163 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,index,index,"[{'brand': 'Chromium', 'version': '145'}, {'brand': 'Not:A-Brand', 'version': '99'}]",False,Windows,,page
index,index,,2026-08-29 14:31:38.680000+00:00,d6710194-b965-4ec1-8098-38468998b585,ajs-next-1788013898680-d1d67101-94b9-452e-8180-9838468998b5,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.7444.175 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,index,index,"[{'brand': 'Chromium', 'version': '145'}, {'brand': 'Not:A-Brand', 'version': '99'}]",False,Windows,,page
,,,2026-08-29 14:31:38.694000+00:00,d6710194-b965-4ec1-8098-38468998b585,ajs-next-1788013898694-0194b965-2ec1-4098-b846-8998b585f7c2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.7444.175 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,"1771436045389x658317953644361100, 1770943484557x164806709481949200, 1744643921578x315333816253624100, 1781830336957x808577548450478500",,,"[{'brand': 'Chromium', 'version': '145'}, {'brand': 'Not:A-Brand', 'version': '99'}]",False,Windows,true,impression
,,,2026-08-29 14:31:17.010000+00:00,31d7e331-31a2-474c-902d-1bca47433d4d,ajs-next-1788013877010-31a2f74c-102d-4bca-8743-3d4d9a07c924,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.7390.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,"1771436045389x658317953644361100, 1781830336957x808577548450478500, 1744643921578x315333816253624100, 1770943484557x164806709481949200",,,"[{'brand': 'Chromium', 'version': '145'}, {'brand': 'Not:A-Brand', 'version': '99'}]",False,Windows,true,impression
,,,2026-08-29 14:32:19.177000+00:00,b94459b8-ee98-4241-86ad-fa4e547cf072,ajs-next-1788013939177-59b8ee98-1241-46ad-ba4e-547cf07266e6,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.7444.163 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,"1771436045389x658317953644361100, 1744643921578x315333816253624100, 1781830336957x808577548450478500, 1770943484557x164806709481949200",,,"[{'brand': 'Chromium', 'version': '145'}, {'brand': 'Not:A-Brand', 'version': '99'}]",False,Windows,true,impression
