category,messageId,anonymousId,name,userId,originalTimestamp,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,category_properties,name_properties,business_id,location,sponsored_listing,button_name,event_type
how_it_works,ajs-next-1788788729357-2654e876-653f-4ce8-92bb-679cf739556f,54e87665-3fac-48d2-bb67-9cf739556f1a,how_it_works,,2026-09-07 13:45:29.357000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 (compatible; meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler))",/how_it_works/1788630155227x302951009859333760,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1788630155227x302951009859333760,[],False,,/how_it_works/1788630155227x302951009859333760,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1788630155227x302951009859333760,how_it_works,how_it_works,,,,,page
how_it_works,ajs-next-1788790216744-cfecf1cf-6d5e-40bc-9f52-42419147ba58,ecf1cf6d-5e50-4c1f-9242-419147ba5852,how_it_works,,2026-09-07 14:10:16.744000+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 (compatible; meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler))",/how_it_works/1788574414636x347428422963964600,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1788574414636x347428422963964600,[],False,,/how_it_works/1788574414636x347428422963964600,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/1788574414636x347428422963964600,how_it_works,how_it_works,,,,,page
how_it_works,ajs-next-1788796293949-e2b11885-74eb-43ad-9f9c-b8dde47f7db3,b1188574-ebb3-4d1f-9cb8-dde47f7db32f,how_it_works,,2026-09-07 15:51:33.949000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 (compatible; meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler))",/how_it_works/dance-tailor--1788219546192x434403220948011970,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/dance-tailor--1788219546192x434403220948011970,[],False,,/how_it_works/dance-tailor--1788219546192x434403220948011970,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/dance-tailor--1788219546192x434403220948011970,how_it_works,how_it_works,,,,,page
,ajs-next-1788815433897-31aae1d9-5d1d-47c9-85d6-8d3bed6cd4b6,7a73f65b-1d4e-4547-914b-b26bb32c275e,,,2026-09-07 21:10:33.897000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36 Edg/152.0.0.0",/search,https://coloradocatholicbusinessdirectory.com/,?category=professional-services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?category=professional-services,"[{'brand': 'Chromium', 'version': '152'}, {'brand': 'Not?A_Brand', 'version': '24'}, {'brand': 'Microsoft Edge', 'version': '152'}]",False,Windows,,,,,,,,1770943484557x164806709481949200,main_list,true,,impression
search,ajs-next-1788815506886-fdd6fa3d-c47c-4360-9d92-3dfb744e7821,40c34103-1d89-485b-80eb-f0b1dc98783a,search,,2026-09-07 21:11:46.886000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36 Edg/152.0.0.0",/search,https://coloradocatholicbusinessdirectory.com/,?category=shopping-retail,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?category=shopping-retail,"[{'brand': 'Chromium', 'version': '152'}, {'brand': 'Not?A_Brand', 'version': '24'}, {'brand': 'Microsoft Edge', 'version': '152'}]",False,Windows,/search,https://coloradocatholicbusinessdirectory.com/,?category=shopping-retail,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?category=shopping-retail,search,search,,,,,page
,ajs-next-1788815409019-1d89585b-40eb-40b1-9c98-783a8d88cef2,40c34103-1d89-485b-80eb-f0b1dc98783a,,,2026-09-07 21:10:09.019000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36 Edg/152.0.0.0",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '152'}, {'brand': 'Not?A_Brand', 'version': '24'}, {'brand': 'Microsoft Edge', 'version': '152'}]",False,Windows,,,,,,,,"1781830336957x808577548450478500, 1771436045389x658317953644361100, 1744643921578x315333816253624100, 1770943484557x164806709481949200",,true,,impression
,ajs-next-1788815421637-f65b1d4e-1547-414b-b26b-b32c275e0049,7a73f65b-1d4e-4547-914b-b26bb32c275e,,,2026-09-07 21:10:21.637000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36 Edg/152.0.0.0",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '152'}, {'brand': 'Not?A_Brand', 'version': '24'}, {'brand': 'Microsoft Edge', 'version': '152'}]",False,Windows,,,,,,,,"1781830336957x808577548450478500, 1770943484557x164806709481949200, 1771436045389x658317953644361100, 1744643921578x315333816253624100",,true,,impression
,ajs-next-1788815641791-18fe3f39-7a05-4faf-9a3e-e858b029b8b3,7a73f65b-1d4e-4547-914b-b26bb32c275e,,,2026-09-07 21:14:01.791000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36 Edg/152.0.0.0",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '152'}, {'brand': 'Not?A_Brand', 'version': '24'}, {'brand': 'Microsoft Edge', 'version': '152'}]",False,Windows,,,,,,,,"1770943484557x164806709481949200, 1781830336957x808577548450478500, 1744643921578x315333816253624100, 1771436045389x658317953644361100",,true,,impression
about_us,ajs-next-1788815636780-f3e49234-e5ed-44b5-8889-95364a2a1f93,7a73f65b-1d4e-4547-914b-b26bb32c275e,about_us,,2026-09-07 21:13:56.779000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36 Edg/152.0.0.0",/about_us/1788815402752x825258399249442700,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1788815402752x825258399249442700,"[{'brand': 'Chromium', 'version': '152'}, {'brand': 'Not?A_Brand', 'version': '24'}, {'brand': 'Microsoft Edge', 'version': '152'}]",False,Windows,/about_us/1788815402752x825258399249442700,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1788815402752x825258399249442700,about_us,about_us,,,,,page
about_us,ajs-next-1788815631169-3636641f-b134-4047-9761-037365780a5f,7a73f65b-1d4e-4547-914b-b26bb32c275e,about_us,,2026-09-07 21:13:51.169000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36 Edg/152.0.0.0",/about_us/1788815402752x825258399249442700,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1788815402752x825258399249442700,"[{'brand': 'Chromium', 'version': '152'}, {'brand': 'Not?A_Brand', 'version': '24'}, {'brand': 'Microsoft Edge', 'version': '152'}]",False,Windows,/about_us/1788815402752x825258399249442700,https://coloradocatholicbusinessdirectory.com/,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1788815402752x825258399249442700,about_us,about_us,,,,,page
,ajs-next-1788815433581-d01d31aa-e1d9-4d1d-a7c9-05d68d3bed6c,7a73f65b-1d4e-4547-914b-b26bb32c275e,,,2026-09-07 21:10:33.581000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36 Edg/152.0.0.0",/search,https://coloradocatholicbusinessdirectory.com/,?category=professional-services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?category=professional-services,"[{'brand': 'Chromium', 'version': '152'}, {'brand': 'Not?A_Brand', 'version': '24'}, {'brand': 'Microsoft Edge', 'version': '152'}]",False,Windows,,,,,,,,,sidebar,true,,impression
,ajs-next-1788815507801-f3601d92-3dfb-444e-b821-4b9313a5b7ba,40c34103-1d89-485b-80eb-f0b1dc98783a,,,2026-09-07 21:11:47.801000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36 Edg/152.0.0.0",/search,https://coloradocatholicbusinessdirectory.com/,?category=shopping-retail,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?category=shopping-retail,"[{'brand': 'Chromium', 'version': '152'}, {'brand': 'Not?A_Brand', 'version': '24'}, {'brand': 'Microsoft Edge', 'version': '152'}]",False,Windows,,,,,,,,"1747415704843x665338483592092500, 1746855895334x711816173120128000, 1761762460002x434978052003146300, 1748389292320x918627677903932400, 1788219546192x434403220948011970, 1777042895042x187867473484191420, 1758120880051x675194275556497400, 1747184079669x994211808429350800, 1752687366861x422755081931784260, 1751749348389x952656707958261400, 1770755356265x111382421474427680",,false,,impression
