messageId,name,anonymousId,category,userId,originalTimestamp,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,business_id,category_properties,name_properties,sponsored_listing,traits,location,button_name,email,input_value,input_num,input_name,address,other_category,city,description,display_email,business_name,main_category,parish,phone,sub_category,website,event_type
ajs-next-1789171934904-a8cda43b-ea58-42d6-88cf-e9874eb399a9,business_profile,cda43bea-5852-4688-8fe9-874eb399a922,profile,,2026-09-12 00:12:14.904000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0 (compatible; meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler))",/business_profile/v%C3%A9deni-property-inspections-llc-1775058462201x523059865418210800,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/v%C3%A9deni-property-inspections-llc-1775058462201x523059865418210800,[],False,,/business_profile/v%C3%A9deni-property-inspections-llc-1775058462201x523059865418210800,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/v%C3%A9deni-property-inspections-llc-1775058462201x523059865418210800,1775058462201x523059865418210800,profile,business_profile,,,,,,,,,,,,,,,,,,,,page
ajs-next-1789173095541-f44f8707-0c23-467b-9b62-5ea81601583a,terms_of_service,4f87070c-23e6-4b1b-a25e-a81601583af7,terms,,2026-09-12 00:31:35.541000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 (compatible; meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler))",/terms_of_service/brightpath-workforce-strategies--1787928637042x241963821073303700,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/terms_of_service/brightpath-workforce-strategies--1787928637042x241963821073303700,[],False,,/terms_of_service/brightpath-workforce-strategies--1787928637042x241963821073303700,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/terms_of_service/brightpath-workforce-strategies--1787928637042x241963821073303700,,terms,terms_of_service,,,,,,,,,,,,,,,,,,,,page
ajs-next-1789182081916-bff0fc4e-dbd1-4f59-8e67-ed3d5c3d781e,terms_of_service,f0fc4edb-d13f-490e-a7ed-3d5c3d781e7e,terms,,2026-09-12 03:01:21.916000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 (compatible; meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler))",/terms_of_service/test-business-1771517879190x523242735258870900,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/terms_of_service/test-business-1771517879190x523242735258870900,[],False,,/terms_of_service/test-business-1771517879190x523242735258870900,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/terms_of_service/test-business-1771517879190x523242735258870900,,terms,terms_of_service,,,,,,,,,,,,,,,,,,,,page
ajs-next-1789186516966-47c50655-a8e3-4691-99a4-3bd018d04b78,business_profile,c50655a8-e3c6-4119-a43b-d018d04b78e1,profile,,2026-09-12 04:15:16.966000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 (compatible; meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler))",/business_profile/donnelly-construction--1771021914207x198452557005754900,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/donnelly-construction--1771021914207x198452557005754900,[],False,,/business_profile/donnelly-construction--1771021914207x198452557005754900,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/donnelly-construction--1771021914207x198452557005754900,1771021914207x198452557005754900,profile,business_profile,,,,,,,,,,,,,,,,,,,,page
ajs-next-1789192861850-648f13de-60ee-4818-8a14-59d7ca76d857,terms_of_service,8f13de60-ee08-480a-9459-d7ca76d85777,terms,,2026-09-12 06:01:01.850000+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 (compatible; meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler))",/terms_of_service/beauty-by-zoie-1769635123521x385801932800474700,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/terms_of_service/beauty-by-zoie-1769635123521x385801932800474700,[],False,,/terms_of_service/beauty-by-zoie-1769635123521x385801932800474700,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/terms_of_service/beauty-by-zoie-1769635123521x385801932800474700,,terms,terms_of_service,,,,,,,,,,,,,,,,,,,,page
ajs-next-1789208647098-ddabb1f2-a0e1-4057-932a-5fda750fa93f,how_it_works,abb1f2a0-e1a0-47d3-aa5f-da750fa93f44,how_it_works,,2026-09-12 10:24:07.098000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 (compatible; meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler))",/how_it_works/purple-ink-1768426055630x579798080961828200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/purple-ink-1768426055630x579798080961828200,[],False,,/how_it_works/purple-ink-1768426055630x579798080961828200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/purple-ink-1768426055630x579798080961828200,,how_it_works,how_it_works,,,,,,,,,,,,,,,,,,,,page
ajs-next-1789219755187-0c4cca6c-1eb4-45ec-95b3-13f230d27a77,,ef8ccfc9-4eef-46d8-ba22-d9a346d4662d,,1753735107464x426800222977854460,2026-09-12 13:29:15.187000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36",/search,,?category=shopping-retail,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?category=shopping-retail,"[{'brand': 'Chromium', 'version': '152'}, {'brand': 'Not?A_Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '152'}]",False,Windows,,,,,,"1748389292320x918627677903932400, 1751749348389x952656707958261400, 1746855895334x711816173120128000, 1770755356265x111382421474427680, 1788219546192x434403220948011970, 1747184079669x994211808429350800, 1758120880051x675194275556497400, 1777042895042x187867473484191420, 1752687366861x422755081931784260, 1747415704843x665338483592092500, 1761762460002x434978052003146300",,,false,,,,,,,,,,,,,,,,,,,impression
ajs-next-1789220727569-a6dde5f9-9158-4c60-b9a4-4e76ce52e826,,ef8ccfc9-4eef-46d8-ba22-d9a346d4662d,,1753735107464x426800222977854460,2026-09-12 13:45:27.569000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '152'}, {'brand': 'Not?A_Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '152'}]",False,Windows,,,,,,"1770943484557x164806709481949200, 1744643921578x315333816253624100, 1771436045389x658317953644361100, 1781830336957x808577548450478500",,,true,,,,,,,,,,,,,,,,,,,impression
ajs-next-1789220772564-db3cb8ad-b2c8-4f7c-8735-32bd4f38f6ba,search,ef8ccfc9-4eef-46d8-ba22-d9a346d4662d,search,1753735107464x426800222977854460,2026-09-12 13:46:12.564000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36",/search,,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,"[{'brand': 'Chromium', 'version': '152'}, {'brand': 'Not?A_Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '152'}]",False,Windows,/search,,,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search,,search,search,,,,,,,,,,,,,,,,,,,,page
ajs-next-1789219754256-ab920c66-8875-4b88-9ec2-2cfaf72620d5,about_us,6719d274-6092-4c10-a317-2bd34e8ee177,about_us,,2026-09-12 13:29:14.256000+00:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36",/version-test/about_us/1789153660251x297285899628535700,,,| Colorado Catholic Business Directory,https://catholic-biz-directory-16687.bubbleapps.io/version-test/about_us/1789153660251x297285899628535700,"[{'brand': 'Chromium', 'version': '152'}, {'brand': 'Not?A_Brand', 'version': '24'}, {'brand': 'Google Chrome', 'version': '152'}]",False,Windows,/version-test/about_us/1789153660251x297285899628535700,,,| Colorado Catholic Business Directory,https://catholic-biz-directory-16687.bubbleapps.io/version-test/about_us/1789153660251x297285899628535700,,about_us,about_us,,,,,,,,,,,,,,,,,,,,page
